income,debt_ratio,credit_score,loan_amount,employment_years,missed_payments,risk
79.0,0.1575,678,16.0,17.0,1,0
51.4,0.4489,759,29.0,9.7,0,0
39.6,0.1679,730,24.0,4.0,1,0
57.7,0.168,635,15.9,6.5,0,0
58.3,0.4345,700,16.7,4.8,0,0
75.4,0.2754,715,20.6,11.2,0,0
67.5,0.1838,689,11.3,1.4,0,0
60.4,0.2314,809,18.0,2.6,0,0
76.9,0.4124,749,20.5,5.6,2,0
37.2,0.4259,802,4.5,10.7,0,0
45.4,0.152,736,16.5,12.9,0,0
41.1,0.2449,725,15.6,13.5,0,0
49.2,0.2608,664,26.2,10.1,0,0
34.3,0.1317,721,3.2,7.7,1,0
64.5,0.2433,721,14.9,11.2,0,0
51.7,0.2506,638,14.1,3.4,1,0
32.9,0.3868,688,25.7,0.6,0,0
39.8,0.3949,701,17.7,9.7,1,0
59.7,0.2105,745,32.4,4.0,0,0
67.6,0.2243,748,23.3,7.7,0,0
85.0,0.3297,685,14.7,8.5,0,0
98.7,0.1798,748,19.9,9.0,0,0
61.2,0.3206,709,15.2,11.8,0,0
40.2,0.2395,548,24.9,11.3,0,0
23.0,0.1337,691,7.3,8.8,0,0
59.0,0.1352,785,11.4,6.2,1,0
42.8,0.4236,619,21.6,8.4,1,0
48.8,0.2312,727,27.8,5.6,1,0
45.8,0.4468,815,1.0,7.2,0,0
52.9,0.1884,674,29.0,18.5,1,0
71.0,0.2849,720,16.9,8.7,0,0
57.4,0.5371,642,2.9,9.8,0,0
52.6,0.1231,818,1.0,5.2,0,0
39.5,0.0223,715,5.8,12.1,0,0
29.9,0.4044,723,17.8,11.0,0,0
47.7,0.1508,801,17.5,11.1,1,0
54.2,0.2475,760,23.1,8.9,0,0
81.5,0.1797,667,13.6,12.1,0,0
57.0,0.2822,681,9.1,13.1,1,0
69.7,0.1359,750,14.7,9.1,0,0
47.5,0.2284,683,18.3,7.5,0,0
37.2,0.304,593,19.8,11.6,1,0
40.5,0.129,717,11.7,4.4,0,0
44.1,0.166,631,25.2,5.1,0,0
86.9,0.2083,817,13.0,7.8,1,0
42.7,0.0785,731,11.0,1.0,0,0
67.6,0.1993,666,13.7,11.3,0,0
41.5,0.2643,678,26.6,4.1,0,0
69.0,0.2021,607,16.9,6.1,0,0
60.8,0.2174,654,12.4,7.1,0,0
52.7,0.2476,781,25.4,8.2,0,0
54.4,0.1713,850,35.1,6.6,0,0
45.2,0.3329,764,19.7,7.7,0,0
61.7,0.4223,714,27.9,7.8,0,0
48.2,0.1943,694,26.3,6.2,0,0
36.6,0.3082,663,13.2,4.9,0,0
35.8,0.2212,844,18.2,12.3,0,0
57.6,0.2939,709,7.7,0.0,0,0
78.7,0.4379,847,16.4,7.2,1,0
57.4,0.311,804,13.0,6.1,0,0
53.2,0.0372,616,14.8,9.7,0,0
59.3,0.3045,680,12.0,2.2,2,0
74.6,0.3979,680,15.7,6.0,0,0
58.3,0.2234,715,22.3,7.6,2,0
48.8,0.3695,716,17.0,12.3,0,0
71.6,0.1672,850,3.1,9.3,0,0
61.4,0.0717,655,12.0,3.3,1,0
78.0,0.2669,734,5.8,6.1,0,0
57.7,0.0392,757,20.0,11.5,1,0
36.6,0.2212,720,22.0,3.2,0,0
34.5,0.4044,727,20.1,7.7,0,0
79.8,0.0208,657,11.7,8.0,0,0
80.9,0.0965,726,20.0,6.5,0,0
52.3,0.1262,751,14.2,18.8,0,0
49.3,0.2424,740,8.9,6.3,0,0
76.9,0.2061,754,23.9,9.8,0,0
38.4,0.4179,805,24.5,4.9,0,0
41.6,0.3645,776,25.6,10.1,1,0
64.6,0.3094,724,13.1,11.5,1,0
49.1,0.2675,650,27.4,5.6,0,0
54.9,0.2972,684,14.1,7.8,1,0
52.5,0.1466,707,23.2,4.4,0,0
60.1,0.3529,735,13.9,3.4,0,0
76.1,0.1166,691,16.2,12.1,0,0
56.4,0.3502,664,1.0,5.8,0,0
64.7,0.3923,649,15.6,0.0,0,0
24.2,0.2753,621,18.7,15.1,0,0
54.3,0.2289,706,14.7,4.8,0,0
42.4,0.298,632,32.0,7.0,1,0
36.7,0.0,660,8.7,14.6,1,0
41.8,0.2863,696,13.5,7.4,1,0
50.0,0.2364,640,10.8,7.3,0,0
68.7,0.2439,743,13.5,3.1,0,0
35.1,0.3348,764,26.3,1.5,0,0
55.5,0.241,687,29.8,7.3,0,0
47.7,0.1132,694,12.4,9.5,1,0
50.1,0.233,752,12.2,9.2,0,0
70.0,0.2581,677,8.7,6.1,2,0
63.1,0.2638,673,28.5,8.1,1,0
75.1,0.2694,792,27.0,0.7,1,0
52.7,0.3747,773,17.2,9.8,0,0
44.6,0.1197,756,6.8,8.6,0,0
51.6,0.2711,776,7.5,15.9,0,0
58.6,0.4048,601,19.4,8.0,1,0
57.6,0.0418,801,22.4,4.2,0,0
38.7,0.2716,744,1.5,7.8,0,0
56.4,0.1798,781,15.4,6.7,0,0
58.4,0.2055,743,30.9,9.7,1,0
92.8,0.1414,723,16.3,8.1,1,0
83.2,0.2297,703,29.9,3.0,0,0
42.2,0.471,742,23.2,1.5,1,0
50.7,0.0983,701,9.3,9.1,0,0
33.0,0.1096,772,15.7,13.5,0,0
46.1,0.0938,625,17.0,8.3,0,0
59.7,0.4573,688,10.4,11.3,0,0
73.1,0.1945,843,10.2,12.1,0,0
44.1,0.2469,682,30.1,9.1,1,0
45.2,0.2017,706,10.2,4.7,1,0
22.8,0.1367,667,26.6,8.8,0,0
52.6,0.2218,740,14.5,12.8,0,0
39.1,0.545,676,17.8,10.1,0,0
47.1,0.417,709,22.5,11.0,0,0
41.8,0.1476,771,13.2,6.1,2,0
53.6,0.3277,678,22.5,7.2,0,0
28.6,0.1502,767,1.6,7.5,0,0
33.0,0.0368,769,21.5,7.8,0,0
86.9,0.3723,783,1.0,12.7,0,0
35.7,0.3892,728,16.2,0.0,0,0
38.5,0.3755,850,24.8,8.1,1,0
82.6,0.1936,783,23.0,7.7,0,0
98.6,0.23,739,7.6,2.5,0,0
37.4,0.34,667,8.6,10.7,1,0
49.5,0.297,714,12.5,5.1,0,0
60.1,0.2028,806,19.5,6.6,0,0
80.9,0.0557,823,1.7,15.4,1,0
40.2,0.2637,809,17.9,12.0,0,0
51.3,0.3795,767,20.5,10.3,0,0
66.7,0.1063,645,15.7,9.5,1,0
61.5,0.3267,749,22.2,7.3,0,0
49.4,0.2898,646,19.8,16.0,1,0
53.0,0.34,631,13.7,11.2,0,0
34.4,0.3546,734,2.5,5.0,0,0
51.4,0.1667,751,19.1,2.4,1,0
51.0,0.056,774,10.4,10.3,0,0
58.5,0.186,750,13.4,7.8,0,0
46.7,0.3567,752,21.8,2.3,2,0
62.1,0.185,661,29.3,9.7,0,0
70.2,0.1667,714,17.7,6.9,1,0
57.3,0.0314,630,22.4,10.1,0,0
60.3,0.4603,600,6.4,9.8,0,0
55.8,0.3491,764,20.0,5.6,1,0
55.0,0.3424,675,17.5,10.5,0,0
44.2,0.3661,772,27.8,6.0,0,0
59.7,0.3192,787,13.7,6.3,0,0
53.5,0.2207,683,16.1,5.9,0,0
86.4,0.2303,755,26.5,12.5,0,0
78.6,0.1987,680,17.3,6.9,0,0
60.8,0.5662,609,9.1,13.5,1,0
43.6,0.3167,727,38.4,15.1,1,0
38.3,0.1943,692,9.4,5.0,0,0
72.9,0.3059,694,17.5,0.0,0,0
58.9,0.1287,839,20.8,12.2,0,0
62.2,0.4305,628,20.1,6.6,0,0
28.8,0.1707,743,16.5,4.5,0,0
68.9,0.3101,660,16.5,5.6,1,0
61.8,0.3779,774,16.1,6.3,1,0
38.3,0.2962,738,9.1,13.2,0,0
47.9,0.2613,743,35.2,8.6,0,0
59.0,0.2513,663,16.2,13.1,0,0
55.8,0.2432,674,22.8,10.0,0,0
50.6,0.1808,776,15.3,6.8,0,0
53.4,0.1961,826,15.2,6.4,0,0
51.2,0.4276,749,14.4,10.2,1,0
57.3,0.237,666,5.6,11.3,1,0
77.1,0.1557,740,16.7,12.0,0,0
16.5,0.188,850,14.7,7.0,0,0
51.4,0.382,726,27.4,8.7,0,0
57.6,0.3311,808,8.4,10.3,2,0
59.4,0.3172,676,13.4,6.5,0,0
49.4,0.2191,717,10.8,3.5,1,0
28.6,0.3188,757,29.5,4.8,0,0
59.9,0.1728,744,11.0,7.0,0,0
80.9,0.2188,674,22.5,10.6,0,0
32.0,0.3664,671,25.8,13.0,0,0
68.0,0.3549,779,16.8,2.6,0,0
50.1,0.1322,791,7.0,5.6,1,0
54.1,0.1473,811,7.1,6.6,1,0
39.2,0.263,828,24.9,11.2,0,0
50.0,0.4571,728,7.9,5.9,0,0
74.5,0.0201,701,21.1,6.3,0,0
63.7,0.2834,801,18.9,2.4,1,0
81.0,0.0849,763,21.0,9.9,1,0
72.7,0.1739,661,21.8,7.4,0,0
61.6,0.2063,658,10.5,5.4,0,0
81.2,0.1995,750,10.2,7.0,0,0
61.6,0.1859,709,23.7,12.5,0,0
67.4,0.2509,718,13.0,4.0,0,0
50.6,0.1858,784,1.0,4.6,0,0
56.0,0.0745,766,23.2,13.0,0,0
44.5,0.3436,800,9.7,8.3,0,0
69.8,0.3403,604,21.7,10.7,0,0
37.3,0.3512,735,29.1,9.6,0,0
66.7,0.0651,762,18.1,7.9,0,0
52.1,0.2859,628,26.0,6.6,1,0
72.6,0.3311,681,19.2,11.3,0,0
66.3,0.1263,670,30.7,12.6,1,0
82.3,0.2511,721,9.5,12.3,1,0
66.0,0.236,818,17.9,3.3,0,0
31.4,0.4711,841,23.4,13.2,0,0
54.0,0.4809,671,16.5,6.6,0,0
37.4,0.0503,752,27.2,5.0,0,0
47.2,0.5493,754,14.5,7.3,0,0
77.7,0.1402,743,34.6,11.3,0,0
64.6,0.3677,744,35.0,10.2,1,0
44.5,0.3665,738,20.3,7.0,0,0
39.8,0.1305,821,22.4,11.4,2,0
55.5,0.3092,786,27.5,8.6,1,0
36.8,0.2371,656,8.5,5.7,1,0
44.9,0.3165,768,7.5,5.2,0,0
59.7,0.2777,774,28.1,9.6,0,0
72.3,0.3936,739,20.2,7.7,1,0
64.1,0.259,788,16.2,2.5,0,0
20.6,0.2299,731,18.1,11.4,1,0
59.6,0.3815,732,1.0,6.1,1,0
56.1,0.3196,727,16.5,14.4,0,0
61.2,0.3378,599,12.0,2.4,0,0
79.2,0.1702,715,25.3,7.3,0,0
24.1,0.1246,680,26.0,5.2,0,0
46.1,0.1819,649,22.6,4.1,0,0
63.9,0.1755,806,21.2,6.1,0,0
31.3,0.3443,750,6.0,15.1,0,0
77.1,0.3671,718,22.7,8.6,0,0
60.5,0.2314,686,23.0,4.8,1,0
67.7,0.4217,738,28.0,0.7,0,0
46.4,0.4142,779,34.9,1.1,1,0
67.2,0.2792,670,4.5,5.9,0,0
71.0,0.1514,720,14.9,5.5,1,0
58.5,0.439,772,12.1,7.1,1,0
58.5,0.2427,604,19.4,0.0,0,0
59.1,0.2651,717,18.1,7.6,0,0
42.0,0.2092,694,16.1,12.1,0,0
52.8,0.1432,712,26.2,14.5,1,0
52.7,0.0738,690,9.2,0.4,1,0
60.8,0.3259,728,9.7,4.8,2,0
70.0,0.156,835,9.8,4.6,2,0
39.1,0.6171,701,15.1,8.6,0,0
53.1,0.1197,738,8.2,3.1,0,0
77.2,0.0991,840,17.6,14.7,0,0
43.8,0.3112,687,16.7,8.2,0,0
42.7,0.4335,829,11.7,7.5,0,0
58.0,0.2578,720,25.0,14.4,0,0
67.7,0.3187,827,17.5,7.9,0,0
55.2,0.0288,765,26.5,9.6,0,0
74.9,0.1687,738,16.4,5.0,0,0
67.9,0.1212,716,17.8,2.5,3,0
67.6,0.0226,683,13.5,5.6,0,0
63.3,0.264,725,17.9,16.7,1,0
89.9,0.0,774,23.7,10.5,0,0
51.9,0.0913,719,14.7,9.1,0,0
24.9,0.1855,701,22.1,4.1,0,0
79.1,0.1502,705,11.5,11.6,1,0
48.1,0.2976,780,24.1,2.6,1,0
56.6,0.2867,794,13.4,1.7,0,0
74.6,0.3573,680,24.8,5.8,0,0
31.0,0.3403,680,18.5,15.8,0,0
36.2,0.3869,743,30.2,15.6,1,0
31.0,0.2498,812,8.8,6.2,0,0
43.1,0.2864,789,6.2,5.3,0,0
61.6,0.3114,645,13.1,1.4,2,0
62.9,0.267,704,6.9,8.3,0,0
59.1,0.2023,664,6.9,8.6,1,0
33.8,0.2101,704,23.0,11.2,0,0
20.3,0.1519,816,18.0,11.6,0,0
55.8,0.3006,635,14.2,7.2,0,0
47.9,0.2387,623,14.9,10.2,0,0
61.9,0.1704,670,13.2,5.2,0,0
65.5,0.1705,737,31.2,10.1,0,0
57.1,0.1048,757,12.1,6.0,0,0
66.4,0.3675,746,7.4,9.8,0,0
58.4,0.2594,791,24.4,9.5,0,0
63.0,0.1465,614,16.3,8.3,1,0
44.4,0.347,791,34.3,11.2,0,0
52.3,0.1827,701,13.8,1.7,0,0
58.0,0.0812,764,24.8,3.7,0,0
67.3,0.3725,641,26.7,6.9,0,0
49.1,0.1855,720,13.8,2.2,0,0
62.8,0.2009,734,12.1,6.4,0,0
51.0,0.2549,789,23.9,6.5,2,0
53.2,0.3871,625,22.6,13.2,0,0
67.4,0.2524,722,6.7,8.6,1,0
25.1,0.1061,655,9.0,12.1,1,0
35.6,0.3153,750,1.0,9.2,1,0
32.8,0.1918,767,22.8,5.9,0,0
20.0,0.4766,797,15.9,8.5,0,0
44.8,0.2499,688,16.7,10.9,0,0
66.2,0.0,776,4.5,12.8,0,0
50.7,0.2929,802,9.2,7.5,0,0
58.0,0.4834,621,14.2,1.4,0,0
71.3,0.4391,757,12.6,1.1,0,0
74.9,0.4697,778,18.9,6.7,0,0
54.0,0.1276,704,22.7,0.0,1,0
75.3,0.3595,647,36.2,15.2,0,0
56.4,0.1634,777,17.8,10.4,0,0
42.4,0.2769,648,26.9,5.5,0,0
46.1,0.0972,709,11.4,3.6,1,0
32.8,0.1727,718,4.6,12.1,0,0
41.7,0.1689,763,15.2,3.5,0,0
49.6,0.3578,682,5.2,3.9,0,0
67.1,0.3461,679,18.1,4.9,1,0
80.8,0.2832,726,11.8,8.5,1,0
34.3,0.0879,780,2.4,10.5,1,0
60.9,0.2126,850,31.9,12.8,1,0
39.4,0.1605,630,13.7,12.2,0,0
62.1,0.3544,739,4.9,8.0,0,0
53.0,0.3914,655,25.2,12.1,0,0
27.5,0.3768,781,12.2,5.3,0,0
68.9,0.1594,664,26.7,0.7,0,0
45.9,0.0,680,12.1,5.3,0,0
47.0,0.038,685,13.7,4.8,1,0
39.0,0.4206,715,20.8,5.5,3,0
45.2,0.2018,739,22.7,4.2,0,0
61.4,0.1599,749,24.1,6.2,0,0
52.2,0.4471,720,17.3,10.5,1,0
59.9,0.4018,640,22.2,14.9,0,0
60.4,0.2529,764,24.0,1.1,0,0
74.8,0.2148,717,19.6,2.8,0,0
49.9,0.2341,790,16.9,4.8,0,0
32.8,0.2773,678,6.4,11.1,0,0
71.0,0.442,624,22.8,7.2,0,0
50.0,0.3007,718,18.3,5.1,1,0
71.7,0.3371,798,14.7,10.9,0,0
60.8,0.3903,730,28.2,11.8,0,0
53.0,0.1096,708,6.6,7.9,0,0
60.2,0.3406,668,31.2,4.7,0,0
84.3,0.2147,825,17.8,9.1,0,0
86.2,0.0,658,20.5,7.1,1,0
56.0,0.0,676,14.8,7.0,1,0
57.4,0.1278,754,4.7,6.0,0,0
71.1,0.3137,609,16.9,11.7,0,0
42.3,0.2637,796,20.7,9.0,1,0
60.0,0.2721,757,23.4,12.1,0,0
54.6,0.4841,774,16.4,13.3,0,0
59.7,0.0977,753,1.0,9.8,0,0
42.5,0.2467,710,5.7,6.0,2,0
31.2,0.2865,656,34.4,12.2,0,0
23.9,0.1616,712,9.3,9.9,0,0
38.2,0.2534,661,29.4,18.4,1,0
48.1,0.058,749,10.5,9.2,0,0
50.6,0.4192,768,16.5,10.8,2,0
84.1,0.1682,809,23.0,9.2,0,0
71.6,0.4938,742,11.4,7.6,1,0
40.6,0.2461,775,30.7,7.0,0,0
60.2,0.3734,702,18.6,9.2,0,0
48.9,0.2436,691,21.7,10.1,0,0
50.7,0.2463,748,15.9,12.6,0,0
57.8,0.1799,697,23.3,9.2,0,0
64.3,0.2643,736,30.6,6.1,1,0
49.9,0.2882,656,16.9,6.7,0,0
71.0,0.1559,667,31.8,2.7,1,0
37.9,0.235,758,13.1,14.6,0,0
55.1,0.1768,773,24.1,5.8,1,0
94.0,0.526,661,21.9,11.9,1,0
58.3,0.2392,760,9.5,9.1,0,0
76.5,0.4354,688,19.7,9.2,0,0
56.4,0.2265,721,18.1,7.5,0,0
63.7,0.2811,805,11.2,4.8,0,0
54.1,0.0914,768,20.9,4.1,0,0
52.4,0.1964,768,19.2,14.9,0,0
43.3,0.2753,835,17.4,8.5,0,0
61.5,0.4403,678,17.5,12.5,1,0
42.2,0.2766,661,17.3,13.5,0,0
65.0,0.416,677,15.1,6.4,0,0
71.3,0.3269,705,19.1,9.7,0,0
60.5,0.4453,579,12.8,8.2,0,0
50.7,0.2429,708,39.3,3.4,0,0
61.8,0.5368,687,6.7,7.3,1,0
50.4,0.1918,767,13.3,10.4,0,0
69.0,0.158,741,14.0,6.0,1,0
27.5,0.1048,684,34.3,6.7,0,0
50.0,0.5297,755,7.4,7.3,0,0
25.1,0.3483,763,21.4,16.4,1,0
32.6,0.2099,674,20.0,0.7,0,0
75.5,0.3999,690,20.7,10.0,0,0
68.4,0.3325,586,27.9,7.0,0,0
44.2,0.4859,655,27.7,5.4,0,0
32.5,0.0643,675,14.4,6.9,0,0
15.0,0.2182,724,19.6,10.7,2,0
46.8,0.1945,663,3.1,10.9,0,0
91.3,0.0132,689,18.8,8.7,0,0
61.5,0.3772,646,11.6,12.4,0,0
46.6,0.2176,730,16.5,13.1,0,0
62.0,0.3388,746,4.5,11.3,1,0
31.6,0.5332,744,21.2,5.8,0,0
50.5,0.2076,721,4.4,10.0,0,0
56.5,0.1995,628,19.2,10.0,1,0
53.7,0.2642,683,8.2,4.7,1,0
66.9,0.3685,696,11.2,1.7,0,0
60.2,0.182,696,27.2,0.0,0,0
65.0,0.1743,724,22.7,8.3,0,0
44.7,0.3769,806,27.2,9.2,0,0
68.5,0.2954,769,30.5,3.3,0,0
79.4,0.0046,661,11.8,12.2,0,0
40.4,0.103,761,30.0,8.6,1,0
41.7,0.4301,758,6.3,13.4,0,0
75.0,0.2982,672,24.0,9.5,0,0
52.1,0.1585,771,14.1,3.7,0,0
76.1,0.2296,710,10.6,9.8,0,0
48.4,0.2516,635,22.9,10.7,0,0
76.8,0.3383,747,25.6,5.8,0,0
57.0,0.087,733,25.3,2.2,1,0
58.9,0.1491,706,19.7,8.4,1,0
78.5,0.2828,718,19.1,4.0,0,0
49.6,0.238,677,22.2,12.5,1,0
40.9,0.3186,757,20.4,6.4,0,0
48.3,0.1025,717,22.3,14.9,1,0
61.8,0.2929,730,19.6,0.0,0,0
31.5,0.381,741,24.7,8.5,0,0
64.6,0.3084,651,5.0,13.7,0,0
46.9,0.2667,666,16.9,4.4,0,0
72.2,0.2385,587,6.9,7.4,1,0
19.1,0.1498,754,20.2,6.4,0,0
43.2,0.2414,647,31.1,5.3,0,0
29.7,0.4012,728,14.2,9.0,0,0
42.6,0.2357,742,19.0,2.8,1,0
58.7,0.1432,756,24.1,7.6,0,0
52.3,0.1909,648,1.5,10.1,0,0
51.2,0.2741,716,13.8,7.1,1,0
52.6,0.2052,820,20.9,4.0,0,0
58.1,0.3082,823,1.0,12.1,1,0
39.9,0.3127,779,10.2,10.9,0,0
65.6,0.3567,740,26.8,3.8,2,0
64.9,0.4208,660,26.0,2.8,1,0
60.8,0.3695,763,21.0,4.2,1,0
63.3,0.1379,711,25.1,10.2,0,0
59.4,0.1416,754,19.7,9.1,0,0
85.5,0.2409,682,22.4,11.2,2,0
53.7,0.1959,710,15.5,6.7,0,0
50.4,0.1134,730,18.9,4.3,0,0
43.7,0.197,735,12.9,11.7,0,0
39.5,0.1931,750,28.1,5.8,1,0
36.3,0.1694,685,30.2,8.7,2,0
41.7,0.2121,639,29.0,1.8,0,0
53.9,0.3914,817,14.7,5.7,2,0
60.0,0.2739,850,10.4,12.0,0,0
55.8,0.5466,747,28.2,5.1,0,0
43.5,0.2705,641,22.4,11.3,1,0
68.5,0.2152,674,20.6,0.0,0,0
66.1,0.2505,751,12.9,5.8,1,0
52.6,0.2808,800,21.4,7.3,0,0
45.2,0.3022,647,9.3,15.0,0,0
63.2,0.4992,713,23.1,3.3,1,0
57.8,0.1486,732,29.0,10.7,0,0
33.3,0.3531,772,31.0,12.2,1,0
54.0,0.2749,699,23.7,5.1,0,0
58.9,0.0615,626,6.9,6.5,1,0
41.5,0.3425,757,19.6,8.6,2,0
57.8,0.4021,787,35.1,2.1,0,0
33.2,0.1471,715,11.1,6.2,0,0
75.0,0.2489,744,17.5,13.1,0,0
73.7,0.043,692,29.3,10.1,0,0
51.2,0.0989,669,22.9,7.4,0,0
60.5,0.3758,782,37.8,8.5,1,0
18.9,0.194,743,12.1,10.3,1,0
37.7,0.1169,749,10.1,11.1,0,0
50.6,0.2775,810,27.8,5.8,0,0
38.9,0.1873,657,8.4,14.1,0,0
65.7,0.1935,687,16.4,13.3,0,0
85.0,0.3387,729,17.5,10.7,0,0
37.4,0.1106,686,26.3,4.6,1,0
42.4,0.1414,767,22.9,3.9,0,0
58.5,0.2685,709,21.7,6.7,1,0
79.2,0.3663,660,14.8,8.2,0,0
36.7,0.3986,724,27.7,0.9,0,0
58.7,0.1702,730,50.2,10.0,0,0
82.3,0.3625,776,23.5,13.1,0,0
30.2,0.1559,744,18.8,10.3,0,0
35.8,0.4691,748,7.6,5.3,0,0
48.6,0.1139,739,12.9,4.8,0,0
47.2,0.4094,709,16.3,9.2,0,0
67.2,0.1712,677,13.7,7.4,1,0
58.6,0.4916,737,17.9,9.8,0,0
28.4,0.321,700,32.2,10.4,1,0
62.7,0.1281,821,28.0,12.4,0,0
46.3,0.1873,801,16.7,3.5,1,0
74.1,0.3437,758,8.3,8.9,0,0
45.6,0.3763,743,28.7,6.5,0,0
45.5,0.2415,715,17.6,7.6,1,0
63.1,0.2554,644,4.2,11.5,1,0
66.4,0.341,707,23.7,11.9,0,0
61.7,0.2658,726,26.2,13.6,2,0
