blue_ref,red_ref,nir_ref,swir_ref,ndvi,ndwi,texture_var,thermal_bt,land_cover
0.2703,0.4277,0.33,0.3644,-0.1289,0.0279,0.04981,308.4,0
0.3661,0.2697,0.3259,0.4971,0.0943,-0.0124,0.03973,307.0,0
0.2904,0.2336,0.2201,0.5002,-0.0298,0.0869,0.12002,305.09,0
0.1527,0.1368,0.2258,0.4446,0.2452,-0.2185,0.15069,305.34,0
0.1847,0.2829,0.3071,0.2894,0.0411,-0.1356,0.04448,297.72,2
0.2563,0.1988,0.1022,0.4872,-0.3211,0.3803,0.05926,307.78,0
0.2483,0.1409,0.009,0.0045,-0.8797,0.9114,0.00499,298.39,2
0.2398,0.3073,0.312,0.4674,0.0075,-0.0656,0.02658,305.63,0
0.2745,0.2127,0.6021,0.444,0.478,-0.424,0.12332,300.09,0
0.2183,0.1582,0.0206,0.005,-0.7698,0.8029,0.00922,298.77,2
0.0303,0.035,0.7545,0.1714,0.9112,-0.9169,0.0244,293.6,1
0.2278,0.3246,0.1866,0.5215,-0.27,0.1936,0.04951,308.1,0
0.2612,0.3296,0.3368,0.2073,0.0108,-0.0655,0.09805,300.82,0
0.0382,0.0495,0.7263,0.1294,0.8724,-0.8861,0.05851,297.96,1
0.2998,0.1599,0.1611,0.3598,0.0037,0.1759,0.1129,300.48,0
0.2148,0.2085,0.1452,0.3619,-0.1788,0.1861,0.10887,306.63,0
0.3257,0.3921,0.3037,0.5123,-0.127,0.0833,0.06246,305.33,0
0.2505,0.2804,0.1516,0.4452,-0.298,0.2729,0.09071,294.75,1
0.2006,0.2385,0.2919,0.4269,0.1008,-0.1415,0.03128,299.21,0
0.3148,0.3997,0.335,0.3595,-0.0881,0.0322,0.10373,308.14,0
0.0582,0.0278,0.391,0.1302,0.8672,-0.8018,0.01871,296.4,1
0.2811,0.2359,0.1309,0.5449,-0.2862,0.3277,0.08732,302.1,0
0.2017,0.2646,0.2399,0.2892,-0.049,-0.0142,0.08928,305.97,0
0.2534,0.2149,0.1489,0.3082,-0.1815,0.2226,0.11372,303.8,0
0.153,0.2712,0.2932,0.386,0.0389,-0.1604,0.05696,302.3,0
0.1831,0.0833,0.0409,0.0185,-0.3414,0.5301,0.00248,298.35,2
0.1925,0.2478,0.3185,0.361,0.1249,-0.1826,0.05173,307.08,0
0.257,0.1666,0.4359,0.3706,0.4468,-0.3459,0.12646,306.0,0
0.0472,0.0318,0.7755,0.0809,0.9213,-0.9031,0.01357,297.67,1
0.3849,0.1694,0.4062,0.4264,0.4115,-0.1889,0.06184,299.47,0
0.319,0.4027,0.2126,0.451,-0.309,0.2586,0.04893,304.81,0
0.2242,0.4411,0.1728,0.5433,-0.4371,0.3163,0.04694,303.11,0
0.1035,0.2863,0.3343,0.4358,0.0773,-0.2633,0.10143,297.97,0
0.1982,0.0751,0.5034,0.3558,0.7402,-0.573,0.03316,309.07,0
0.1253,0.1354,0.0173,0.0099,-0.7733,0.7656,0.00835,295.54,2
0.3196,0.3392,0.2079,0.4408,-0.24,0.2262,0.08707,309.15,0
0.0373,0.0349,0.7811,0.1915,0.9144,-0.9117,0.01305,300.93,1
0.2004,0.413,0.2244,0.3097,-0.2959,0.1549,0.05064,296.93,0
0.2416,0.3413,0.1489,0.3655,-0.3925,0.3238,0.06424,306.04,0
0.0655,0.031,0.7707,0.1307,0.9226,-0.8822,0.04424,292.21,1
0.0862,0.012,0.0222,0.0065,0.2976,0.377,0.00586,295.93,2
0.063,0.0229,0.3331,0.1437,0.8711,-0.7715,0.0318,292.68,1
0.1886,0.2537,0.2125,0.4927,-0.0885,0.0201,0.0502,300.5,0
0.0371,0.0666,0.7665,0.1049,0.8401,-0.8733,0.02435,300.31,1
0.0615,0.0512,0.792,0.2174,0.8786,-0.8671,0.00913,296.94,1
0.1583,0.0198,0.0063,0.0066,-0.5188,0.8683,0.00703,295.55,2
0.2793,0.3214,0.2768,0.4962,-0.0746,0.0408,0.07263,303.41,0
0.1975,0.2736,0.1952,0.4917,-0.1673,0.0937,0.06286,302.07,0
0.171,0.215,0.34,0.4863,0.2252,-0.2758,0.03997,304.65,0
0.2806,0.3842,0.2539,0.2328,-0.2043,0.134,0.04319,305.98,0
0.2686,0.3201,0.189,0.3569,-0.2576,0.218,0.02724,305.2,0
0.1925,0.3097,0.1662,0.3796,-0.3015,0.2034,0.03168,301.81,0
0.2648,0.1892,0.3972,0.519,0.3547,-0.2727,0.03119,301.43,0
0.2772,0.5148,0.2296,0.2965,-0.383,0.2659,0.06241,305.08,0
0.2067,0.1453,0.3945,0.2662,0.4617,-0.383,0.03377,302.34,0
0.2419,0.1806,0.4642,0.4921,0.4398,-0.3744,0.08177,299.99,0
0.1688,0.1339,0.5152,0.437,0.5874,-0.5458,0.02285,303.88,0
0.1045,0.0189,0.0175,0.0055,-0.0396,0.5585,0.0011,292.71,2
0.2121,0.1743,0.3312,0.3167,0.3104,-0.2631,0.03253,303.59,0
0.2574,0.4485,0.2387,0.3741,-0.3053,0.1931,0.0517,311.61,0
0.0453,0.0283,0.4415,0.1182,0.8794,-0.8461,0.01202,300.11,1
0.269,0.1629,0.2491,0.3943,0.2094,-0.0713,0.03197,308.86,0
0.3047,0.3205,0.4053,0.5408,0.1169,-0.1292,0.06367,299.77,0
0.2887,0.4302,0.2897,0.2644,-0.1952,0.1075,0.10012,310.17,0
0.0367,0.0373,0.3524,0.0743,0.8084,-0.81,0.00775,289.32,1
0.2225,0.375,0.2806,0.4515,-0.144,0.0313,0.13426,301.62,0
0.3571,0.0723,0.4948,0.3523,0.7449,-0.3947,0.03697,308.89,0
0.2591,0.1578,0.0147,0.0078,-0.8293,0.8681,0.00756,296.63,2
0.1743,0.312,0.1822,0.4394,-0.2627,0.1434,0.04258,305.79,0
0.0651,0.0486,0.787,0.1916,0.8837,-0.8653,0.03948,295.36,1
0.1749,0.3403,0.3301,0.2922,-0.0153,-0.1233,0.10124,306.67,0
0.1758,0.1087,0.2791,0.4334,0.4393,-0.3248,0.06405,311.2,0
0.2189,0.2721,0.4015,0.4141,0.1921,-0.2412,0.04954,305.98,0
0.1552,0.3386,0.2491,0.5096,-0.1522,-0.0045,0.18,305.55,0
0.2428,0.1093,0.3738,0.3535,0.5476,-0.3597,0.09085,308.49,0
0.2044,0.0972,0.0306,0.0088,-0.5207,0.6624,0.00458,296.73,2
0.0276,0.0283,0.3522,0.1431,0.851,-0.8528,0.00808,296.97,1
0.2353,0.2735,0.3494,0.433,0.1218,-0.1574,0.03976,302.56,0
0.1529,0.2529,0.4782,0.378,0.3081,-0.4041,0.05533,305.05,0
0.1189,0.3181,0.2266,0.364,-0.168,-0.0182,0.12271,298.67,0
0.1606,0.2368,0.3288,0.3321,0.1626,-0.2466,0.03204,309.2,0
0.2233,0.2236,0.3309,0.2261,0.1935,-0.1938,0.06733,302.87,0
0.1617,0.1197,0.5115,0.3428,0.6207,-0.5685,0.04377,301.96,0
0.0396,0.054,0.7688,0.1452,0.8688,-0.8853,0.01974,293.57,1
0.0723,0.0424,0.6831,0.1443,0.8831,-0.8451,0.05083,300.19,1
0.1448,0.1928,0.47,0.3348,0.4182,-0.4714,0.09059,303.12,0
0.069,0.0446,0.5072,0.1969,0.8382,-0.7986,0.01372,290.79,1
0.079,0.0348,0.8011,0.1896,0.9166,-0.8673,0.00952,296.14,1
0.1837,0.3347,0.4698,0.4525,0.168,-0.2889,0.02769,313.6,0
0.0538,0.0372,0.7672,0.2225,0.9075,-0.888,0.03333,299.01,1
0.0293,0.0443,0.7775,0.1912,0.8923,-0.9096,0.01448,301.48,1
0.0278,0.0656,0.4052,0.0996,0.7214,-0.7934,0.00325,291.61,1
0.2759,0.422,0.2995,0.3868,-0.1698,0.0763,0.07825,305.44,0
0.0828,0.042,0.3165,0.1352,0.7659,-0.6706,0.04438,293.66,1
0.2175,0.082,0.0266,0.0079,-0.5102,0.6983,0.00133,297.21,2
0.1553,0.317,0.1723,0.3732,-0.2957,0.1563,0.16571,306.94,0
0.1049,0.1127,0.0135,0.0052,-0.7866,0.7798,0.01093,296.38,2
0.0306,0.0235,0.7416,0.147,0.9387,-0.9296,0.03757,298.96,1
0.221,0.395,0.4164,0.4594,0.0263,-0.1496,0.05859,296.37,0
0.0541,0.0655,0.3518,0.1227,0.6862,-0.7095,0.00731,295.01,1
0.0437,0.065,0.7756,0.1851,0.8452,-0.869,0.03316,302.11,1
0.0409,0.0332,0.6332,0.1893,0.9004,-0.8895,0.01706,288.91,1
0.0783,0.0649,0.8361,0.1733,0.856,-0.8422,0.03638,290.0,1
0.0683,0.0117,0.0138,0.0031,0.0791,0.4886,0.03439,291.87,2
0.1563,0.3386,0.2884,0.4234,-0.0801,-0.0764,0.06341,308.22,0
0.0833,0.0321,0.015,0.0111,-0.3616,0.5866,0.00261,294.57,2
0.1921,0.4336,0.22,0.3256,-0.3269,0.1743,0.04741,297.56,0
0.2075,0.2438,0.3157,0.555,0.1286,-0.1664,0.08683,302.11,0
0.1085,0.1076,0.0519,0.0163,-0.3493,0.351,0.00508,295.9,2
0.2712,0.0815,0.3537,0.5857,0.6255,-0.3346,0.06175,304.42,0
0.2998,0.2016,0.1541,0.3777,-0.1337,0.2387,0.0363,303.52,0
0.0335,0.0653,0.6984,0.1373,0.8289,-0.8679,0.02483,293.36,1
0.2089,0.3835,0.2805,0.4399,-0.1552,0.0273,0.05393,307.12,0
0.2603,0.2616,0.1876,0.3686,-0.1647,0.1636,0.0614,308.09,0
0.2221,0.3581,0.1578,0.2668,-0.3883,0.2954,0.05246,301.94,0
0.0496,0.0555,0.8159,0.0767,0.8725,-0.879,0.03936,293.25,1
0.2273,0.4582,0.2839,0.3274,-0.2349,0.0939,0.11819,310.34,0
0.0699,0.0235,0.7416,0.1343,0.9385,-0.8815,0.01363,295.21,1
0.0451,0.0266,0.6911,0.1916,0.9259,-0.9013,0.0307,292.39,1
0.1928,0.2288,0.3109,0.3435,0.1522,-0.1919,0.10793,302.21,0
0.3252,0.2115,0.3138,0.5061,0.1948,-0.0782,0.0154,303.04,0
0.316,0.1931,0.2059,0.44,0.032,0.1057,0.0519,304.16,0
0.0407,0.0938,0.3557,0.1188,0.5826,-0.682,0.02202,292.57,1
0.2135,0.2924,0.351,0.3547,0.0911,-0.1624,0.01696,307.63,0
0.0674,0.0351,0.7086,0.1928,0.9057,-0.8652,0.01999,295.57,1
0.0542,0.035,0.0314,0.0119,-0.0546,0.174,0.013,293.86,2
0.2296,0.2282,0.3209,0.3461,0.1688,-0.1674,0.09369,302.22,0
0.2862,0.3622,0.3531,0.2534,-0.0128,-0.0426,0.01551,303.48,0
0.0426,0.0536,0.731,0.197,0.8634,-0.8766,0.03035,295.2,1
0.0775,0.0211,0.0109,0.0055,-0.3174,0.6369,0.00347,295.22,2
0.1342,0.1181,0.0266,0.0094,-0.6319,0.6513,0.00325,298.91,2
0.2311,0.2125,0.2534,0.5475,0.0877,-0.0664,0.02848,295.8,0
0.0822,0.2822,0.2574,0.367,-0.046,-0.171,0.09403,307.98,1
0.095,0.0528,0.6946,0.0751,0.8586,-0.8076,0.04156,300.2,1
0.0562,0.0518,0.5925,0.1529,0.8393,-0.833,0.00922,288.95,1
0.0875,0.0451,0.4033,0.0842,0.799,-0.7177,0.02759,298.14,1
0.3673,0.2065,0.1429,0.4403,-0.1819,0.3349,0.09162,314.01,0
0.2607,0.2132,0.3299,0.4394,0.2148,-0.164,0.06796,298.7,0
0.037,0.0467,0.7331,0.2032,0.8802,-0.892,0.01623,297.6,1
0.2474,0.2198,0.2138,0.3617,-0.0139,0.0443,0.0489,305.89,0
0.0357,0.0348,0.7446,0.0963,0.9108,-0.9096,0.1,289.66,1
0.0663,0.0317,0.813,0.2252,0.925,-0.8863,0.02226,297.53,1
0.294,0.1992,0.2816,0.4724,0.1713,-0.0663,0.09202,306.13,0
0.222,0.1784,0.1963,0.4569,0.0479,0.0098,0.08647,310.65,0
0.264,0.4503,0.2084,0.3676,-0.3673,0.2631,0.16913,302.54,0
0.1893,0.3956,0.2224,0.4688,-0.2802,0.136,0.03549,305.73,0
0.2362,0.2943,0.2533,0.5034,-0.0748,0.023,0.08526,301.54,0
0.3216,0.2254,0.4248,0.5795,0.3067,-0.2167,0.05751,301.31,0
0.0435,0.091,0.7257,0.2596,0.7771,-0.8304,0.0222,299.96,1
0.0553,0.0588,0.8,0.1949,0.8631,-0.8669,0.0274,289.75,1
0.1632,0.2921,0.2947,0.4581,0.0044,-0.1284,0.02845,305.53,0
0.1484,0.1929,0.4474,0.4059,0.3975,-0.4477,0.04361,293.86,0
0.0485,0.0664,0.4217,0.0807,0.728,-0.7603,0.02045,296.22,1
0.2068,0.2122,0.4233,0.4719,0.3323,-0.3379,0.128,304.18,0
0.0682,0.0449,0.6836,0.2527,0.8767,-0.8472,0.03804,293.81,1
0.066,0.059,0.7898,0.088,0.8609,-0.8533,0.03522,291.9,1
0.0745,0.0429,0.7329,0.1079,0.8895,-0.8517,0.02895,297.71,1
0.073,0.0508,0.8008,0.1763,0.8807,-0.8565,0.00986,295.95,1
0.0519,0.0439,0.7498,0.124,0.8894,-0.8799,0.01484,297.72,1
0.2678,0.3233,0.2636,0.5137,-0.1017,0.0571,0.07037,312.88,0
0.3218,0.1342,0.0059,0.0036,-0.9158,0.9496,0.00767,296.24,2
0.253,0.3449,0.2545,0.3839,-0.1507,0.0802,0.07184,303.18,0
0.1509,0.3795,0.1763,0.4007,-0.3657,0.2015,0.04527,290.21,0
0.0412,0.0487,0.71,0.0806,0.8716,-0.8809,0.02283,294.11,1
0.076,0.0323,0.68,0.1041,0.9093,-0.8526,0.02683,297.9,1
0.1283,0.3539,0.3184,0.415,-0.0527,-0.1382,0.02844,304.78,0
0.133,0.1126,0.3883,0.3388,0.5505,-0.5195,0.03804,303.98,0
0.0399,0.0676,0.4133,0.1241,0.7188,-0.7697,0.0213,290.48,1
0.0618,0.0647,0.747,0.1369,0.8406,-0.8438,0.0231,293.22,1
0.2686,0.313,0.1581,0.4361,-0.3286,0.2955,0.06693,312.15,0
0.3041,0.3508,0.343,0.4282,-0.0112,-0.0232,0.06618,307.9,0
0.3631,0.2489,0.4766,0.3612,0.3139,-0.218,0.04734,304.66,0
0.2524,0.3432,0.2787,0.386,-0.1037,0.0331,0.13581,312.61,0
0.2439,0.3343,0.2051,0.4872,-0.2395,0.1699,0.12094,307.54,0
0.3898,0.3898,0.448,0.4699,0.0695,-0.0695,0.14277,304.85,0
0.0829,0.0515,0.7561,0.1093,0.8724,-0.8367,0.04928,297.46,1
0.041,0.0536,0.4612,0.26,0.7919,-0.814,0.04509,291.02,1
0.0407,0.0641,0.4504,0.1196,0.751,-0.7917,0.03081,304.26,1
0.1485,0.1854,0.1725,0.2806,-0.0362,-0.0162,0.05247,295.27,0
0.19,0.3908,0.1682,0.3329,-0.3983,0.2666,0.0376,296.32,0
0.0371,0.0682,0.3031,0.1618,0.6326,-0.7039,0.00641,297.06,1
0.0354,0.0518,0.8218,0.1203,0.8814,-0.8992,0.03223,297.39,1
0.0596,0.0325,0.7877,0.2685,0.9207,-0.8896,0.02422,292.2,1
0.292,0.1691,0.2793,0.3381,0.2458,-0.0957,0.07472,304.16,0
0.2552,0.1671,0.4075,0.2688,0.4185,-0.3174,0.0387,305.82,0
0.2063,0.3413,0.2421,0.4679,-0.17,0.0615,0.04872,303.58,0
0.3507,0.246,0.3699,0.2827,0.2013,-0.1071,0.05948,303.59,0
0.0265,0.0595,0.6936,0.1223,0.8421,-0.8833,0.04022,292.45,1
0.2286,0.1998,0.3722,0.344,0.3014,-0.2694,0.03134,306.05,0
0.0831,0.3427,0.1979,0.379,-0.268,0.0366,0.07144,311.15,0
0.2325,0.4504,0.2565,0.381,-0.2742,0.1419,0.05165,308.34,0
0.232,0.2677,0.418,0.4112,0.2192,-0.2518,0.07523,302.27,0
0.3258,0.3295,0.2357,0.5123,-0.1661,0.1633,0.07871,310.57,0
0.0842,0.0248,0.0232,0.0088,-0.0326,0.402,0.02291,293.6,2
0.0535,0.0394,0.6041,0.0849,0.8776,-0.8572,0.00942,289.51,1
0.25,0.3336,0.3406,0.2548,0.0103,-0.0771,0.10048,298.41,0
0.0602,0.0798,0.3419,0.1928,0.6215,-0.6601,0.03915,299.24,1
0.0944,0.095,0.7273,0.1141,0.7688,-0.7696,0.01103,294.17,1
0.0394,0.0309,0.8382,0.1994,0.929,-0.9195,0.01395,298.75,1
0.0798,0.4244,0.2209,0.5015,-0.3153,0.0659,0.10268,302.6,0
0.2074,0.2533,0.321,0.3669,0.118,-0.1645,0.07271,305.92,0
0.0613,0.029,0.4029,0.1005,0.8657,-0.7984,0.02812,297.6,1
0.2785,0.2072,0.2424,0.4009,0.0783,0.001,0.07867,307.0,0
0.3548,0.1934,0.3606,0.2312,0.3018,-0.1363,0.05865,306.46,0
0.0431,0.0665,0.2916,0.0662,0.6288,-0.6836,0.02407,294.78,1
0.1357,0.0675,0.4685,0.4066,0.7481,-0.6436,0.14611,304.23,0
0.1627,0.1132,0.2123,0.3092,0.3044,-0.2123,0.07187,308.67,0
0.183,0.3279,0.1326,0.3276,-0.4242,0.3168,0.06605,311.73,0
0.1237,0.3785,0.3,0.4706,-0.1158,-0.0887,0.04696,305.41,0
0.0487,0.0263,0.4525,0.1281,0.89,-0.8469,0.01824,298.7,1
0.1037,0.192,0.2703,0.4684,0.1694,-0.2928,0.04726,305.89,0
0.0658,0.0217,0.7098,0.1188,0.9408,-0.884,0.03035,298.7,1
0.182,0.159,0.1834,0.4196,0.0712,-0.0364,0.02827,308.52,0
0.3674,0.2204,0.2468,0.3335,0.0564,0.0871,0.08735,301.26,0
0.2414,0.3557,0.2173,0.3371,-0.2416,0.1576,0.08043,297.8,0
0.1348,0.2243,0.1952,0.5437,-0.0694,-0.0417,0.1228,305.43,0
0.266,0.1737,0.2052,0.4104,0.0833,0.0344,0.03533,311.06,1
0.2608,0.216,0.3408,0.3089,0.2241,-0.1768,0.13034,306.57,0
0.1737,0.1902,0.2701,0.4666,0.1735,-0.195,0.10337,303.05,0
0.1141,0.0279,0.0159,0.0044,-0.2758,0.6348,0.00691,289.28,2
0.2315,0.2981,0.2085,0.5149,-0.1767,0.1188,0.07906,307.96,0
0.0389,0.0422,0.7129,0.1399,0.8883,-0.8924,0.02027,300.87,1
0.1183,0.0135,0.0066,0.0133,-0.3441,0.8178,0.00226,291.09,2
0.0582,0.039,0.4486,0.1955,0.84,-0.8044,0.00537,290.62,1
0.074,0.028,0.019,0.0042,-0.1907,0.4565,0.00965,296.65,2
0.2023,0.1379,0.2475,0.3553,0.2844,-0.1853,0.03424,304.63,0
0.0865,0.0299,0.7555,0.1991,0.9237,-0.8569,0.02265,293.28,1
0.0577,0.0771,0.4854,0.1125,0.7258,-0.7562,0.04574,296.89,1
0.1498,0.1642,0.2144,0.2864,0.1326,-0.1545,0.04193,311.43,0
0.1943,0.1841,0.3794,0.325,0.3466,-0.3345,0.03229,307.62,0
0.1215,0.0103,0.0082,0.0147,-0.1143,0.7792,0.01717,299.52,2
0.0814,0.026,0.0051,0.0063,-0.6701,0.8255,0.00569,293.55,2
0.2057,0.3126,0.2366,0.473,-0.1385,0.0456,0.10532,310.95,0
0.3849,0.2845,0.145,0.4461,-0.3248,0.3955,0.0226,308.4,0
0.2194,0.2508,0.2579,0.3042,0.0139,-0.0462,0.0629,302.66,0
0.1954,0.1088,0.5012,0.3215,0.6433,-0.5343,0.03143,301.19,0
0.1358,0.0721,0.0066,0.0123,-0.8325,0.8807,0.00916,290.82,2
0.1986,0.2458,0.3343,0.3429,0.1527,-0.2016,0.06709,298.84,0
0.0386,0.0308,0.4862,0.181,0.881,-0.8668,0.01306,293.83,1
0.0341,0.0542,0.6783,0.1682,0.852,-0.8777,0.02712,294.92,1
0.0548,0.0156,0.0143,0.0046,-0.043,0.4215,0.00258,293.82,2
0.0267,0.039,0.6643,0.1263,0.8892,-0.9059,0.00939,294.24,0
0.1905,0.4168,0.2932,0.4089,-0.1741,0.0175,0.03667,305.68,0
0.1585,0.3993,0.2253,0.5273,-0.2786,0.1063,0.12021,307.93,0
0.1431,0.2711,0.248,0.3769,-0.0444,-0.09,0.11612,306.86,0
0.0865,0.0354,0.7409,0.1352,0.9088,-0.848,0.01282,296.07,1
0.1237,0.3233,0.3008,0.3058,-0.0361,-0.1474,0.00894,304.81,0
0.0495,0.0677,0.8278,0.211,0.8488,-0.8678,0.01641,292.98,1
0.3042,0.235,0.2269,0.2815,-0.0176,0.0861,0.07023,300.72,0
0.3501,0.1777,0.2333,0.2946,0.1353,0.0616,0.04624,304.82,0
0.0355,0.0515,0.3862,0.2221,0.7645,-0.7974,0.01465,295.84,1
0.0488,0.0103,0.0051,0.005,-0.3396,0.7059,0.00652,291.67,2
0.2241,0.2778,0.3588,0.3688,0.1272,-0.1769,0.07302,307.91,0
0.0587,0.0522,0.7669,0.1712,0.8726,-0.8652,0.05451,299.65,1
0.2324,0.0784,0.496,0.4701,0.727,-0.5228,0.04875,303.38,0
0.0521,0.0506,0.4307,0.1219,0.7899,-0.7869,0.01144,299.09,1
0.0638,0.0378,0.4273,0.1636,0.8376,-0.7876,0.04158,289.73,1
0.2851,0.2805,0.1239,0.3467,-0.3873,0.3908,0.08878,300.8,0
0.251,0.2322,0.2246,0.4089,-0.0165,0.0363,0.1348,307.62,1
0.0581,0.0484,0.7956,0.2008,0.8854,-0.8746,0.01586,294.33,1
