egt_c,cit_c,tbmt_c,brg_c,ics_c,lube_c,amb_c,op_state
518.97,13.45,867.47,84.54,310.52,58.81,15.99,0
505.9,16.05,871.46,94.25,311.55,62.05,11.11,0
621.68,1.7,1020.14,116.76,,98.83,1.75,2
486.3,20.05,759.92,210.69966236349327,298.33,61.28,19.07,0
500.24,24.39,853.0,84.58,,65.57,24.15,0
550.87,26.64,876.67,84.63,,55.75,26.84,0
560.46,18.92,913.29,83.42,331.52,62.72,17.54,1
577.81,24.78,967.35,78.82,326.41,60.0,28.12,1
616.69,14.52,1025.01,121.1,390.2,98.62,17.19,2
651.61,33.32,,133.26,410.02,90.31,30.26,2
634.79,27.48,1053.1,101.23,358.03,80.0,29.6,2
522.48,24.19,864.78,84.85,306.46,55.37,27.67,0
551.45,20.62,938.74,69.62,314.02,43.13,26.9,0
590.03,30.84,973.83,95.71,372.17,69.16,35.03,1
550.27,24.71,902.91,93.24,318.45,60.0,24.75,1
506.25,22.86,800.38,69.9,278.65,54.48,25.5,0
614.0,11.16,980.0,126.33,352.9,97.81,9.63,2
544.46,38.54,900.0,90.8,332.17,76.98,44.06,1
638.08,20.04,1113.5,125.62,353.94,99.57,16.4,2
651.23,34.1,1068.98,93.12,366.55,80.0,37.59,2
523.54,26.17,,78.8,285.57,49.03,24.61,0
518.84,27.41,852.02,80.42,317.47,53.61,26.37,0
589.45,22.51,1007.15,86.49,339.2,64.84,23.21,1
614.79,18.77,1002.11,126.41,355.61,89.93,23.39,2
522.44,30.91,,87.25,303.22,70.92,31.25,0
523.83,22.11,1360.395981947242,76.36,304.53,52.37,22.54,0
490.76,14.47,131.4392555995235,82.15,,56.13,13.66,0
504.52,25.96,842.59,,296.49,58.26,29.22,0
494.52,22.51,840.44,66.93,272.67,51.52,24.81,0
41.09,4.85,,-18.21,50.18,33.28,14.31,3
597.82,30.78,924.42,100.27,371.91,78.57,29.0,1
576.29,25.48,928.57,114.05,345.42,82.68,22.53,1
530.0,36.49,900.0,83.78,310.0,60.24,34.21,1
589.0,24.85,941.96,96.99,349.37,,19.83,1
515.06,20.65,839.07,85.85,313.74,59.26,20.38,0
545.39,26.27,865.98,79.93,305.6,51.9,31.33,0
531.76,14.91,871.1,67.35,318.12,56.14,14.48,0
577.79,9.72,940.39,95.54,323.51,88.71,11.25,1
,26.76,844.54,87.97,302.38,62.22,25.5,0
590.86,36.86,,94.25,349.17,79.33,37.09,1
543.46,17.44,877.0,95.15,,67.38,16.88,0
627.03,31.64,1157.51,154.96,475.69,137.76,25.36,3
505.87,20.61,821.98,79.59,302.29,63.76,15.88,0
564.94,22.7,953.46,75.58,341.01,50.45,25.3,0
540.5,22.59,887.62,92.44,312.99,66.41,21.87,0
622.42,21.95,1004.23,131.81,,116.57,22.35,2
84.24,30.48,132.11,-0.23,33.26,-4.26,26.54,3
535.02,26.57,900.0,82.76,343.45,60.0,31.62,1
525.84,15.24,813.93,68.11,315.96,45.64,17.41,0
581.92,27.15,1045.9,124.52,345.0,89.55,24.86,2
497.9,27.69,809.95,73.38,286.46,58.91,23.25,0
132.317204847117,26.65,830.4,63.05,295.4,42.59,26.6,0
584.81,21.33,977.73,103.14,327.83,82.36,16.99,1
658.38,16.78,1120.0,105.66,393.88,80.0,21.8,2
616.82,26.41,1023.49,118.19,380.25,80.0,26.74,2
542.83,14.1,870.61,74.73,303.65,52.42,9.96,0
633.52,33.61,1018.25,113.91,392.73,99.77,36.37,2
605.07,28.11,980.0,116.96,407.44,83.79,28.22,2
505.23,26.39,846.94,77.23,279.15,64.76,24.98,0
533.48,17.55,875.65,76.21,317.78,59.85,17.29,0
525.7,27.95,848.01,60.33,294.11,40.27,29.1,0
501.44,27.31,831.52,62.55,298.61,50.0,33.55,0
957.6462970216476,16.01,863.87,80.05,,67.38,14.74,0
663.16,20.95,1098.44,136.29,378.25,115.99,27.04,2
571.59,30.7,968.87,92.25,363.49,75.48,25.41,1
549.89,6.29,906.65,94.87,334.3,73.82,4.95,1
597.43,34.02,981.07,89.15,371.91,63.87,34.35,1
494.24,40.18,837.11,72.02,293.24,52.0,42.01,0
535.3,23.35,898.74,75.9,314.75,54.41,24.78,0
539.34,20.07,854.31,69.96,,52.94,22.07,0
596.45,21.57,1001.81,119.7,367.64,81.65,21.43,2
521.77,13.08,879.11,82.46,312.11,53.95,9.26,0
549.55,45.0,,110.15,328.85,78.67,45.05,1
556.99,38.74,,89.71,338.41,67.74,38.12,1
539.79,21.53,836.89,71.08,308.22,66.09,20.2,0
536.97,13.71,878.79,74.97,318.57,48.68,14.14,0
495.98,15.38,802.98,77.63,270.06,54.7,17.0,0
563.56,5.57,900.0,100.24,336.99,73.83,1.21,1
539.44,25.14,892.56,85.93,324.63,61.18,30.28,0
542.36,14.97,886.43,58.47,314.1,40.64,13.14,0
510.13,15.76,848.47,76.74,,41.05,17.29,0
553.54,13.86,900.0,91.85,337.07,74.31,13.92,1
530.1,27.64,858.89,73.94,299.32,54.24,30.96,0
554.83,26.31,899.72,73.85,318.08,62.97,19.86,0
528.99,15.05,850.85,74.43,307.08,58.97,15.69,0
594.85,20.81,,104.24,337.43,70.93,20.87,1
531.82,35.95,849.34,69.14,310.98,55.98,34.0,0
531.25,20.25,853.97,71.68,308.41,50.23,18.62,0
562.02,19.23,943.88,92.14,328.75,78.27,18.39,1
620.7,31.98,,110.97,370.83,80.0,29.13,2
515.65,21.02,830.86,64.7,303.85,35.0,18.89,0
507.84,24.49,814.31,79.83,283.86,50.29,22.44,0
531.27,10.77,869.02,73.24,301.54,60.24,12.63,0
554.93,23.46,901.18,77.28,,58.79,21.42,0
628.13,18.73,1000.9,115.64,387.98,84.44,18.14,2
550.5,15.32,934.63,73.36,,61.93,14.43,0
679.01,21.27,1142.06,153.0,513.63,122.26,35.94,3
511.31,25.61,827.51,81.94,287.65,56.49,25.11,0
521.36,20.06,882.13,82.81,310.95,65.9,19.83,0
516.52,25.58,827.59,80.78,286.49,51.14,29.31,0
590.08,33.26,1042.64,113.6,360.66,82.15,34.26,2
595.08,27.8,1051.66,147.65,345.0,110.55,30.35,2
570.95,11.79,,81.28,330.17,66.73,11.52,1
594.44,36.07,980.0,90.0,355.93,88.31,34.97,3
498.43,16.63,844.08,75.03,270.0,48.98,16.79,0
591.26,14.8,1009.83,100.74,345.0,80.0,9.82,2
607.23,33.03,1008.43,107.72,345.0,81.25,31.56,2
557.02,21.15,907.62,,351.71,72.13,17.97,1
609.08,30.19,1063.58,106.64,379.03,81.06,28.48,2
539.35,23.33,,86.44,,62.2,28.35,1
67.14,-13.73,39.29,29.04,,43.58,16.76,3
510.41,13.24,832.75,60.24,276.92,48.6,8.69,0
551.79,33.66,936.35,84.11,327.23,48.2,32.54,0
550.65,33.55,,78.89,335.02,62.78,34.75,1
483.1,18.46,783.13,274.6251187803455,293.98,65.95,20.96,0
586.75,24.2,939.34,82.88,354.6,63.33,22.12,1
586.01,22.69,,98.31,373.82,69.0,22.95,1
7.54,27.25,145.41,40.07,88.82,39.24,14.38,3
510.88,23.42,823.43,74.24,283.9,51.52,25.82,0
518.49,25.2,839.55,76.96,,56.15,24.66,0
530.0,27.61,900.0,104.35,323.15,84.06,30.91,1
519.46,25.94,833.29,77.82,,61.18,25.88,0
519.74,30.98,836.25,98.46,614.1663772319655,68.24,27.25,0
530.0,25.64,,91.25,310.0,70.05,25.86,1
514.44,23.55,848.8,74.05,292.63,50.81,29.64,0
651.83,26.15,1068.37,117.81,420.21,104.84,27.95,2
530.63,25.43,878.51,,322.12,57.01,22.72,0
535.13,25.67,869.04,76.82,311.39,59.03,24.25,0
520.34,19.01,823.67,80.94,301.14,59.33,22.13,0
631.15,38.23,1076.2,139.34,407.4,112.62,38.96,1
512.84,29.04,890.69,81.29,274.13,68.67,29.46,0
574.59,30.96,,87.35,358.42,68.19,32.28,1
513.52,14.8,,71.11,298.7,44.44,19.4,0
522.34,25.5,859.25,85.34,,55.28,21.7,0
505.57,17.34,,66.92,291.61,45.8,15.32,0
516.82,8.63,813.41,263.24339884326093,290.15,62.56,4.03,1
538.67,21.87,850.24,77.5,313.47,63.76,20.38,0
584.35,24.08,964.12,89.7,327.34,75.47,22.9,1
557.51,23.25,,104.35,342.2,75.24,23.58,1
618.56,23.19,1013.9,111.29,388.27,95.57,23.05,2
518.39,36.21,823.31,81.73,298.34,47.57,39.85,0
580.0,30.07,980.0,116.64,364.24,83.78,35.35,2
560.11,43.32,965.81,105.61,333.26,68.7,41.78,1
560.6,35.51,936.14,82.01,339.3,62.75,36.27,1
587.44,25.0,1001.88,111.12,403.17,85.1,24.64,1
537.72,22.32,870.55,66.55,,53.7,26.13,0
537.76,21.99,,91.79,320.78,59.09,20.08,0
555.37,20.87,906.96,80.15,323.04,61.24,16.99,1
121.84194433705571,23.17,867.47,81.09,,60.91,28.69,0
505.48,23.88,829.8,70.0,290.36,40.18,27.27,0
522.89,19.33,,76.15,294.62,52.86,16.48,0
574.38,12.96,964.86,95.23,348.53,67.81,10.93,1
487.32,15.39,791.4,73.03,282.13,55.74,13.65,0
512.09,17.69,809.88,78.14,270.0,64.24,19.01,0
539.12,19.25,857.76,69.81,297.02,43.9,23.85,0
625.08,23.41,1150.36,142.87,462.0,163.89,29.25,3
77.28,28.93,,-5.88,43.86,12.71,31.75,3
631.89,11.13,1053.2,131.9,384.86,103.92,13.39,2
532.49,26.32,886.31,64.53,310.23,56.26,28.45,0
638.4,16.76,1114.9,114.49,380.73,80.0,15.86,2
493.1,24.17,,85.25,299.08,57.78,25.15,0
503.77,21.32,804.78,64.89,315.63,41.05,25.02,0
503.32,29.0,,95.71,294.15,76.65,28.06,0
522.92,23.25,874.87,75.07,317.53,59.75,25.21,0
532.21,15.66,870.05,65.21,285.81,49.38,12.04,0
630.01,21.61,1061.91,99.25,368.07,80.0,19.22,2
486.04,26.33,780.55,76.2,278.53,56.94,31.28,1
588.67,26.69,1001.43,78.71,334.48,60.0,27.87,1
526.55,11.51,870.3,70.01,310.53,51.93,11.66,0
612.69,20.7,1056.83,109.97,372.1,80.0,20.96,2
576.38,25.07,983.65,87.13,,63.03,30.9,1
592.29,21.58,900.0,94.53,354.13,66.06,22.01,1
519.88,29.89,831.23,71.41,300.35,53.17,29.35,0
641.74,36.75,1113.91,118.89,388.26,91.27,37.96,2
497.61,33.64,832.79,85.36,287.42,63.72,33.11,0
600.79,26.86,1054.88,132.06,356.62,91.8,23.81,2
535.06,20.59,886.54,69.57,292.35,48.64,16.46,0
596.14,29.37,1011.5,99.74,372.5,72.95,30.4,1
577.9,15.25,966.87,101.19,,81.08,18.49,1
525.51,15.64,837.59,78.55,279.91,53.35,16.68,0
503.13,23.74,828.56,78.73,298.47,55.14,19.92,0
502.94,28.65,830.37,83.13,,60.66,28.46,0
572.91,14.2,942.54,92.71,342.87,68.47,10.0,1
595.54,18.57,1008.04,90.24,363.04,60.0,15.18,1
525.93,13.37,847.55,66.29,314.33,51.75,16.86,0
513.66,23.3,822.33,95.83,304.64,62.5,19.66,0
83.63,-1.34,146.26,22.0,201.35,,29.6,3
563.36,19.64,893.4,67.16,332.03,45.88,22.85,0
664.0,32.58,1120.0,118.89,388.01,88.39,25.91,2
526.4,12.6,877.99,57.72,293.44,35.0,6.76,0
563.4,13.91,938.49,87.48,,60.38,15.49,1
545.12,18.36,,81.08,316.46,55.73,22.07,0
539.92,21.87,878.05,78.65,282.64,60.46,21.16,0
520.35,18.08,869.16,72.81,311.51,47.6,15.86,0
504.99,16.56,,79.59,296.12,47.98,16.77,0
519.48,39.42,830.22,69.84,297.51,52.17,41.91,0
591.63,28.75,1020.93,235.52406251963544,363.94,84.75,28.39,2
581.11,11.3,,83.67,342.59,60.0,2.78,1
548.45,26.65,903.25,,,60.0,24.97,1
644.06,35.96,1085.78,115.63,380.23,107.61,33.78,2
572.95,16.41,952.69,92.74,361.6,73.39,14.04,1
568.04,25.19,942.77,99.52,328.81,87.36,30.93,1
555.49,2.2,982.78,101.94,335.1,73.87,3.59,1
631.9,30.81,,132.23,412.34,106.91,36.12,2
526.35,27.3,838.13,83.59,,,27.19,0
553.94,21.95,932.52,95.72,347.78,72.75,25.49,1
560.74,31.74,900.0,78.88,324.43,60.0,29.23,1
542.74,14.83,881.36,78.69,308.05,62.84,12.7,0
667.86,22.73,1099.02,109.22,428.34,80.0,18.45,2
588.63,27.6,1020.0,85.23,,61.97,26.96,1
595.85,18.43,979.99,90.79,352.12,65.84,14.46,1
493.61,25.87,,67.51,283.56,47.01,28.48,0
577.08,14.09,960.38,92.9,344.91,61.4,16.14,1
590.82,24.22,979.74,92.99,,72.42,20.89,1
586.74,23.49,950.52,100.58,362.67,80.2,20.23,1
534.96,35.53,900.0,100.19,320.86,78.97,32.17,1
520.41,23.1,820.9,89.43,286.58,64.4,20.01,0
581.87,27.15,999.0,93.06,321.19,78.53,21.33,1
565.8,22.75,,90.11,337.87,71.94,25.49,1
519.15,23.58,863.93,63.23,315.53,41.8,27.13,0
582.23,45.0,964.53,95.96,356.93,70.92,49.59,1
480.93,30.46,796.32,76.85,270.0,61.24,30.28,0
555.07,16.56,,76.84,314.46,60.0,10.16,1
544.71,32.74,935.31,93.78,311.7,83.61,35.55,1
610.91,5.62,,109.64,398.33,85.36,5.89,2
592.06,28.11,953.78,105.29,369.61,84.53,27.47,1
515.02,13.82,,70.87,281.66,51.6,15.0,0
539.62,30.97,942.63,94.61,,65.87,39.03,1
619.9,24.12,,108.47,,84.27,23.63,2
500.96,17.79,819.66,73.19,270.0,44.89,29.9,0
520.4,16.83,,88.28,282.42,,11.5,0
547.46,12.03,900.0,94.69,329.28,68.47,8.95,1
534.34,27.1,820.75,71.49,303.42,49.14,25.03,0
522.65,25.72,,63.39,,51.43,21.64,0
584.59,30.22,980.0,108.51,,91.09,29.26,2
507.4,16.6,843.27,77.68,295.47,57.71,18.55,0
542.44,14.04,827.91,,300.1,62.01,14.81,0
549.35,25.42,895.99,79.28,328.22,60.3,25.79,1
522.78,12.35,872.61,88.19,284.14,78.22,11.87,0
523.87,15.76,857.54,84.74,22.022716254589813,57.16,18.48,0
530.75,29.18,885.84,91.97,328.53,,28.9,0
521.69,20.55,845.57,82.88,,65.47,24.66,0
494.1,10.14,793.79,67.0,296.19,57.34,7.86,0
517.06,22.74,873.04,79.45,276.98,53.32,23.31,0
529.68,22.31,890.2,,322.99,56.07,18.28,0
540.63,18.54,900.0,96.99,338.15,71.66,14.12,1
73.41,-0.28,,34.14,62.99,29.21,15.06,3
583.87,24.76,952.2,88.83,339.54,72.72,19.05,1
553.79,20.19,893.77,67.32,337.21,51.31,19.94,0
547.26,16.81,883.07,84.49,304.79,63.54,17.53,0
518.32,18.74,822.24,65.51,303.71,49.92,20.99,0
532.51,21.29,907.37,77.82,304.64,60.87,19.16,0
586.73,16.4,948.45,104.05,346.01,73.13,16.57,1
499.75,22.06,772.42,65.76,303.1,35.0,25.79,0
531.59,8.63,890.74,79.24,281.15,53.49,3.89,0
623.33,33.52,1073.41,104.62,,93.97,35.45,2
641.81,6.39,1083.89,130.79,348.42,89.85,7.28,2
618.88,13.06,1020.0,94.19,375.95,66.49,9.76,1
628.31,45.0,1120.0,112.22,384.53,83.74,42.99,2
492.66,17.69,808.3,78.43,285.29,63.65,15.99,0
561.5,27.96,917.93,86.7,335.67,64.81,31.5,0
502.43,19.93,841.62,80.98,273.49,50.36,18.92,0
514.81,21.65,817.14,77.67,324.36,60.16,24.97,0
606.12,16.37,998.31,93.12,372.74,62.24,15.04,1
531.59,19.12,887.98,63.11,301.45,42.76,16.38,0
547.5,24.51,898.96,67.2,331.59,42.03,20.82,0
505.35,24.42,789.13,68.87,289.92,42.65,26.82,0
623.65,31.7,1072.49,126.79,382.65,107.75,32.5,2
581.38,24.75,914.94,86.91,329.87,60.0,23.15,1
665.34,29.83,1120.0,118.21,,100.81,26.14,2
507.81,15.64,,,283.86,63.88,17.76,0
507.72,18.4,806.19,77.09,288.09,55.12,21.87,0
516.27,23.21,791.88,84.6,302.59,60.65,21.19,0
596.66,27.82,1065.06,90.43,378.63,80.0,31.38,2
583.05,10.78,958.95,93.37,380.28,74.82,3.11,1
617.84,14.7,1014.85,115.64,396.67,92.74,21.93,2
520.03,28.61,,61.05,300.71,46.11,22.78,0
637.65,27.7,1051.36,106.55,438.1,89.55,28.26,2
523.74,20.1,856.46,73.21,288.62,52.44,22.82,0
526.89,21.51,,85.72,,64.4,21.98,0
535.85,29.36,932.55,78.11,301.32,58.53,29.17,1
541.4,27.06,922.54,70.63,307.9,50.64,25.71,0
620.0,23.27,1011.87,85.16,397.93,66.61,25.7,0
585.04,24.0,994.73,75.0,347.87,60.0,21.71,1
606.02,31.97,1024.65,130.87,348.66,111.63,35.99,2
493.23,27.8,783.84,70.96,284.49,43.47,25.92,0
602.59,13.81,980.0,114.29,348.65,94.07,13.34,2
632.81,27.45,,131.54,392.97,84.58,32.86,2
599.9,24.32,,89.89,355.66,60.0,25.24,1
41.44,18.67,,-10.28,0.33,8.4,26.15,3
543.94,19.96,900.0,85.02,340.87,65.68,17.38,1
624.48,36.03,,110.33,378.73,80.0,35.25,2
652.54,36.52,1079.34,126.38,391.26,89.72,41.92,2
515.77,20.63,837.14,77.3,,56.72,18.62,0
517.46,34.14,798.1,92.09,305.15,55.12,28.68,0
546.6,24.48,,98.41,310.0,75.25,27.62,1
535.04,20.92,833.39,69.02,315.49,42.26,24.9,0
537.39,26.08,888.89,76.78,320.37,53.26,26.59,0
527.41,5.69,848.67,73.63,321.53,48.78,2.09,0
513.91,17.87,,74.49,279.15,51.7,21.49,0
517.29,3.79,839.51,70.82,302.35,41.81,7.63,0
490.82,12.47,747.1,72.8,275.13,52.21,12.25,0
552.88,18.57,941.13,84.12,321.9,76.88,23.31,1
595.75,25.71,990.37,85.91,,60.3,22.14,1
532.68,35.92,900.0,82.4,325.45,60.0,37.06,1
574.88,20.18,968.73,96.86,348.36,74.23,20.08,1
638.78,32.54,1065.21,113.23,382.29,84.37,34.65,2
488.19,21.43,779.89,74.8,270.0,44.93,,0
561.48,18.01,946.13,87.93,,71.3,14.6,1
527.36,41.72,860.6,76.43,315.63,62.32,39.86,0
512.55,33.45,829.13,66.13,291.87,52.64,37.37,0
543.15,21.0,,100.77,314.73,81.72,21.87,1
563.49,33.63,,86.91,332.69,60.0,34.75,1
491.91,19.79,800.88,81.8,272.81,66.67,18.94,0
563.17,14.73,931.42,96.1,348.89,67.54,14.29,1
501.29,27.14,,68.19,296.43,35.0,24.94,0
513.62,29.65,846.97,98.24,,71.78,32.38,0
645.38,16.08,1120.0,112.99,366.29,80.0,18.0,2
51.23,-11.66,-50.0,31.08,109.91,7.6,27.02,3
529.99,13.75,863.29,78.81,333.95,60.25,12.01,0
523.77,14.86,835.69,87.57,315.72,57.55,17.85,0
61.98,32.88,258.94,90.79,,4.95,26.05,3
515.87,17.37,853.47,80.25,292.42,48.69,23.14,0
663.8,20.71,1120.0,103.83,400.26,80.0,21.27,2
597.31,18.52,980.0,113.61,358.73,80.0,23.17,2
559.16,20.94,910.53,103.85,341.31,70.18,18.78,1
518.55,21.7,848.13,71.86,298.08,40.12,26.46,0
640.18,23.61,1120.0,117.74,387.36,103.91,22.98,2
536.39,20.69,,85.87,320.81,67.92,25.91,0
550.63,12.39,,85.63,306.11,55.0,9.96,0
497.93,23.21,794.43,73.32,,52.27,22.49,0
563.56,27.21,907.04,74.43,327.81,47.09,28.23,0
524.55,26.62,838.77,64.39,303.42,45.01,24.77,0
647.26,35.42,1084.94,120.16,384.46,86.55,33.71,2
