altitude_km,vertical_extent_km,temperature_c,optical_thickness,droplet_radius_um,liquid_water_path,wind_shear,humidity_pct,albedo,pressure_hpa,cloud_type
2.0336,2.8117,8.7815,4.8562,17.0107,350.4004,4.1251,83.7362,0.6949,799.4788,Cumulus
1.5872,2.168,9.4473,2.4379,12.5098,246.4595,4.2087,73.4313,0.325,841.916,Cumulus
3.3003,2.9039,2.5736,4.7799,15.7439,375.4874,3.0378,100.0,0.6797,677.6457,Cumulus
2.0609,2.7442,1.8301,5.9204,13.9009,353.2811,4.7051,67.2768,0.719,783.3744,Cumulus
1.8145,1.7332,4.4504,2.9954,13.8924,198.8791,2.3329,75.8913,0.371,803.4511,Cumulus
1.8831,1.6226,4.141,5.748,15.4565,182.4561,3.8102,64.0585,0.4977,813.3434,Cumulus
2.6791,3.2521,5.4247,5.1335,16.267,426.6839,5.0933,83.3208,0.6295,752.631,Cumulus
2.5289,0.7185,10.5388,4.0344,15.6562,126.2633,3.5544,77.4051,0.2309,772.2412,Cumulus
2.5715,2.9643,7.3243,6.282,14.9981,337.8136,5.0637,63.3881,0.6489,731.9532,Cumulus
2.5877,2.4175,8.7856,1.6966,15.4256,271.626,2.3648,69.8272,0.2622,745.0807,Stratus
4.1275,3.8466,3.1028,5.52,14.4981,552.3357,9.9361,86.7183,0.7666,589.2024,Stratus
1.8342,2.4052,6.1534,7.4292,15.4667,292.1529,3.4909,85.5171,0.7962,818.328,Cumulus
1.739,3.3276,10.349,7.1599,15.7235,433.0765,4.1992,58.856,0.8527,833.4312,Cumulus
1.4676,2.4825,10.3798,5.5847,15.6361,298.3093,7.3812,68.3403,0.5811,879.4351,Cumulus
2.7544,2.891,5.1017,4.5475,15.8894,318.2294,2.7484,91.214,0.5336,703.832,Cumulus
3.2161,3.3895,8.6466,4.0463,11.5319,464.7433,4.137,71.3282,0.7118,679.2564,Cumulus
2.0974,2.43,16.7954,4.5456,14.2349,270.1928,2.3872,74.8342,0.5705,787.77,Cumulus
1.4439,3.5972,7.9296,5.8157,11.9709,510.0209,6.0766,83.2693,0.8076,833.6757,Cumulus
1.458,2.005,5.2273,3.7891,14.3562,178.7004,4.5198,59.6784,0.2763,853.3962,Cumulus
2.7855,3.0357,7.305,6.1361,17.4569,382.0404,4.2396,63.603,0.8963,735.1793,Cumulus
2.8689,3.5381,8.3687,8.1997,14.7723,456.584,1.8148,69.763,0.9042,698.469,Cumulus
2.6888,3.328,7.3953,4.9072,15.8626,434.9967,4.1043,85.0462,0.7505,734.7987,Cumulus
1.601,4.3332,7.8746,2.9834,15.8957,637.5442,3.9118,83.1977,0.645,818.7366,Cumulus
2.4089,2.1892,2.2262,2.9829,12.8571,249.5137,3.629,80.1977,0.3812,790.3814,Cumulus
2.305,1.6967,4.1495,6.1648,14.034,154.522,2.9057,71.6084,0.5499,772.5974,Cumulus
2.3968,2.0045,7.4027,4.9104,14.8058,221.5761,2.9269,84.2957,0.516,744.5532,Cumulus
2.9843,3.3284,7.3389,6.3152,10.9906,427.2943,3.2896,71.4735,0.8865,696.1421,Cumulus
2.4012,3.1983,5.7352,4.1995,12.7016,414.9859,1.5994,78.7797,0.7159,764.5216,Cumulus
2.811,2.8818,7.2919,6.2459,16.2544,362.9658,3.4483,82.1204,0.7263,751.7896,Cumulus
2.2608,1.9016,8.2441,4.7626,16.7047,211.588,1.8168,89.9682,0.3943,762.9518,Cirrus
2.4602,3.4135,11.5577,3.9012,15.5145,422.8091,2.8051,72.4368,0.5737,750.5908,Cumulus
2.7682,1.8202,7.6032,4.3985,16.1949,194.365,3.479,69.3739,0.4197,725.5388,Cumulus
0.8886,3.7272,9.5964,3.2044,13.3805,552.5457,9.9614,85.9508,0.7658,938.5638,Cumulus
1.9123,5.086,5.8336,7.984,15.626,827.8762,3.6289,86.7185,0.95,774.678,Cumulus
1.7767,3.0932,10.2884,4.8554,14.6736,334.3624,4.2231,67.5663,0.6274,836.2647,Cumulus
1.625,3.2665,9.5029,5.9668,14.7406,423.2213,5.0365,61.9497,0.7042,823.0398,Cumulus
1.9524,2.4057,11.4633,4.1947,13.502,307.7395,1.5496,85.1903,0.5478,815.7517,Cumulus
3.5454,1.3518,10.8538,3.4221,15.7095,136.1401,4.3309,56.5827,0.216,658.5221,Cumulus
1.4208,2.3178,10.3549,4.6492,16.2543,256.1651,4.4595,56.072,0.4578,865.9321,Cumulus
3.0715,1.9257,7.6063,6.6518,17.0551,208.769,2.9146,70.317,0.6162,692.4525,Cumulus
0.6854,1.6424,8.9798,4.2189,12.7949,183.1895,8.0258,73.0244,0.3708,945.5375,Cumulus
1.8986,4.1779,12.254,3.6942,12.9975,573.354,4.7617,61.4005,0.6971,826.8024,Cumulus
2.3465,3.0183,5.3917,5.2332,15.9067,409.6663,2.7923,74.2186,0.7229,752.4132,Cumulus
2.7276,3.1038,5.4864,5.7485,15.9742,386.2908,3.1657,74.6647,0.7678,748.552,Cumulus
2.8401,2.5528,8.7257,7.4643,15.0207,283.4124,2.6575,67.1961,0.7292,723.5856,Cumulus
2.914,2.6617,9.6611,5.5306,14.2587,348.8315,3.5654,92.3346,0.6485,717.1082,Cumulus
1.8861,3.5716,4.7036,5.966,15.0779,448.0318,4.6239,76.2976,0.7896,827.8061,Cumulus
1.7839,2.7741,7.7009,6.0789,12.6289,324.0489,3.9892,83.2849,0.7047,805.732,Cumulus
2.9722,3.2246,7.624,3.2705,15.889,392.2603,3.8722,57.4379,0.5811,717.7132,Cumulus
2.0278,2.6432,-0.8611,3.555,17.9982,345.5098,2.8523,57.3516,0.5333,803.6179,Cumulus
1.0519,2.5263,7.1216,3.3742,16.6252,296.5901,7.2312,76.6006,0.4723,892.1232,Cumulus
1.18,1.6745,7.3707,3.0018,15.1501,134.7669,7.6711,90.5486,0.2105,882.0606,Cumulus
1.3725,1.2178,7.3588,6.1932,12.3666,104.5289,7.013,61.9006,0.3174,859.9936,Cumulus
2.6474,2.5908,13.6637,5.4351,14.4951,319.1476,4.3575,73.4338,0.6223,724.4471,Cumulus
2.3282,2.8452,3.1368,5.1192,17.687,359.0387,3.4532,59.649,0.7444,758.3458,Cumulus
2.8214,1.7711,4.7015,1.1109,12.5062,232.283,3.5266,64.8138,0.1198,710.2258,Cumulus
1.8155,2.7724,-2.4488,8.0832,15.4164,359.5806,3.702,73.9311,0.8422,812.3816,Cumulus
2.3427,2.843,6.0763,3.6586,17.793,343.9589,1.6121,67.0739,0.4435,790.2721,Cumulus
2.763,1.0752,6.4174,8.0777,16.0616,72.8979,2.492,58.9448,0.3185,738.0461,Cumulus
1.9216,2.0679,5.9601,2.8261,18.5851,252.4698,3.7119,58.7208,0.2825,784.3443,Cumulus
2.6111,3.1258,12.4307,3.7814,13.1952,395.3818,2.778,53.1399,0.5168,732.5054,Cumulus
1.6043,3.1096,11.4425,1.6957,12.954,374.7359,6.1704,76.7658,0.4603,842.046,Cumulus
1.8733,1.8771,8.3114,5.5432,17.4131,197.883,5.2411,77.9758,0.495,824.2011,Cumulus
1.8564,2.9268,6.5175,3.3481,13.0234,343.3235,3.3259,77.9255,0.601,803.6887,Cumulus
1.1237,3.6179,12.1048,3.3905,13.3973,476.5739,8.055,62.9082,0.7036,877.593,Cumulus
2.6383,3.4217,7.921,2.9412,14.0991,442.8953,2.0559,82.0595,0.5974,742.5829,Cumulus
1.7775,2.7238,4.7269,6.166,16.8713,344.5969,5.1807,79.0678,0.7095,829.6743,Cumulus
2.2112,2.4256,1.135,6.0672,15.8406,272.0424,4.5279,72.0729,0.7133,786.7297,Cumulus
2.6327,2.2965,6.2347,7.7181,14.8846,244.7066,4.4477,70.4317,0.7461,739.423,Cumulus
2.6019,3.1743,11.0186,3.9714,13.9743,384.2627,2.7058,65.5088,0.6164,773.3391,Cumulus
2.7988,2.9561,17.1062,5.3282,16.1949,380.4533,4.1204,73.9216,0.7483,717.3092,Cumulus
2.1114,3.3035,8.2464,3.066,20.8905,416.524,1.4312,88.1725,0.5506,795.0418,Cumulus
1.819,2.9055,4.9386,4.4974,15.8598,345.3604,5.433,83.3786,0.6353,803.9548,Cumulus
2.1283,3.455,3.2601,4.2217,14.8416,446.1333,3.4414,69.4379,0.6615,796.5697,Cumulus
0.6814,2.8757,10.2078,5.6967,11.6484,364.6445,9.8271,77.3862,0.7386,951.1797,Cumulus
0.8976,3.4278,0.9415,6.5255,12.6829,467.9093,6.2859,60.9857,0.95,922.8683,Cumulus
1.0096,3.4967,10.2014,6.4866,13.9354,437.0684,7.3236,79.3007,0.748,878.2054,Cumulus
1.3025,2.1564,11.2708,3.7358,13.2275,251.8786,7.4596,63.6914,0.4839,881.4498,Cumulus
2.5598,1.3535,9.7451,6.4977,16.3442,151.5683,2.2731,78.9026,0.4521,761.6587,Cumulus
1.3851,4.0348,7.1214,4.9339,16.7065,542.5303,6.4493,100.0,0.8781,871.9202,Cumulus
1.8597,3.0053,10.2598,4.5131,16.2247,368.9715,4.4122,66.2999,0.6459,813.8893,Cumulus
3.3693,1.4284,8.6838,3.9372,13.8634,146.4612,5.5661,100.0,0.327,677.1585,Cumulus
1.8794,2.2289,4.8875,4.1601,12.8674,221.6773,4.4117,76.9064,0.4235,807.5234,Cumulus
2.8638,3.4175,15.4016,7.6135,16.1542,453.4092,2.0576,64.5037,0.8051,751.1176,Cumulus
1.3597,2.5763,6.5933,5.4611,14.3214,300.4158,5.6479,64.0454,0.7222,858.832,Cumulus
2.0151,2.3904,11.103,5.2619,11.4147,277.5712,4.8791,95.6496,0.5679,786.8146,Cumulus
1.345,3.9207,-1.6745,4.6066,15.3855,529.044,6.5796,76.9299,0.7755,858.6986,Cumulus
1.8949,1.9622,13.1059,8.669,15.7162,217.3139,4.1081,66.3385,0.6317,802.4164,Cumulus
2.9563,2.1615,13.8751,6.9575,11.0671,268.6301,5.6424,69.9654,0.6119,737.152,Cumulus
0.6454,2.9691,8.1193,3.9184,12.2187,408.1847,11.3895,76.3078,0.612,918.5985,Cumulus
2.591,3.1124,10.2351,4.5896,15.8662,428.6832,4.3285,71.9128,0.6583,746.2031,Cumulus
2.414,3.1971,10.2341,4.6786,15.6123,389.093,3.3223,75.459,0.6027,759.4902,Cumulus
1.6653,3.529,5.4289,5.2188,13.7555,485.0278,5.1628,89.7361,0.7741,855.669,Cumulus
0.8985,2.9589,10.1885,3.9482,12.0313,354.867,9.1121,60.7203,0.5298,921.5631,Cumulus
2.2649,3.1915,4.7655,5.6582,15.6666,414.0884,0.675,78.4463,0.7676,795.285,Cumulus
1.7235,2.5926,5.565,7.1781,13.6257,295.2056,4.634,71.271,0.7473,842.3875,Cumulus
2.4094,2.8502,12.5078,3.0296,16.1791,312.2939,3.4984,67.0095,0.3161,770.6437,Cumulus
2.2197,2.886,11.8986,3.3078,13.0667,348.356,2.5074,82.7217,0.4885,792.0854,Cumulus
3.6416,2.9721,5.1745,4.2753,13.2445,381.2154,5.6672,57.3857,0.6646,641.4991,Cumulus
1.9846,3.418,5.0657,4.3448,16.1641,456.841,2.1326,48.3357,0.6505,774.2979,Cumulus
1.2789,3.2441,5.4176,7.9977,14.0837,417.5243,4.1287,74.2453,0.917,884.7497,Cumulus
2.3613,2.8354,10.9306,6.5026,16.2073,355.1789,4.3514,70.6182,0.7917,765.353,Cumulus
2.398,2.1527,4.0001,6.4165,13.8341,251.6825,4.0088,58.4715,0.5463,772.6885,Cumulus
3.4233,2.8541,9.4269,4.6035,13.6766,359.8928,2.4579,54.8945,0.6115,672.691,Cumulus
2.9516,2.7776,10.9874,4.5705,16.1837,335.1351,3.0444,91.3063,0.6927,734.9142,Cumulus
2.5212,2.9545,7.647,2.8224,12.1119,366.7719,4.3617,76.6301,0.3764,763.2803,Cumulus
3.517,4.5652,12.0403,6.1726,16.0191,708.6805,4.7016,72.1965,0.9262,665.6396,Cumulus
1.1301,2.381,6.7828,5.7366,16.2437,281.6176,7.6841,93.9524,0.7005,890.8516,Cumulus
1.6242,3.1378,7.1446,6.929,16.4022,403.0896,6.1142,82.2206,0.7769,835.2379,Cumulus
1.3661,3.6548,4.091,4.6838,13.8598,491.7558,4.2558,89.6928,0.77,846.2714,Cumulus
1.8492,2.8784,12.0687,4.7873,13.7663,346.6336,3.9719,60.2005,0.5871,803.7719,Cumulus
0.961,4.6703,4.9339,5.2551,13.3509,690.9893,7.0604,59.8261,0.8907,915.4951,Cumulus
2.7716,2.4976,9.3991,6.3378,13.3714,294.2348,1.8749,78.1708,0.7647,717.3234,Cumulus
2.0,3.0593,7.7147,2.7947,12.8956,384.1652,1.7166,76.145,0.3469,773.265,Cumulus
0.8763,2.161,3.7889,6.1041,13.7065,241.9109,7.4861,84.4966,0.5948,908.9806,Cumulus
1.286,2.5188,5.5636,4.9693,15.3392,280.9435,5.1124,55.6921,0.5809,879.3072,Cumulus
2.4822,2.9991,13.5315,3.412,12.9729,371.4189,3.0206,79.036,0.579,770.4222,Cumulus
2.9543,3.477,8.8066,1.8731,15.8634,475.6287,4.3661,81.8927,0.3997,727.9731,Cumulus
3.9971,3.0553,3.9634,4.7953,14.5031,376.5348,7.308,81.3617,0.6151,644.2497,Cumulus
4.8225,3.8073,9.2213,7.1716,14.7104,477.9314,14.1902,67.9331,0.9254,587.3623,Cumulus
2.573,2.724,7.4155,7.512,16.2726,345.6702,2.9788,77.1862,0.814,750.9682,Cumulus
1.3094,2.5343,21.8162,5.5331,16.1613,303.8063,6.5423,64.2434,0.6876,834.5973,Cumulus
0.2812,4.9632,9.1405,7.943,13.3306,731.6683,12.3759,69.0705,0.95,1008.282,Cumulus
2.4409,3.1154,6.4775,4.9356,16.2689,409.3348,2.7299,61.5706,0.6792,744.0803,Cumulus
1.4684,2.2244,13.6801,6.43,12.5093,224.9581,6.7622,64.4133,0.6741,837.1862,Cumulus
1.8262,2.2446,0.6359,4.3232,14.2842,274.0104,1.7942,69.5904,0.4955,804.3215,Cumulus
1.6491,2.0459,8.3773,4.2281,14.4345,226.2662,2.54,67.0906,0.4939,868.8343,Cumulus
2.0733,3.5493,15.9777,3.9837,15.7054,416.6632,3.6493,64.4121,0.7342,801.0918,Cumulus
3.1594,2.5085,7.5352,1.9092,15.494,281.6488,3.5773,59.004,0.329,680.6529,Stratus
2.3413,2.9019,1.0668,6.9306,16.1393,344.489,2.3812,91.611,0.7722,760.0805,Cumulus
2.0572,2.7492,6.4163,4.0376,15.1556,323.8629,2.1098,66.9944,0.6967,795.6838,Cumulus
1.2679,3.3852,13.8181,3.7978,14.3387,408.6043,5.1796,75.2997,0.6249,880.1294,Cumulus
0.6928,2.1226,9.5043,3.23,12.5035,229.7845,10.6588,54.4103,0.3758,932.7007,Cumulus
1.7623,1.9395,4.6446,4.6935,16.6746,190.3504,5.012,85.5765,0.4539,817.773,Cumulus
2.1516,2.9794,5.259,7.6452,15.5497,332.9212,4.4041,73.6716,0.7357,793.8566,Cumulus
3.7911,3.2808,5.7612,8.1407,13.0033,461.1017,4.5647,67.5613,0.95,632.179,Cumulus
2.3172,3.066,9.4448,2.5087,15.262,380.0996,1.9275,67.6486,0.4667,785.0942,Cumulus
3.0845,2.1524,13.3528,4.4683,12.3124,226.406,2.145,80.6941,0.5246,698.497,Cumulus
1.7506,3.342,12.2097,3.4485,14.675,417.3592,5.3426,42.469,0.6898,816.4878,Cumulus
1.1336,2.2049,9.824,6.4825,14.0656,264.8599,7.4248,63.7581,0.6817,896.7642,Cumulus
1.3314,2.3828,2.6734,5.4299,12.9584,248.5268,5.5696,70.8092,0.5508,871.8986,Cumulus
1.5473,2.0448,2.6883,4.0451,16.5322,234.547,5.0183,70.6939,0.4123,833.4951,Cumulus
4.1156,3.8409,10.133,5.1089,11.8243,519.7232,7.7095,97.0531,0.6488,633.7374,Cumulus
1.4608,3.3067,2.6181,4.2839,14.6588,419.78,4.1351,68.6241,0.6777,866.0292,Cumulus
2.9546,3.284,7.0977,7.4214,18.5309,401.585,3.9954,81.9023,0.9054,738.3395,Cumulus
1.3874,3.7978,9.2166,5.8204,15.4789,505.6845,5.5284,90.1166,0.804,874.908,Cumulus
3.0384,5.0501,3.4496,6.0047,14.5705,792.2444,2.0359,78.7061,0.8979,698.3491,Cumulus
2.5465,1.4326,3.903,0.9996,13.2016,148.083,3.521,65.2618,0.0815,724.5664,Cumulus
2.059,2.2093,7.6235,4.8998,12.8602,241.6346,2.5796,59.1551,0.5892,799.012,Cumulus
2.1633,2.3071,10.0146,8.1248,14.1612,256.3011,3.3804,79.4542,0.6995,787.1977,Cumulus
1.6107,2.1193,12.2461,6.9892,13.4829,263.2936,4.9013,88.4503,0.7936,831.4368,Cumulus
2.6015,1.9379,10.4282,2.2294,13.8878,180.9481,3.8157,77.4596,0.1865,694.9659,Cumulus
1.7905,2.5603,8.2946,4.5299,14.0162,297.2109,3.8171,84.3345,0.5851,837.5207,Cumulus
1.097,1.8267,5.0152,3.1977,13.4065,180.229,5.8494,97.9195,0.286,871.3107,Cumulus
1.0499,3.068,3.7164,7.5667,15.053,361.6797,7.0446,80.3737,0.95,905.8,Cumulus
2.3553,2.8414,5.9565,5.3664,12.1839,353.8293,3.0078,60.9937,0.6917,792.6411,Cumulus
3.6212,3.1848,9.6397,3.8483,13.1699,393.1075,6.2267,72.5106,0.7318,657.1087,Cumulus
2.344,3.2062,9.3465,5.0512,14.5351,385.5552,3.6507,85.7022,0.6954,773.997,Cumulus
2.0932,3.2824,-0.3996,1.089,14.7978,456.3395,2.8086,69.5122,0.3489,795.9226,Cumulus
2.4572,2.5013,4.8573,3.3726,17.0991,315.4602,3.6793,87.0571,0.4857,766.727,Cumulus
3.3754,4.4969,12.818,5.0547,14.681,617.6885,2.6484,71.3306,0.881,679.7384,Cumulus
2.3974,2.9875,8.3169,6.2685,12.5273,336.9878,2.9693,75.3435,0.6592,756.5157,Cumulus
1.8302,1.31,2.332,2.088,15.847,144.0368,3.3414,68.4926,0.1985,797.4472,Cumulus
3.1957,1.9981,17.4233,4.4283,15.6859,216.0956,5.668,73.5954,0.3504,721.5547,Cumulus
2.5859,1.4076,7.8842,6.5145,14.2754,168.2926,2.6489,74.1245,0.4922,750.8016,Cumulus
3.5822,2.8139,9.5373,2.8228,12.2933,365.7518,5.8343,55.9146,0.3588,674.2879,Cumulus
2.3649,2.7026,9.5981,5.3438,18.025,336.6319,1.1231,67.5841,0.6837,775.2639,Cumulus
1.098,2.4253,6.5296,5.099,11.7642,258.0583,6.7864,59.6679,0.5919,903.0494,Cumulus
0.9687,4.4087,5.0897,7.5716,14.671,649.7495,7.007,67.9289,0.95,888.8747,Cumulus
3.6858,3.2392,16.4867,4.6548,14.5011,389.6377,7.5014,64.0484,0.617,663.0816,Cumulus
3.7513,3.3809,12.0128,4.7426,14.8472,466.0392,5.541,82.1182,0.6383,654.7452,Cumulus
2.0384,2.0551,11.2877,6.2824,18.6481,243.7451,2.976,82.234,0.6379,818.6337,Cumulus
1.8551,2.0007,10.3052,3.0105,15.4138,209.5063,3.8559,77.6029,0.4269,858.7438,Cumulus
3.5153,2.8294,3.9867,4.6687,13.7744,362.7459,3.4397,59.3235,0.6138,681.2493,Cumulus
1.2037,2.9384,13.1101,4.3164,15.3728,413.4838,5.7293,71.0187,0.7961,879.1237,Cumulus
1.3947,1.315,4.6275,4.7916,13.5961,131.718,5.9982,58.5281,0.2853,838.876,Cumulus
2.779,2.6558,9.1331,6.2726,15.5912,329.6136,3.4574,70.5271,0.6285,713.0234,Cumulus
1.8449,2.8113,1.4424,5.8312,12.5452,337.2273,1.326,78.4742,0.621,807.4256,Cumulus
2.1954,2.6279,-0.1634,3.877,13.3707,319.089,2.3756,81.921,0.5841,743.1338,Cumulus
2.0529,2.1493,9.2732,5.205,14.5566,214.0155,4.4098,76.7284,0.4737,781.9523,Cumulus
2.5038,2.3684,4.7636,7.2357,15.0371,268.9241,3.1251,84.5847,0.7872,767.4701,Cumulus
3.4667,2.6585,0.0433,3.753,12.3763,315.5016,5.9441,74.5976,0.4353,687.1139,Cumulus
2.2815,2.8726,10.1624,5.2178,15.4684,387.8405,2.5142,69.6644,0.7029,771.1218,Cumulus
2.7795,3.2838,16.4803,4.7103,12.6386,384.32,3.9853,80.7366,0.6754,710.2804,Cumulus
0.3548,3.6647,13.5582,4.9055,15.3773,480.1673,12.0569,81.0648,0.7523,994.4328,Cumulus
2.1562,2.5645,6.9707,2.554,14.0414,333.6314,4.651,66.7583,0.3815,804.983,Cumulus
1.4411,2.4351,8.0354,7.1161,12.5638,280.9929,5.8475,75.7898,0.705,855.9371,Cumulus
1.1031,3.1501,11.5508,3.8385,14.7688,389.3962,4.694,69.0569,0.6222,862.3137,Cumulus
1.4097,3.2887,12.4885,6.5391,12.885,407.2142,6.083,51.9141,0.8199,847.283,Cumulus
1.8993,2.4526,6.6259,4.0679,16.6188,266.685,2.969,76.4011,0.4963,816.7729,Cumulus
3.0243,3.4323,8.1367,4.0617,14.2868,415.8715,3.1764,59.0548,0.7162,707.2821,Cumulus
1.0062,3.5837,9.2025,6.8197,12.8097,460.2578,6.0906,75.2822,0.7829,894.3004,Cumulus
2.2276,3.8333,10.2155,6.4908,15.769,499.1754,4.5049,56.6469,0.7698,782.5306,Cumulus
1.7642,4.2227,7.4677,5.313,13.3409,610.7541,3.8582,64.8033,0.9107,827.3853,Cumulus
1.9051,2.1069,7.5197,6.1417,12.9966,210.1756,5.3642,67.664,0.5233,821.3707,Cumulus
3.1025,2.8111,13.5193,4.5672,15.1836,332.4375,3.5503,84.0172,0.6006,685.8821,Cumulus
2.6843,2.809,12.8381,4.9874,13.3395,332.0803,2.0417,66.6648,0.5588,727.3513,Cumulus
3.4037,2.7215,9.9096,4.0076,12.0525,327.1221,6.0257,61.2503,0.5228,680.9075,Cumulus
2.0609,2.2806,14.8764,6.3561,16.3488,251.4094,3.2483,75.6435,0.5629,806.2867,Cumulus
1.5737,1.6116,6.4542,3.9599,15.3663,156.2362,5.09,69.8303,0.2935,847.7106,Cumulus
1.9985,2.8741,14.4919,7.2277,13.8597,345.9604,2.2562,79.9056,0.822,803.2066,Cumulus
2.4182,2.1853,10.1701,4.5262,14.0707,273.0684,2.5584,61.8812,0.5368,761.3545,Cumulus
2.3589,2.8688,21.0841,5.0308,13.2084,340.4497,3.331,74.1085,0.6906,774.0832,Cumulus
1.2241,2.1648,3.2301,6.1381,16.7281,239.6402,4.8021,96.6957,0.5853,886.0138,Cumulus
2.2814,1.9203,5.2426,5.0358,16.1833,194.2135,2.6278,69.6072,0.486,783.7381,Cumulus
2.4054,2.9874,9.6752,4.5531,14.5591,346.4727,2.8433,73.8673,0.5855,796.7038,Cumulus
4.4657,2.9207,9.5889,4.955,13.8647,356.4929,10.5892,55.3896,0.5714,590.3115,Cumulus
3.8892,3.2634,15.8006,6.3407,11.3267,420.5585,8.3771,63.4702,0.8307,684.6787,Cumulus
1.4321,4.5487,5.3265,4.0057,12.6046,662.0899,5.0362,76.5972,0.8829,836.6029,Cumulus
1.9414,3.0218,11.6197,4.8106,15.0927,361.0576,3.0412,68.701,0.6825,810.3597,Cumulus
0.8829,3.1881,12.6499,5.0154,14.8809,397.1385,10.4641,78.1443,0.7751,896.7121,Cumulus
1.6684,1.938,10.8186,6.2969,14.4892,226.1971,3.6726,76.2494,0.5168,834.8793,Cirrus
2.484,1.7705,4.156,4.8502,15.7379,215.222,2.4001,58.8197,0.5147,770.3131,Cumulus
3.2853,4.0663,13.631,7.7124,15.2155,552.2153,3.8853,82.1531,0.95,696.0355,Cumulus
1.5438,2.0612,12.9173,4.7652,14.3494,213.351,4.2815,59.5732,0.4948,853.5213,Cumulus
1.6113,1.9648,10.3983,4.6435,13.7336,208.4687,4.5086,64.3508,0.4812,831.7111,Cumulus
0.2674,2.7687,8.8174,4.7435,11.9502,347.2927,13.5312,74.2948,0.6358,945.8621,Cumulus
2.0536,2.7278,8.9044,3.025,15.7739,330.7811,3.6816,87.6702,0.5714,808.0152,Cumulus
1.2438,2.078,7.6851,3.4449,14.9678,233.509,6.8958,61.9612,0.4065,872.2899,Cumulus
1.7235,2.556,10.5631,4.204,15.2842,309.3511,5.4773,73.4768,0.6399,820.0632,Cumulus
1.4108,3.7835,8.1245,6.7037,12.3485,502.5256,5.7249,73.5602,0.8943,845.9561,Cumulus
2.1152,2.1552,4.6059,4.9503,13.3233,278.5777,3.7176,78.5736,0.5176,801.7493,Cumulus
0.618,1.6851,3.8056,4.273,13.6808,176.1362,11.1017,83.8403,0.3518,930.0673,Cumulus
0.8797,3.5541,4.9919,6.8398,15.7594,454.5217,6.5285,67.9592,0.8266,919.6562,Cumulus
4.1163,3.1938,8.8885,7.3268,14.3356,402.8724,10.5857,82.1185,0.7062,645.715,Cumulus
1.0413,2.3036,7.8922,6.8831,12.152,291.2497,6.5145,85.3032,0.6907,921.4694,Cumulus
1.2129,1.5343,8.8614,3.7204,14.4215,143.3449,6.0365,89.8396,0.263,896.5915,Cirrus
3.8532,2.2043,10.0033,4.2571,12.2384,270.7827,5.6364,77.0192,0.527,646.9677,Cumulus
4.8146,2.7562,5.4907,7.7206,13.695,323.4795,12.6296,73.5744,0.9402,570.8685,Cumulus
1.1456,3.7325,13.8626,5.3617,14.5599,481.5354,8.0218,67.2542,0.8324,871.8236,Cumulus
1.8686,1.9707,6.9292,4.5986,13.4368,239.8731,5.8971,57.4101,0.3705,802.4074,Cumulus
2.5074,2.7324,6.2663,6.0775,14.5891,321.865,2.2499,69.2205,0.6797,762.1654,Cumulus
