momentum_gev,track_chi2,ecal_energy,hcal_energy,ecal_hcal_ratio,dE_dx,isolation_score,n_hits,particle_type
18.1965,1.6561,0.7309,0.6563,0.5269,0.61,0.1583,23.57,1
3.2815,1.3076,0.8462,1.9686,0.3006,1.6053,0.2107,18.93,2
3.9973,1.1552,3.8418,0.3205,0.923,1.1995,0.0546,17.64,0
14.7182,0.6417,0.276,0.3165,0.4659,0.7406,0.3041,24.96,1
19.268,0.9527,0.2506,0.41,0.3794,0.4963,0.1542,21.08,1
28.3942,1.3049,1.0019,0.2747,0.7848,0.5087,0.1694,19.74,1
7.1276,2.2272,2.1483,4.0382,0.3473,1.2701,0.3253,12.09,2
18.2686,0.7004,0.7676,1.1003,0.411,0.4174,0.5217,24.14,1
9.7367,0.8614,2.294,0.7861,0.7448,0.6946,0.0924,22.38,1
5.501,1.4556,4.9467,0.0458,0.9908,1.0907,0.1997,20.61,0
25.8625,1.2296,0.2475,1.2076,0.1701,0.5782,0.3621,25.96,1
16.0034,0.5779,0.5478,0.1162,0.825,0.6111,0.3523,23.54,1
14.0387,1.1334,0.5385,0.2367,0.6947,0.4259,0.4131,17.76,2
8.8232,0.8262,7.4348,0.6238,0.9226,0.7827,0.3539,16.02,0
6.0732,1.3802,2.5262,4.2004,0.3756,1.7312,0.5299,13.6,2
1.3519,2.6489,1.2887,0.2788,0.8221,1.6437,0.0451,18.97,0
3.2945,2.2524,0.8506,1.7608,0.3257,1.9293,0.4555,11.86,2
6.6217,1.44,6.4961,0.5047,0.9279,0.7351,0.3619,20.9,0
16.7099,2.8817,0.3647,0.0457,0.8886,0.6628,0.1313,20.62,1
6.581,0.8857,0.2184,0.1814,0.5463,0.7367,0.1129,24.07,1
2.2128,2.2231,2.122,0.4409,0.828,1.6063,0.0382,15.31,0
13.6704,1.2151,0.2421,0.3001,0.4465,0.9251,0.1784,19.71,1
9.7054,1.0676,2.2213,0.2373,0.9035,0.8117,0.144,21.49,1
14.8643,3.6495,3.0142,8.8564,0.2539,1.6358,0.4883,15.82,2
9.1241,0.7695,0.0734,0.2642,0.2174,0.5807,0.0573,19.33,1
11.6439,0.8362,2.6805,4.593,0.3685,1.4556,0.7092,18.35,2
25.5559,0.9672,0.1469,0.5797,0.2022,0.4365,0.1822,19.22,1
6.0513,0.8135,1.3589,5.2052,0.207,1.398,0.5221,15.57,2
7.6002,0.8812,0.4628,0.8123,0.3629,0.7298,0.3646,23.53,1
8.6383,2.2261,0.9434,6.886,0.1205,1.428,0.6384,12.73,2
9.1955,1.167,0.2452,0.2344,0.5113,0.8193,0.157,17.58,1
2.6542,0.5146,0.1901,0.2837,0.4013,1.1455,0.2264,22.3,1
6.4739,1.0301,5.5203,0.1882,0.967,1.0774,0.413,18.68,0
5.2215,3.064,0.725,2.9158,0.1991,1.7452,0.3856,10.36,2
39.773,1.0548,0.2405,0.4576,0.3445,0.5148,0.24,20.2,1
3.6568,4.0871,3.2595,0.0214,0.9935,1.104,0.1006,19.21,0
13.4871,1.4358,12.8987,0.427,0.968,0.9002,0.3389,18.28,0
7.1156,2.313,1.2631,4.5415,0.2176,1.8904,0.7437,13.75,2
30.1384,1.1595,0.0156,0.0889,0.1493,0.3461,0.2244,23.95,1
13.5221,3.3926,3.106,9.979,0.2374,1.4697,0.3591,13.03,2
5.3173,1.0744,0.0114,0.4483,0.0248,0.7618,0.3572,23.88,1
16.1004,1.1259,0.0443,0.6419,0.0645,0.7302,0.4209,22.61,1
4.4475,0.8425,0.8123,0.0388,0.9545,0.9002,0.2139,23.06,1
4.5876,3.2281,4.2237,0.1371,0.9686,0.9732,0.1682,18.19,0
4.2096,1.2014,0.3224,0.092,0.778,1.0919,0.2436,19.75,1
2.538,1.2469,0.0399,0.3608,0.0996,1.1924,0.0428,23.76,1
12.5215,0.9815,0.467,0.151,0.7556,0.5748,0.212,18.04,1
5.8782,1.4103,0.4167,4.5649,0.0836,1.5214,0.4042,12.42,2
4.2051,1.3204,3.9184,0.6425,0.8591,0.9837,0.2208,17.98,0
8.6678,0.7093,0.3339,0.6863,0.3273,0.5355,0.2418,20.19,1
1.9969,1.0634,0.2895,1.1315,0.2037,2.0105,0.4586,11.47,2
6.3692,1.0801,0.0323,0.0962,0.2514,0.7737,0.2468,24.14,1
9.731,1.9887,1.6712,7.0656,0.1913,1.0799,0.7362,16.55,2
5.9686,1.517,5.3716,1.0693,0.834,1.2232,0.0458,19.82,0
7.6852,0.8783,0.1694,0.1173,0.5909,0.6464,0.2482,18.93,1
13.3322,0.7838,0.3698,0.2957,0.5557,0.7203,0.2477,24.79,1
12.2394,0.6988,0.5618,0.0465,0.9236,0.6137,0.1303,22.17,1
6.4338,1.0542,0.1305,0.5921,0.1806,0.707,0.1363,24.19,1
1.9211,1.0732,0.2592,0.4654,0.3577,1.1278,0.1417,21.76,1
3.4885,0.5148,0.2877,1.2304,0.1895,1.0375,0.2018,19.04,1
2.9804,2.0793,0.4522,1.6528,0.2148,1.8945,0.1698,12.56,2
5.3796,3.0614,1.6014,3.0818,0.3419,1.6453,0.5164,13.1,2
4.1712,1.5963,1.0915,2.7795,0.282,1.7861,0.4081,11.04,2
4.4771,3.5024,0.5347,3.0198,0.1504,1.6633,0.2549,17.21,2
6.1091,1.837,1.3294,4.1034,0.2447,1.4427,0.3262,13.44,0
4.9033,0.94,4.8543,0.6628,0.8799,1.0711,0.1817,17.49,0
6.4659,0.8384,0.4051,0.3743,0.5197,0.793,0.1591,18.44,1
4.9836,0.5456,0.5601,0.3222,0.6348,0.801,0.5828,18.49,1
5.3074,1.9778,0.9283,3.5636,0.2067,1.8693,0.6431,10.88,2
7.4835,2.0062,1.5843,5.211,0.2331,1.4619,0.1908,10.92,2
10.0684,0.9643,2.4949,6.3975,0.2806,1.4057,0.3906,16.81,2
3.7193,3.8649,0.3767,3.0079,0.1113,1.665,0.228,14.86,2
5.4985,2.0835,5.0161,0.4952,0.9101,1.0077,0.0968,13.77,0
5.5846,1.7946,0.2719,0.0117,0.9588,0.7435,0.5338,20.9,1
7.6619,1.499,0.0459,1.1131,0.0396,0.705,0.3933,20.05,1
3.8029,3.3229,1.238,1.7252,0.4178,1.6963,0.3468,11.81,2
12.4158,0.921,0.2137,0.0394,0.8443,0.4803,0.1508,19.83,0
46.9278,0.7565,0.1854,0.0531,0.7775,0.3,0.3132,22.02,1
10.4595,4.7704,9.9889,0.1908,0.9813,0.8267,0.2868,18.36,0
5.8431,3.1958,0.9074,3.9697,0.1861,1.8875,0.7353,10.19,2
2.0388,1.2216,0.4114,0.9217,0.3086,2.1109,0.2848,12.09,2
11.9213,0.8346,0.0586,0.2945,0.1659,0.7318,0.5175,25.23,1
18.8052,0.5349,0.09,1.5708,0.0542,0.4723,0.2313,19.66,1
4.6779,1.0248,0.3148,0.1768,0.6403,0.5726,0.2713,24.31,1
20.5473,0.5779,0.1524,0.5882,0.2058,0.5762,0.2378,20.02,1
3.8904,1.5496,3.5964,0.795,0.819,1.2623,0.0805,15.12,0
5.0206,1.9299,1.2899,3.3808,0.2762,1.7428,0.349,10.03,2
8.6259,0.5496,1.1767,1.3255,0.4703,0.5847,0.0508,24.58,1
7.1582,2.2714,4.0486,4.7884,0.4581,1.8043,0.4126,17.16,2
1.537,1.7628,1.3213,0.2818,0.8242,1.419,0.5166,17.83,0
20.5949,0.5629,0.3646,0.2609,0.5829,0.5303,0.1439,24.13,1
14.7797,0.6762,0.1917,0.2478,0.4362,0.7213,0.0571,19.95,1
7.6084,1.994,1.8357,5.8715,0.2382,1.4487,0.4112,16.33,2
12.1014,0.5637,0.8006,0.0942,0.8947,0.7587,0.1068,25.48,1
4.8371,2.254,1.0279,3.3827,0.233,1.5203,0.5803,10.67,2
36.3293,0.5563,0.2622,0.1127,0.6993,0.4237,0.3269,22.06,1
2.2206,1.5641,0.1737,0.8612,0.1678,1.1836,0.1832,19.55,1
9.9554,0.8405,0.0814,0.3564,0.1859,0.78,0.1782,21.53,1
4.9811,1.0366,0.1675,0.1136,0.5958,0.621,0.3395,22.46,1
9.6418,2.747,0.5489,0.4381,0.5561,0.7002,0.1556,24.14,2
10.9164,0.9479,1.183,6.4806,0.1544,1.4188,0.7076,19.16,2
2.6103,0.934,2.253,0.0362,0.9842,1.635,0.1742,18.05,0
3.7255,0.5466,1.4257,0.1252,0.9193,0.9427,0.2731,19.62,1
12.1763,0.8205,0.1331,0.0227,0.8543,0.6665,0.1037,17.72,1
1.7567,0.9911,1.7395,0.0906,0.9505,1.7115,0.305,16.61,0
36.5549,0.9948,0.122,0.0344,0.7799,0.3,0.1158,20.07,0
1.2573,2.1404,0.2919,0.6009,0.327,2.4456,0.2303,10.12,2
5.6013,2.3968,2.4008,3.5709,0.402,1.5519,0.6941,14.39,2
2.0266,1.244,1.721,0.024,0.9862,1.4483,0.2875,13.88,0
27.2524,2.9219,1.4049,0.1118,0.9263,0.5258,0.1892,22.81,1
7.6704,3.617,7.6393,0.4124,0.9488,0.978,0.2105,17.86,0
5.2729,1.2324,1.2895,2.5846,0.3329,1.493,0.2885,16.84,2
3.8821,2.035,3.6285,0.2509,0.9353,1.1251,0.2015,21.21,0
10.7482,1.9553,2.2176,6.9133,0.2429,1.3958,0.6575,13.32,2
8.3987,0.556,0.088,0.0008,0.9907,0.7083,0.1656,22.11,1
2.7504,1.5373,2.4172,0.0223,0.9909,1.2441,0.2175,19.54,0
4.2398,2.3724,1.2969,3.1083,0.2944,1.8346,0.5289,11.11,2
4.912,1.0408,0.0723,0.2889,0.2002,0.7425,0.3953,22.64,1
9.3672,0.6206,0.6496,0.2032,0.7618,1.0127,0.1822,22.65,1
10.6662,1.2878,9.7767,0.0475,0.9952,0.8327,0.0935,19.57,0
2.8882,1.2773,2.4992,0.457,0.8454,1.1783,0.4805,19.48,2
9.9118,0.9432,0.5651,0.5783,0.4942,0.631,0.4043,20.59,1
17.7128,0.6646,0.1451,0.2748,0.3455,0.7319,0.2865,23.7,1
9.1707,1.2925,0.8017,0.0472,0.9444,0.6513,0.0333,17.12,1
16.5161,0.5227,0.1688,1.2013,0.1232,0.637,0.3908,18.11,1
1.9774,2.8127,0.6125,0.9697,0.3871,2.1479,0.5082,15.49,2
12.9431,1.4236,1.2687,1.0654,0.5436,0.6173,0.2918,20.87,1
15.818,0.6862,0.5673,0.0587,0.9062,0.4541,0.0902,17.43,1
17.8283,1.6246,1.4467,0.4671,0.7559,0.3795,0.1727,18.96,1
3.5119,1.3008,3.3808,0.1291,0.9632,1.1813,0.0535,18.91,0
43.1881,0.8484,0.2103,0.8819,0.1925,0.3,0.1595,17.43,1
42.5836,1.8077,0.5004,0.6206,0.4464,0.3,0.2453,22.05,1
5.8037,2.3296,4.8614,0.4261,0.9194,1.0739,0.0542,14.2,0
12.9111,0.5412,0.1674,0.3853,0.3029,0.374,0.1378,25.4,1
5.4029,0.9465,1.6623,2.025,0.4508,1.7108,0.5156,18.89,2
4.9277,1.8859,4.4225,0.3872,0.9195,1.0322,0.1351,19.46,0
27.8962,0.532,0.3041,0.5294,0.3648,0.5529,0.1061,17.4,1
2.5345,1.6024,2.3428,0.4488,0.8392,1.2947,0.0641,19.84,0
4.292,2.3783,0.6707,1.6356,0.2908,1.7016,0.3813,12.43,2
7.1076,1.6999,1.4207,4.5167,0.2393,1.4025,0.5031,15.42,2
4.5028,1.5573,1.7282,3.1663,0.3531,1.7862,0.6369,17.64,2
19.9877,0.62,0.4264,0.1514,0.7379,0.5759,0.1147,24.14,1
9.8639,4.1107,9.6651,0.5778,0.9436,0.9703,0.1484,15.19,0
14.9639,4.3247,4.3807,11.1748,0.2816,1.2191,0.7065,15.63,2
7.8539,1.0942,3.2652,3.5142,0.4816,1.2831,0.6089,15.25,2
5.7802,0.5776,0.5359,0.3625,0.5965,0.6537,0.6148,19.01,1
4.0898,1.2746,4.0964,0.3151,0.9286,1.0648,0.2997,13.0,0
4.3198,1.5035,4.253,0.4548,0.9034,1.2205,0.1996,15.49,0
6.8612,0.7129,0.2202,2.5811,0.0786,0.7662,0.3521,18.38,1
7.0903,1.9726,1.8691,4.2303,0.3064,1.4294,0.5109,16.54,0
15.0269,0.9692,0.547,0.1938,0.7384,0.5521,0.2626,21.69,1
18.1857,1.1979,0.2315,0.0646,0.7819,0.5271,0.4136,17.91,1
4.5856,5.5264,1.8989,3.8474,0.3305,1.6155,0.3452,14.04,2
15.5312,1.0672,0.1558,0.0459,0.7724,0.554,0.149,21.98,1
21.3966,0.7187,0.4415,0.114,0.7948,0.7065,0.0576,23.95,1
10.232,0.7515,0.7685,0.4603,0.6254,0.7711,0.174,18.42,1
5.1969,0.701,0.5308,0.514,0.5081,0.7494,0.1057,18.87,1
7.8055,3.1779,0.4931,4.9414,0.0907,1.6363,0.7052,14.61,2
4.5689,0.8297,4.0943,0.0955,0.9772,1.0718,0.2106,19.45,0
9.2259,2.5201,2.7389,4.6584,0.3703,1.2144,0.7409,17.32,2
12.5058,0.7576,0.4242,1.7159,0.1982,0.6455,0.2464,23.63,1
4.4493,2.8063,3.7201,2.6877,0.5806,1.1193,0.051,18.32,0
3.3309,1.745,1.6376,2.2991,0.416,1.8661,0.6907,18.03,2
40.0753,0.5652,1.3049,0.251,0.8387,0.3,0.3135,19.85,1
14.3522,1.1422,0.4677,0.0954,0.8306,0.527,0.2278,21.32,1
13.8145,0.9517,0.4298,0.019,0.9576,0.6307,0.2824,21.47,1
9.5097,2.9293,3.3008,5.1845,0.389,1.2862,0.5291,17.64,2
3.8668,0.8094,0.1464,0.0851,0.6325,1.0664,0.1655,22.58,1
4.7514,2.0041,4.3229,0.2919,0.9368,1.0512,0.3512,14.43,0
6.5066,0.5394,0.09,0.1316,0.4061,0.6749,0.3841,20.95,1
3.7823,1.7002,3.7726,0.5979,0.8632,1.2103,0.0797,16.89,0
6.5739,0.5478,0.3285,0.4752,0.4087,0.5946,0.1609,21.58,1
26.9551,0.5421,0.2775,1.0493,0.2091,0.5244,0.111,22.1,1
11.1033,3.0999,1.7208,5.4829,0.2389,1.4379,0.3706,16.99,2
1.9642,1.7989,2.0366,0.7162,0.7398,1.2922,0.1825,14.41,0
15.6794,0.7747,0.2736,1.4136,0.1622,0.5644,0.312,25.8,1
2.8373,2.3319,0.99,1.4784,0.4011,2.0332,0.4618,18.22,2
5.8019,2.4366,5.7046,0.102,0.9824,1.1807,0.1853,17.91,2
5.9674,3.1712,0.7012,3.4612,0.1685,1.4771,0.4498,18.2,2
7.6805,1.6435,6.8549,0.0189,0.9972,1.1739,0.1178,17.16,0
3.0473,2.6608,1.0327,1.6994,0.378,1.8011,0.8586,18.18,2
5.8325,1.2171,5.0145,0.0709,0.9861,0.9141,0.088,17.11,0
7.1728,0.7365,0.4399,1.4472,0.2331,0.7281,0.1842,21.09,1
6.7015,1.8276,1.8032,3.9792,0.3118,1.4607,0.5859,14.33,2
6.0825,3.0195,1.7812,3.5108,0.3366,1.6733,0.2264,15.11,2
7.8284,2.3968,2.1239,4.8113,0.3062,1.5532,0.6694,13.01,2
3.2552,1.7783,0.3697,0.9727,0.2754,0.8262,0.4565,25.79,1
10.9672,0.9412,1.6288,9.2529,0.1497,1.4376,0.2654,14.88,2
9.8019,0.6673,0.7905,0.095,0.8927,0.5915,0.0578,24.73,1
37.7738,0.5068,0.1098,0.3116,0.2606,0.3052,0.2365,19.05,1
4.3524,3.5205,1.4971,2.4822,0.3762,1.8169,0.7684,10.62,2
26.8517,1.5689,0.4346,0.2246,0.6593,0.4519,0.2926,21.21,1
3.3595,3.3727,0.9185,2.1511,0.2992,2.0698,0.6277,13.91,2
13.1429,1.5285,0.2636,0.1791,0.5954,0.7739,0.1346,22.17,1
4.9731,2.6834,1.8817,3.4938,0.35,1.8247,0.7861,11.47,2
1.5149,2.0497,1.383,0.6232,0.6894,1.6155,0.1044,16.67,0
11.0901,4.9032,3.0543,6.4378,0.3218,1.6093,0.725,16.99,2
8.171,0.8295,0.1096,0.2235,0.3291,0.7831,0.5622,22.52,1
7.2995,2.7761,2.8157,2.5536,0.5244,1.9448,0.5133,15.4,2
3.7211,4.2302,0.6798,2.0954,0.245,1.7535,0.6184,10.88,2
13.6729,0.7907,0.1043,0.1781,0.3695,0.4687,0.0512,21.56,1
32.9467,0.5401,0.5751,0.1611,0.7812,0.5394,0.2235,20.22,1
4.4765,1.033,4.1592,0.1155,0.973,1.2766,0.2453,14.97,0
8.6152,0.9604,8.0106,0.2886,0.9652,0.9258,0.3381,20.88,0
12.3235,2.1538,0.0517,0.3714,0.1223,0.6411,0.1633,25.58,0
24.8756,0.5203,0.0578,0.6054,0.0872,0.639,0.1739,19.99,1
73.2364,0.611,0.2479,0.0148,0.9436,0.3233,0.1895,19.99,1
18.2855,0.7885,0.5169,0.6016,0.4621,0.4219,0.1987,19.03,1
2.2449,1.7881,1.8811,0.0697,0.9643,1.6254,0.3659,16.27,0
10.1181,0.5459,0.226,0.5941,0.2756,0.6462,0.0415,17.58,1
27.2702,0.6122,0.2715,0.3094,0.4673,0.6067,0.2183,19.43,0
13.2566,3.4064,2.3265,5.047,0.3155,1.0808,0.4036,16.39,2
8.1782,1.3969,0.477,6.2443,0.071,1.0893,0.6168,10.75,2
6.8628,1.8277,1.3401,1.0385,0.5634,0.8317,0.38,17.72,1
5.8948,1.3232,5.0488,0.1248,0.9759,1.0277,0.2254,14.31,0
13.9078,0.6107,0.2188,0.0111,0.9519,0.4701,0.2825,24.86,1
1.7106,0.8982,1.6813,0.191,0.898,1.6514,0.1036,13.79,0
4.8521,0.829,4.0394,0.0457,0.9888,1.1513,0.1571,17.57,0
56.1187,0.6773,0.7129,1.0679,0.4003,0.3,0.1214,20.98,1
20.6938,0.7323,1.0009,0.1373,0.8794,0.4656,0.4698,20.11,1
31.9061,0.6301,0.3111,0.4269,0.4215,0.8659,0.0657,18.97,1
12.7702,2.3751,0.0803,0.0583,0.5796,0.626,0.3475,23.4,0
12.8299,2.167,3.1,8.0546,0.2779,1.5152,0.5283,9.46,2
3.4765,1.3696,2.7686,0.6255,0.8157,1.2214,0.037,21.48,0
7.473,1.6431,3.2336,3.9991,0.4471,1.931,0.3892,11.27,2
12.4041,1.4919,0.315,0.6026,0.3433,0.6167,0.1925,18.98,1
16.4612,0.8285,0.9759,1.1139,0.467,0.6933,0.3026,22.6,1
6.6504,1.487,1.4013,3.1071,0.3108,1.5353,0.4413,17.21,2
7.39,0.5172,1.4029,1.23,0.5328,0.7468,0.0649,18.87,1
5.197,2.6813,1.0021,3.0319,0.2484,1.2535,0.266,14.75,2
42.0436,0.7428,0.1429,0.2821,0.3362,0.3,0.101,23.74,1
8.7241,0.5114,0.5696,0.2403,0.7033,0.6662,0.1061,25.85,1
15.019,0.5926,0.1017,0.8484,0.107,0.6326,0.2106,23.68,1
2.6455,1.3929,0.6978,1.9033,0.2683,1.7439,0.2093,19.5,2
18.754,1.6768,2.1263,8.8617,0.1935,1.2334,0.9005,11.72,2
12.4516,0.9951,0.4856,0.6613,0.4234,0.4273,0.3944,21.82,1
3.5589,1.4487,3.2899,0.0858,0.9746,1.1847,0.1274,16.06,0
8.2121,2.2301,0.0697,0.1339,0.3424,0.831,0.2609,19.95,2
1.6891,3.0553,0.4382,1.1261,0.2801,1.8087,0.6983,12.42,2
11.8184,1.8043,0.1543,0.5832,0.2092,0.4917,0.1506,17.77,1
7.0096,0.6132,0.1196,0.0423,0.7386,0.6627,0.3038,21.29,1
2.7458,3.9611,2.4841,0.0805,0.9686,1.156,0.0431,16.56,0
14.3289,0.7099,0.4512,0.3369,0.5725,0.5791,0.0244,22.48,1
2.7735,4.8747,0.7633,1.7741,0.3008,1.9403,0.5499,13.8,2
3.1608,1.869,0.4133,2.0529,0.1676,2.0058,0.4866,13.32,2
4.4267,1.0891,1.6123,2.5825,0.3844,1.8726,0.584,11.92,2
1.5341,2.5898,1.5247,0.1914,0.8885,1.6139,0.0546,20.25,0
18.6724,0.7531,0.3297,1.4683,0.1834,0.4093,0.4257,20.53,1
3.8946,1.3402,1.6315,2.8391,0.3649,1.9435,0.6453,12.52,2
2.8929,1.741,2.3345,0.0671,0.9721,1.298,0.2467,20.0,0
3.5274,5.9044,0.5992,1.904,0.2394,1.9775,0.3487,17.78,2
26.8798,0.561,1.2082,0.5878,0.6727,0.6212,0.0499,23.41,1
2.7088,1.7011,0.5924,1.628,0.2668,1.9374,0.6743,15.42,2
5.9802,2.0839,5.8438,0.0224,0.9962,1.0848,0.346,16.13,0
7.9449,1.5961,0.8078,2.1983,0.2687,1.8012,0.2092,14.16,2
1.9737,3.4342,0.611,1.0979,0.3575,2.2878,0.7606,12.01,2
1.5545,3.61,0.496,0.9938,0.3329,2.378,0.501,14.72,2
15.5495,1.1948,0.6183,1.6895,0.2679,0.4594,0.2845,19.29,1
24.2033,1.3459,0.1269,0.0631,0.6679,0.6696,0.1542,23.03,1
34.6187,1.0202,0.3676,0.2184,0.6273,0.3759,0.1063,19.1,1
14.5838,1.563,0.3317,0.0833,0.7993,0.7464,0.6932,21.57,1
4.6995,0.5508,0.9269,0.7625,0.5487,1.0277,0.0807,24.05,1
10.3621,0.8639,0.304,1.4583,0.1725,0.7549,0.117,22.65,1
5.9966,1.8118,1.1222,4.2792,0.2078,1.3805,0.4777,11.84,2
3.8279,6.3066,0.4208,2.8975,0.1268,1.6835,0.453,14.83,2
20.0009,1.1285,0.0863,0.7102,0.1084,0.4021,0.0969,23.63,1
4.667,1.4808,1.0164,1.5841,0.3908,1.5586,0.417,13.95,2
11.8165,0.5429,0.0147,0.0179,0.4505,0.7627,0.2676,23.16,1
5.654,2.0632,1.1614,3.7326,0.2373,1.6872,0.1895,14.59,2
14.6334,1.0191,0.9312,0.5799,0.6163,0.4951,0.1846,20.84,1
3.6249,1.1097,3.3949,0.4621,0.8802,1.4147,0.5805,16.21,0
6.5703,1.4136,2.2221,4.4804,0.3315,1.6799,0.3258,12.79,2
15.8716,1.1629,7.2172,9.1066,0.4421,1.7329,0.5292,11.19,2
4.4581,0.915,4.1336,0.1564,0.9635,1.2259,0.1473,16.71,0
5.2737,0.5522,0.3228,0.7387,0.3041,0.8839,0.3594,25.0,1
15.4853,0.7365,0.7358,0.3445,0.6811,0.4635,0.3623,24.44,1
7.42,1.8638,7.5451,0.1096,0.9857,1.1488,0.219,16.84,0
16.3172,1.05,0.1663,1.0277,0.1393,0.7444,0.3899,19.78,1
3.5952,2.0187,1.0768,1.9577,0.3548,2.0337,0.3653,9.73,2
4.5899,0.7047,0.2671,0.2504,0.5162,0.8971,0.1868,22.72,1
3.1341,2.5559,3.186,0.2419,0.9294,1.0973,0.1235,19.47,0
6.2596,0.7583,0.3828,1.2252,0.2381,0.5892,0.0416,19.83,1
20.5036,2.9372,6.6805,9.6,0.4103,0.9645,0.1421,10.35,2
4.5297,5.0284,1.1573,3.0234,0.2768,1.5826,0.6722,18.34,0
9.2515,1.9808,2.1457,5.5755,0.2779,1.3109,0.4008,11.1,2
7.8282,1.1567,0.058,0.0625,0.4813,0.7468,0.6438,25.06,1
3.0901,2.1256,3.1716,0.4364,0.879,1.1924,0.1331,18.42,0
6.8624,0.8205,0.195,0.2418,0.4465,0.6573,0.0739,23.19,1
5.6711,2.1238,0.2777,2.0249,0.1206,0.7406,0.4131,18.19,1
17.9369,0.5294,0.3304,0.1981,0.6251,0.5931,0.1972,22.41,1
8.588,1.4158,3.2467,5.0399,0.3918,1.1194,0.7301,16.25,2
2.492,1.6157,0.4203,1.6531,0.2027,1.2683,0.4165,21.34,1
5.0272,2.7374,1.4296,2.5185,0.3621,1.9127,0.4658,13.33,2
7.2928,0.6163,0.007,0.5104,0.0135,0.9538,0.1892,23.55,1
12.3971,0.7066,0.1055,0.2725,0.2791,0.7785,0.2848,24.64,1
2.9228,2.2115,0.702,1.8972,0.2701,2.1983,0.7249,18.01,2
10.6554,0.7732,0.0249,0.3769,0.062,0.7546,0.4164,22.88,1
1.883,0.5323,2.3074,0.1707,0.9311,1.2383,0.186,17.93,1
12.2452,0.8505,0.0663,0.2724,0.1958,0.7602,0.2478,25.61,1
11.8285,2.4085,1.9843,7.1767,0.2166,1.2382,0.4972,11.73,2
1.2897,1.1442,0.2817,0.6784,0.2934,2.048,0.3511,15.3,2
16.3928,1.252,0.8896,0.238,0.7889,0.5628,0.2968,17.87,2
3.307,1.1941,3.3909,0.1724,0.9516,1.1594,0.0874,14.27,0
4.6012,1.2102,0.1976,0.5181,0.2761,0.6916,0.3505,20.7,1
1.5431,1.7118,1.3636,0.1031,0.9297,1.5897,0.2613,14.62,0
10.9664,0.6937,0.0182,0.0986,0.1555,0.577,0.1006,17.72,1
4.0484,1.5619,0.4012,3.0668,0.1157,1.5509,0.6762,10.8,2
8.5755,0.9429,0.2802,0.0882,0.7607,0.7956,0.4432,18.14,1
5.226,1.0516,1.3164,1.0196,0.5635,0.9054,0.6084,21.1,1
8.1033,4.2307,1.5305,5.7913,0.209,1.375,0.4184,10.24,2
6.2958,0.5998,0.0904,0.3651,0.1985,0.9194,0.1225,24.38,1
8.4458,0.5308,0.2739,0.2387,0.5343,0.9306,0.19,18.41,1
5.6436,1.7414,0.036,0.2123,0.145,0.8941,0.1912,21.44,1
9.453,4.4897,2.2457,5.3212,0.2968,0.9597,0.3558,12.17,2
27.3999,0.8375,0.2106,0.6447,0.2462,0.4373,0.4069,23.23,1
7.9236,3.8151,1.7299,4.1582,0.2938,1.5026,0.2677,18.86,2
