period_min,amplitude_mag,bp_rp,phi21,r21,fe_h_proxy,skewness,luminosity_lsun,n_modes,star_type
43407.3807,0.24,1.8991,4.6974,0.2373,0.3092,1.095,892.341,1.0,2
1691.3093,0.6592,1.2253,1.6685,0.03,-1.5243,0.4834,8787.9643,0.7545,1
4180.4671,0.6673,0.3432,6.7369,0.3786,-0.0913,-0.2374,12405.021,0.3825,2
72995.2887,0.5691,2.0784,2.1606,0.252,0.7955,0.5807,43.8035,-0.2,2
600000.0,3.7123,3.8074,4.222,0.1564,0.1363,0.6548,7.9466,-0.1777,3
39.6574,0.1895,1.0812,0.5798,0.2636,-1.1271,-0.3704,171.723,1.5608,6
632.9208,0.928,1.6718,3.3599,0.3378,-0.2439,0.8471,16.5577,0.4421,1
698.4658,0.7168,1.3563,3.6751,0.3222,0.0433,1.3868,98.3799,0.4305,1
7657.1753,0.56,1.3499,3.8864,0.8422,-0.4075,0.0114,500000.0,0.872,2
244.1413,0.4191,0.5395,6.8488,0.2352,0.7198,-0.2183,6705.5954,0.7915,0
600000.0,1.8611,2.7673,6.8994,0.3702,0.1348,0.1392,10.4324,0.1433,3
57.1397,0.0353,1.0758,4.0423,0.2347,0.2882,-0.8933,205.9509,0.4018,5
1135.2007,0.4223,1.6638,1.77,0.3341,-2.2749,0.085,21.1227,0.9,1
21740.4859,2.8,0.05,7.5658,0.4134,0.2292,-0.0214,2262.3127,0.5877,2
1681.2129,0.4858,0.7364,1.0317,0.2888,-2.1709,0.7201,5513.1192,0.8215,1
69.8676,0.0708,0.9692,2.3883,0.1159,-0.377,-0.1367,0.5,1.3906,0
224.0835,0.2989,1.1961,4.5071,0.651,0.6868,0.5679,0.5,1.128,0
16560.9025,1.5051,0.6036,2.5562,0.6094,0.0795,0.1546,500000.0,-0.0447,2
601.5324,0.1596,2.3091,1.5753,0.5148,-1.8196,0.2855,70.2777,-0.2,1
600000.0,6.4479,2.8779,5.8315,0.0999,0.44,0.3574,3.2342,0.2974,3
518.9259,0.1267,1.3177,4.9365,0.1268,0.375,0.2416,0.5,2.2,0
2980.3052,1.2655,0.8048,3.386,0.6458,-0.922,-0.0322,820.0768,0.0112,4
14826.6949,1.0824,1.1886,5.1466,0.4371,0.7429,0.5325,486.3269,0.1227,2
910.8905,0.1654,1.6039,2.5561,0.3429,0.8,0.2131,4082.4315,0.8478,0
597.5512,0.078,0.05,6.1573,0.4009,0.2644,-0.7235,0.5012,1.0492,0
2770.5262,1.0918,1.5965,1.6977,0.3331,-3.2,1.577,0.5,0.1015,1
13903.578,0.3027,1.2265,5.5577,0.5441,0.5187,0.6871,4.4848,0.3083,2
386.525,0.2016,1.5646,6.7111,0.4012,0.4857,0.4063,0.5,1.1659,0
361225.1959,3.6273,2.7583,3.8706,0.3581,0.6795,1.343,117.4565,0.3767,3
960.9177,1.0428,1.5908,0.952,0.4597,-2.3118,0.8732,6.482,-0.1844,1
217.1525,0.1325,1.1526,1.1257,0.01,-0.1707,1.0213,2192.4558,1.493,0
2921.2636,1.5918,0.5157,3.605,0.3713,-1.0926,-0.5,214.3269,0.3541,4
504.9384,0.7918,0.6848,0.9274,0.3147,0.1672,-0.095,62.6778,0.2479,1
89041.3271,0.4974,2.0079,4.4706,0.95,-0.7801,0.2833,39024.9633,0.1491,2
35809.3139,0.1614,1.147,5.86,0.1199,-0.6095,0.5268,500000.0,0.927,2
11295.7699,0.7962,2.0699,4.7596,0.5118,-1.384,0.6957,0.8069,-0.2,4
600000.0,0.6339,3.7947,3.9249,0.4071,0.5995,0.9797,1966.7422,-0.3,3
1169.3588,0.4756,1.0574,5.3054,0.1076,-1.1773,-0.0096,211.7536,1.3673,0
16660.6028,0.5219,0.5479,2.418,0.3604,-1.4143,-0.0552,351.8308,0.036,4
44.9362,0.0663,0.756,5.1985,0.6489,0.8,0.2895,0.5,1.5189,0
33415.5441,0.5152,1.3822,4.5219,0.558,0.1637,0.2819,5130.3018,0.0258,2
4644.1987,0.5223,1.6881,4.7431,0.5359,-0.3349,0.4221,500000.0,0.8113,2
307.1777,0.0143,0.5103,2.7918,0.4428,-0.3819,1.1006,0.5,0.7476,5
35.9878,0.9035,0.8214,6.7684,0.1769,0.648,0.1321,0.5,2.2,0
27843.7846,0.1605,1.0274,3.1713,0.4336,-0.2946,-0.3328,500000.0,-0.2,4
4977.1361,0.2446,1.7936,6.1835,0.3758,-1.7486,1.2628,2.3808,0.3285,4
422.3493,0.0847,0.7159,7.486,0.6539,-0.5072,-0.9556,0.5,1.4906,0
10151.2181,0.2952,1.1999,5.6174,0.5186,0.2159,0.2723,991.6488,0.3755,2
189.9745,0.4023,0.9614,8.0,0.3766,0.1095,-0.0259,24.0147,1.9548,0
14800.3064,0.1997,0.4374,4.6196,0.2134,-0.4859,0.303,0.5,0.3862,2
838.4775,0.2993,0.6961,7.1701,0.01,0.6791,0.4727,2039.5063,1.5193,0
396.3565,0.0924,0.056,0.0,0.5115,0.296,0.1837,796.7808,1.1959,0
1137.0939,0.9831,1.5493,4.3496,0.3987,-1.0893,1.4749,250.8191,0.0661,1
189.2297,0.0384,0.457,3.1374,0.3853,-2.0056,-0.3646,80.6588,1.6227,6
18627.8512,0.3112,2.3635,6.3803,0.3868,0.2312,0.8077,11.6949,-0.0618,2
45.7345,0.0503,1.7041,7.7879,0.01,-0.0736,0.0813,30.5142,1.012,0
516.9565,0.0688,0.2343,3.2178,0.7122,-0.3439,-0.2213,0.5,1.1384,0
15496.0866,0.7653,1.1843,6.712,0.03,-0.7274,-0.4827,250167.8365,0.2249,2
261.0069,0.1118,1.652,7.5875,0.3089,0.3532,-0.0658,263.2661,1.3901,0
15139.7055,0.5881,1.1551,3.3857,0.1791,0.3282,0.4421,28.0896,0.1705,2
542613.2721,1.3432,4.0512,4.6202,0.0644,-0.7724,0.4567,54.7933,0.4677,3
108586.6711,6.0121,3.8808,3.5936,0.0317,-0.4166,0.7939,22922.8,-0.1782,3
643.5535,1.2178,1.1357,0.4902,0.4952,-1.6266,0.0758,10.8578,0.3063,1
195.5871,0.2886,1.3857,4.1159,0.2231,0.7073,-0.6854,0.5,0.2504,0
306.4877,0.1187,0.1986,7.0366,0.3742,0.8,-0.0298,624.928,0.5583,5
11570.8029,1.8322,1.8012,3.9378,0.5333,0.0035,0.795,1.9691,-0.1288,2
1105.038,0.0266,0.8133,5.2805,0.2731,0.5995,0.2585,105411.0751,0.415,5
836.2236,0.2225,-0.15,5.7368,0.2285,0.8,0.2005,1944.4616,0.5753,5
990.4165,0.1657,1.4476,2.5647,0.5582,-1.172,0.0247,1405.335,0.7094,1
3677.5946,2.3042,1.1343,3.1269,0.513,-0.0067,-0.2042,500000.0,0.3127,2
45.3918,0.1792,1.2606,3.1479,0.3589,-0.379,0.3531,7.7267,1.7571,0
40.7356,0.0803,0.5477,4.7186,0.6206,-0.7029,0.2416,28094.3925,0.6202,0
1080.3725,0.1286,1.0918,6.5048,0.7494,0.2132,-0.3116,3.0987,2.0275,0
55.2952,0.0448,1.4816,2.7084,0.4097,0.3432,-0.1404,1.2719,0.9728,0
25.6077,0.2925,0.4785,3.7526,0.1541,0.5119,0.1115,0.5,1.4228,0
897.2089,0.0785,1.0839,2.0934,0.502,-0.5525,0.5955,5995.5958,1.5539,0
50.7027,0.2329,1.1271,5.4824,0.2617,0.5239,0.1834,5.7683,1.8404,0
4558.1589,0.7099,1.5989,7.7205,0.2974,-0.4176,0.2373,3619.506,0.6108,2
719.0285,0.0248,1.0478,5.2544,0.117,-0.7736,-0.3237,10942.9658,0.0771,5
51952.8638,0.9028,1.89,4.6214,0.561,-0.0373,0.2923,81.7091,-0.2,2
6989.7416,2.3889,0.4017,6.9236,0.5793,-1.1681,0.2403,20223.2888,0.3286,4
55903.5157,0.7079,1.542,3.326,0.6614,0.7654,0.1985,287.9327,0.9402,2
4119.5187,0.6005,1.2389,4.1413,0.5452,-0.8352,-0.2222,379.558,0.7841,2
314.7089,0.0107,1.1413,7.1677,0.3456,-3.0697,0.6664,0.5,1.0546,6
144573.2311,0.7847,1.7075,6.2557,0.4583,-1.8095,0.4407,7580.488,-0.2,4
55.4453,0.0511,0.1716,5.7838,0.1529,0.1267,0.7547,242700.36,-0.1,5
351.2651,0.0577,2.1238,6.7664,0.023,0.2324,-0.5917,1.4392,1.6709,0
8375.8193,0.4536,2.4641,6.7162,0.5946,-1.1193,0.9987,4165.6595,0.3336,2
1110.6433,0.1938,1.179,3.9828,0.01,0.2704,1.0103,0.5,0.6086,0
22.9431,0.169,1.2275,4.2662,0.6148,0.4974,0.4279,1208.8133,0.6434,0
87130.7791,0.5762,1.3582,8.4644,0.3213,0.5439,0.2499,91318.572,0.7044,2
1356.9226,0.0476,1.2147,4.0902,0.3557,0.1097,-0.7349,0.9814,1.3304,0
1832.569,0.9092,1.4194,3.3469,0.2017,-0.375,0.021,18.5395,-0.2,1
27289.7185,0.9854,0.4729,4.4251,0.3877,-1.8934,0.5523,18.0286,0.2391,2
162.9326,0.0434,0.7094,3.6569,0.313,0.8,0.4675,0.5,1.1148,0
119.9268,0.0915,1.0019,6.2952,0.01,-1.801,0.5868,23.9899,1.5139,6
5533.2971,0.3637,1.6952,5.9698,0.8354,-0.0711,-0.5,86.6734,0.0906,2
13362.4938,0.5549,0.05,3.5107,0.5207,0.85,0.9565,4774.5083,0.3965,2
148690.643,2.474,2.6719,2.4969,0.536,0.85,0.4985,12.9848,0.85,3
716.3749,0.0346,1.0715,1.6401,0.4104,0.0154,0.0429,0.5,1.0096,0
1985.8403,0.4584,0.9153,2.8865,0.2548,-0.1655,-0.2395,0.5,0.5441,1
17921.793,0.2443,1.8885,5.0333,0.649,0.6895,0.5217,5.7271,0.5463,2
10422.763,1.2083,1.3007,4.7201,0.456,0.6577,0.2276,500000.0,0.0591,2
45174.8801,1.943,1.4036,6.0982,0.6687,-0.0515,0.3185,0.5,0.0772,2
958.9619,0.0346,1.2357,2.8156,0.2072,-0.3305,-0.0446,0.5,1.2193,0
34088.9176,3.2,1.9212,7.2309,0.4825,-1.4783,0.5465,39869.9246,-0.0667,4
1142.1544,0.6798,1.3732,0.0,0.5604,-1.5685,0.7328,2.1078,0.5444,1
677.8075,0.9303,0.4001,1.8989,0.4832,-0.2792,1.2363,0.5,0.7108,1
25.1684,0.0399,0.6257,5.5326,0.01,-0.7086,-0.0973,20585.4636,0.8038,0
97.8846,0.1055,0.7172,0.0,0.8,-0.5168,0.5611,500000.0,1.3907,5
151398.4776,4.36,2.3977,4.1028,0.6445,0.5981,1.1404,2707.1223,0.6361,3
4799.6854,0.8811,1.568,5.9408,0.2314,0.1831,0.8531,1078.119,0.256,2
2830.6658,1.5416,1.9118,3.0012,0.5367,-1.7044,1.3,4.7474,0.5082,4
265.4306,0.3257,0.5669,2.0635,0.4404,-0.1953,1.2026,0.5,0.8401,0
109370.2663,1.5704,3.5314,2.6687,0.3146,-0.6839,0.6641,500000.0,-0.0911,3
89767.1207,3.2,2.2283,4.4211,0.8915,-1.6144,-0.5,14147.1206,0.5315,4
49681.4344,0.7381,1.0625,1.6685,0.7631,0.2467,1.0586,500000.0,0.3976,2
96.6499,0.2727,0.507,2.2809,0.01,-0.7253,-0.0761,7303.5911,1.3123,6
9679.2221,0.8259,0.6714,5.4933,0.6125,-0.2066,0.009,76582.3173,0.7042,2
895.1211,0.4581,1.0778,0.0,0.6935,-3.2,0.9791,0.5,0.026,1
1256.2216,1.2304,1.7624,2.5027,0.6719,-0.2131,-0.3517,1090.3777,0.306,1
275.8105,0.0389,0.2763,5.5279,0.6023,0.6962,-0.369,500000.0,0.9622,5
33.5237,0.1233,1.0803,3.4606,0.093,0.8,0.272,2.5892,1.241,0
5878.8898,0.8223,1.5939,3.4999,0.8391,-2.7051,0.3627,45646.4884,0.3316,4
29.1198,0.1718,0.5285,3.4549,0.444,-0.733,-0.2428,0.5,0.9651,0
68296.9468,3.0597,3.8291,4.8538,0.2198,0.4834,0.8645,135.1541,0.657,3
780.2189,0.9415,1.2943,3.6608,0.3762,-1.5152,1.1805,245.8099,0.7063,1
16.5732,0.3247,0.8659,1.1068,0.6866,-1.1868,0.0108,0.5,1.6582,6
50.5227,0.6822,1.756,3.4361,0.3336,-1.8105,-0.6949,202.824,2.2,6
218.4265,0.2105,1.3619,6.3619,0.2827,0.1464,0.512,0.5,0.3165,5
773.3215,0.1148,1.2143,5.5749,0.5021,-0.7086,-0.2265,0.5,0.7711,0
29.4808,0.0456,1.0189,5.6567,0.2348,-0.7786,-1.1154,7048.0082,1.0411,0
95262.2438,0.6764,0.8981,2.018,0.95,-1.1156,-0.1211,72383.8228,0.1241,2
214.0464,0.3428,1.0604,5.176,0.4428,-0.5546,-0.9602,0.5,1.6983,0
6659.3959,0.5864,0.05,5.5414,0.383,-1.3018,-0.4715,1322.9423,0.1117,2
112408.2575,1.3279,4.7128,5.0446,0.2694,-1.1449,0.8781,10792.6219,0.3259,3
10817.3738,0.4989,1.9371,4.1448,0.3503,-2.0306,0.746,2696.3596,0.6875,4
34.9644,0.3565,1.4406,7.3213,0.2129,0.0181,-0.5984,244.6328,0.7678,0
2218.9313,1.4901,1.5744,6.4501,0.1764,0.85,0.325,18725.4639,-0.1016,2
764.3351,0.0682,0.1617,2.2449,0.0957,-1.2441,-0.7795,8.7876,1.9346,0
484.1981,0.0477,0.3268,2.947,0.3757,-2.1199,-0.0237,0.5,0.6935,6
21976.4456,0.638,1.401,1.5186,0.438,-2.213,1.3,38.0676,0.4742,4
832.694,0.3007,0.2321,4.1267,0.6169,-0.2813,0.0097,91.4324,1.3857,0
92.4219,0.1097,0.9368,2.694,0.01,-0.519,-0.8526,39.7477,1.2432,0
1748.3463,0.4999,1.3456,2.2621,0.4782,-2.6837,1.1297,0.5,-0.1006,1
1611.1837,0.7691,1.4384,2.5365,0.0421,-2.5264,0.902,30.6707,-0.0122,1
170.8615,0.1437,1.0994,2.2771,0.6076,-2.6824,-0.3336,0.5,0.425,6
656.8183,1.0242,1.045,1.611,0.415,-1.6134,1.3862,0.5,0.3767,1
1305.4751,0.2327,1.4985,0.9587,0.4232,0.2003,0.68,21.4872,0.4698,1
126.5537,0.2455,0.9172,5.6825,0.2875,-0.4146,-0.7536,0.5,0.7244,0
184.7906,0.1259,1.0643,6.7396,0.0691,-0.5892,0.8713,4.5802,0.42,0
20.7738,0.0417,1.8467,3.8955,0.01,0.8,-0.0541,1.3349,0.3382,0
60.2072,0.0314,1.5372,0.5274,0.0507,-0.4345,0.4616,75.7458,1.481,6
3788.4593,1.7979,1.5021,7.7825,0.03,-1.0755,0.2977,134.7125,0.559,4
684.7124,0.0651,0.4775,6.7231,0.2105,0.6041,-0.1795,0.5,1.4341,0
31.9347,0.0264,1.4847,7.1509,0.0662,0.782,0.1901,34.1176,0.9745,0
1062.8276,0.8953,1.3215,0.6247,0.1243,-1.5312,-0.3442,0.5,0.2017,1
144438.4373,1.6995,4.2146,5.5631,0.3694,-0.9615,0.0803,34314.7571,-0.2331,3
1111.0775,0.6693,1.0423,3.7689,0.5616,-1.2509,1.6923,431301.5148,0.2314,1
935.4194,0.4749,1.4631,4.7323,0.1554,0.8,-0.0186,0.5,0.2351,0
600000.0,3.33,4.8661,3.6218,0.4347,0.1183,-0.3019,500000.0,0.0584,3
122.5256,0.0996,1.2709,4.5321,0.4389,-0.6008,-0.3282,38600.6434,2.0486,0
1949.8591,0.2315,1.4561,4.4378,0.6659,-1.3386,0.5481,6.663,-0.1193,1
110365.1125,0.8085,2.1152,4.1422,0.3758,0.5908,-0.5,5476.4843,0.3946,2
5347.5675,0.5158,1.8373,5.5611,0.596,0.1918,1.3,32967.4091,0.2295,2
42412.3427,0.1054,1.4923,6.9914,0.5653,-1.5,0.4512,0.5,0.5108,2
46.8651,0.0511,0.3901,0.67,0.6491,0.265,0.7464,2.4928,1.0941,5
711.2843,0.0438,0.6002,2.6326,0.4563,0.1004,0.0171,30509.8782,0.4676,5
9929.9833,1.8841,0.4942,1.2931,0.5711,-0.3341,0.4585,31.579,0.2088,2
128116.6151,2.9744,4.621,4.7169,0.1818,-0.5816,0.4761,144661.6697,0.5678,3
950.3659,0.2405,0.8984,1.872,0.4957,-1.9671,1.0306,500000.0,-0.0776,1
38.021,0.0727,1.1798,6.3407,0.01,0.4132,0.2868,60707.8976,1.4202,0
436.7374,0.694,1.1352,1.1737,0.2909,-1.4914,1.4389,35.6355,0.1201,1
13300.1842,0.9179,1.4101,6.3005,0.4803,-0.1237,0.9971,102.9987,0.5453,2
1482.9314,0.528,1.3076,0.0,0.2358,-1.4298,1.3708,786.4612,-0.2,1
8065.0317,1.5233,0.5108,6.5853,0.0802,0.6171,0.614,1700.3388,0.8368,2
1973.5548,0.2277,0.5068,4.3626,0.369,-3.2,0.0448,50.8189,-0.0484,1
429332.9787,1.2643,2.0717,1.6113,0.433,0.4226,1.3641,500000.0,0.3942,3
643.8118,0.0173,1.3524,7.0604,0.1995,0.8,0.0081,170.3019,0.5555,0
30.6161,0.1012,0.4496,3.8288,0.5047,0.5301,1.2591,10356.7023,2.0111,0
12652.2801,2.9213,0.9953,4.2052,0.5737,-0.967,0.7903,500000.0,0.3248,4
20.0326,0.6396,0.9419,0.5497,0.234,-0.3804,0.0769,0.5,1.72,0
3839.9802,0.6704,0.7751,4.5259,0.12,0.8421,-0.4624,10402.207,0.2935,2
890.0476,0.007,0.4849,4.671,0.4245,-1.3485,0.1147,18504.1121,0.3912,5
708.8003,0.5248,1.4684,2.485,0.3829,-0.0773,1.1419,784.097,0.9,1
5067.3929,1.612,1.0031,3.9692,0.3255,0.5966,-0.066,178092.1538,1.0,2
7128.5781,0.9366,2.1036,4.3324,0.4763,-0.4618,0.4597,4648.6739,-0.0248,2
33785.9242,0.7604,1.2823,7.2382,0.8284,-0.738,0.6719,8339.5677,0.8133,4
7451.0104,1.8527,1.4809,2.988,0.6465,-1.6755,0.3375,0.5,-0.2,4
11344.4066,0.7713,1.3582,4.3863,0.5044,-0.584,0.6519,11928.4576,0.8187,2
9290.6978,1.0346,0.9078,2.7375,0.533,-0.121,-0.121,500000.0,0.3195,2
1262.0829,0.9444,1.7684,0.2967,0.3574,-3.0614,-0.5,500000.0,0.3503,1
2651.2728,0.6142,1.2565,3.4669,0.5918,-0.5106,1.2521,46.3358,0.214,4
889.6289,0.839,1.4334,0.7276,0.0467,-2.0782,1.3134,5.4076,-0.2,1
81993.8732,0.6748,4.0862,0.0928,0.3291,0.159,0.5637,51.0122,-0.059,3
4611.79,0.4856,1.1922,1.2741,0.5488,-2.5648,-0.0889,11.6645,-0.0059,2
1256.6104,0.8005,0.8563,0.6019,0.6834,-2.349,1.5236,48.0142,0.0248,1
1435.4619,0.8516,1.4123,1.8293,0.03,-2.7917,1.3168,1.2911,-0.0361,1
2320.5517,1.2397,0.5391,0.0,0.2767,-0.9213,0.9319,798.5475,0.0988,1
19620.9876,0.5454,1.5452,4.5002,0.6331,-0.0096,0.2437,1100.1891,0.4754,4
3090.6028,0.6381,1.9289,2.5109,0.6283,0.4672,0.8813,3.2283,-0.0484,2
4956.7396,0.4985,1.938,5.3105,0.4451,0.3447,0.4054,76869.8333,0.2119,2
124.2692,0.0908,0.1584,6.0132,0.4543,-1.563,0.2612,0.5,1.0763,0
1687.8824,0.628,1.527,2.1728,0.4161,0.35,0.138,1.4524,0.9,1
36.5683,0.2371,0.8301,0.2608,0.5044,0.3716,0.2385,0.5,1.9115,0
1015.8888,0.8284,1.6891,1.9371,0.5639,-1.7176,0.1669,124604.8169,0.3994,1
19029.5954,0.6007,1.3489,2.7831,0.7378,-0.5887,0.1707,2.2093,0.4062,4
31.5135,0.0346,0.2997,0.1574,0.089,0.7196,-0.9131,3779.1589,0.9737,5
3425.1218,0.2043,1.3279,3.5167,0.4657,0.2408,-0.1232,3.5127,-0.1614,2
72.8935,0.0061,1.0629,4.9698,0.2945,0.5279,0.2294,3.7473,1.7619,0
171.1088,0.3369,1.4516,2.7954,0.5111,-2.096,-0.3145,531.5205,1.0249,6
6537.4872,0.3046,1.3583,4.825,0.5369,-1.6756,0.4588,3079.3495,-0.046,4
784.3233,0.4845,1.0765,0.9167,0.4142,-1.2768,0.2516,18.2814,-0.2,1
5870.4847,0.9002,1.3663,2.7974,0.6302,-0.6834,1.1451,33.0836,0.9771,2
20.0807,0.0558,0.6766,3.146,0.61,-0.5559,0.3963,9.536,0.7273,0
30.7091,0.286,0.1929,8.0,0.01,-0.0629,-0.7229,0.5,1.2165,0
50404.935,2.6911,4.5165,2.491,0.4333,-0.7726,1.1577,266598.4958,-0.0119,3
43.3607,0.0398,0.426,1.1525,0.01,0.3919,0.0335,207.2442,1.2317,0
623.8961,0.6641,0.7336,4.2484,0.265,-1.0559,1.1823,0.5,0.6334,1
19745.5041,0.5011,1.6814,4.7372,0.647,-1.5,0.8693,0.5,-0.2,2
600000.0,0.8806,3.1809,2.6651,0.0129,0.8291,1.0599,265.5717,0.1172,3
231.2774,0.078,0.05,4.1966,0.157,-0.2983,0.1625,11.3888,1.9956,0
156.1065,0.1403,1.3818,7.1766,0.0711,0.5809,-0.6488,90392.4217,1.2417,0
743.256,0.2303,0.8014,3.0449,0.0651,0.4045,-0.2283,0.5,1.0496,0
125.2399,0.6161,1.3089,4.347,0.4939,0.8,0.0184,0.5,1.4895,0
14340.1832,2.4878,1.0676,5.7544,0.3672,0.6606,-0.0829,20.9798,0.8667,2
73.4707,0.6046,0.5262,1.6849,0.3884,0.3948,-0.2573,41.3394,1.5261,0
561.6,0.3661,1.5939,2.1728,0.5116,-2.7895,0.838,5.8439,0.6178,1
74.3608,0.015,-0.0107,6.5733,0.01,-0.3735,0.1671,8706.205,0.969,5
26.889,0.0619,0.1417,2.2626,0.3225,0.4111,1.1456,500000.0,0.3786,5
658.9755,0.6034,1.3619,1.7087,0.264,-1.3651,0.2995,48.5979,0.0565,1
18.8183,0.1707,0.4953,5.4243,0.2479,0.8,0.7733,0.5,1.6674,0
870.5675,0.2354,1.7933,2.502,0.4679,-0.649,-0.1874,22.0099,0.7902,1
144.1133,0.0334,1.083,2.0041,0.4316,-0.198,-0.6507,165673.4799,0.4522,5
974.1885,1.3637,0.4405,3.4606,0.1586,-0.8686,1.4736,2110.9434,0.2738,1
50785.0358,0.1296,1.1874,1.1543,0.4774,0.85,0.2306,160.0316,0.1699,2
1497.2536,0.312,0.7434,2.308,0.3837,-2.5898,0.4063,90.7679,0.2322,1
1507.6518,1.0441,1.7521,2.2038,0.4403,-2.9926,1.2843,0.5,0.531,1
131430.1191,4.9137,3.6215,3.3098,0.2468,-0.8998,0.8689,500000.0,0.3907,3
23306.4307,0.3318,1.053,6.5426,0.7194,0.4678,0.4197,67895.9282,0.7122,2
310.0834,0.1114,1.2481,5.6804,0.4884,-0.2925,0.3525,16.5858,1.8395,0
115.9771,0.068,0.8002,1.9612,0.01,0.3393,0.3717,0.5,0.7086,5
22107.7565,1.8848,1.7805,2.1121,0.4068,-1.1759,0.901,0.5,0.933,2
440.6224,0.4782,0.8222,5.0696,0.1135,0.3693,0.1031,1895.5245,0.8257,0
114.4629,0.143,1.0215,1.6839,0.3279,-0.6563,-0.2507,1473.266,1.9036,6
3661.751,0.539,0.993,7.1757,0.3864,-0.5439,0.6814,3771.843,0.6329,2
1101.6023,0.3447,1.4469,3.6122,0.177,-1.2694,1.6404,0.809,-0.2,1
24153.2162,0.6142,1.4608,6.0725,0.5324,-0.8587,0.6409,888.3297,0.0669,4
806.9793,0.32,1.311,1.2724,0.3513,-2.965,1.3588,0.5,-0.2,1
1834.6422,0.4206,0.3777,2.5585,0.2945,-1.4985,1.2886,0.5,0.2569,1
4811.3474,0.4428,1.8397,3.1942,0.6445,-0.6404,0.4995,26.6996,0.3413,4
47.8625,0.2721,1.9026,1.9414,0.413,0.8,-0.2293,379.83,1.1014,0
28.5309,0.0561,1.1092,5.6841,0.0429,-0.5074,-0.3459,0.5,1.121,5
409.2267,0.027,0.5949,1.4804,0.5195,-2.0678,0.0848,177.8301,1.2686,6
34.5823,0.2174,1.0768,3.7621,0.3101,0.3024,-0.256,33654.7041,1.2705,0
357.7289,0.1062,1.595,6.0518,0.2031,0.2095,0.1283,1.194,1.3422,0
27.147,0.1091,1.5516,2.6134,0.1944,0.2898,0.1026,0.5,1.0173,0
22208.5531,0.5319,1.7872,3.9709,0.169,0.3162,0.2138,79.1287,-0.2,2
1318.4246,0.8136,1.3325,0.1146,0.0488,-0.8997,1.0324,100.1149,-0.1227,1
392.3258,0.2125,0.8171,1.3374,0.6026,-0.1426,0.7371,6.7479,0.3998,0
72472.3147,0.585,1.2954,5.6697,0.81,-1.8445,0.2346,0.5,0.0744,4
304.3516,0.0182,0.9148,3.7532,0.01,-0.3328,0.3376,3436.679,1.0167,5
41.1591,0.1903,1.1343,3.5122,0.2194,-3.2,-0.5835,0.5,1.4011,6
261.3035,0.0593,0.9501,2.5775,0.3542,0.1774,0.4162,0.5,1.2597,0
6816.5734,0.2531,1.8754,5.5502,0.3279,-1.9265,0.7069,358.4612,0.2193,4
121.5133,0.2659,0.4472,6.4621,0.4091,-0.2281,-0.047,0.5579,1.0214,0
4247.7019,0.8828,1.709,5.5397,0.5914,-2.0923,0.0524,3717.0469,0.212,4
441.6089,0.1226,0.5389,2.3286,0.5263,0.4569,-0.1437,1.5738,0.2365,0
