rsi_14,macd_signal,bb_position,volume_ratio,atr_pct,price_momentum_5d,ma_cross,overnight_gap,market_sentiment,sector_beta,earnings_proximity,spread_proxy,movement
76.18682,-0.72554,0.82991,1.43452,1.4169,1.36138,-0.43482,-0.18625,0.24539,0.42358,0.35948,0.07087,0
48.43334,-0.66281,0.84281,0.47821,1.54243,1.10478,0.31433,-0.18711,-0.05487,1.45218,-0.03882,0.12716,1
78.88884,0.2255,0.45472,0.57213,1.81516,-0.72631,0.15172,1.2296,-0.81269,0.74992,-0.18457,0.118,0
35.41774,0.81231,0.57292,0.67962,2.10262,-1.64365,0.12087,0.23764,1.0,0.94297,-0.67478,0.07329,1
68.67135,-0.54311,0.75872,0.50441,2.12351,0.39968,-0.12083,-0.71622,0.19075,0.66332,-0.025,0.14276,0
17.43781,0.3823,0.26746,2.35532,0.89262,0.49257,0.74347,0.43233,0.63402,1.41123,-0.14463,0.01,1
54.73921,0.02759,0.52005,0.77014,1.68511,-0.06337,0.73478,0.03478,0.45416,0.90269,-0.73173,0.08808,1
53.57887,0.03624,0.95259,0.73041,1.05222,2.05523,0.604,0.02779,0.25363,0.86986,-0.04135,0.07431,1
31.91349,-0.14613,0.51184,2.3553,1.59775,-0.76295,0.11339,-0.077,-0.19406,0.94887,0.69084,0.0463,0
51.19271,0.09185,0.30617,1.10827,1.4036,-0.88467,0.58722,-0.68546,-0.8463,0.92754,0.39565,0.05639,1
77.10441,0.4016,0.27186,0.49483,1.28934,2.00051,0.60137,0.02877,0.41389,1.17211,-0.10859,0.07845,1
48.59305,-0.68933,0.47352,0.85038,1.24426,-4.13573,-0.39719,0.74074,-0.62466,1.10436,-0.44044,0.04955,0
49.29619,-0.34585,0.66078,0.51222,2.72373,0.26894,-0.15371,-0.42008,0.65047,1.13773,-0.47769,0.12783,1
92.69843,0.83367,0.65011,0.44465,2.06041,0.72011,-0.16356,0.83844,-0.06169,1.29012,0.50922,0.13188,2
34.69102,-0.59745,0.9334,1.695,2.38757,-0.70174,0.2141,1.23128,0.18456,0.95142,0.45373,0.02717,2
53.88822,0.34203,0.67241,0.73418,2.02547,2.44329,0.0859,0.71878,0.35161,1.33552,0.02942,0.07982,2
36.16314,0.07945,0.25005,0.81412,1.45352,-0.85212,-0.04933,0.78567,-0.1435,0.92326,0.03029,0.05169,2
70.35641,-0.03243,0.676,1.60187,1.41282,-1.55003,-0.47501,-0.20994,0.06265,0.89391,-0.77845,0.04245,1
74.34581,-0.92759,0.32608,0.94569,1.72112,4.18858,-0.70371,-0.05779,0.08456,0.58377,-0.59408,0.05739,0
40.99029,0.2652,0.21697,1.21337,0.89443,0.56007,-0.19138,0.65713,0.17017,0.93823,-0.49248,0.05076,1
63.92739,0.69223,0.52249,2.14044,2.37474,-1.00898,0.87308,0.04481,-0.10423,1.20752,-0.42118,0.03605,1
44.91173,-0.99743,0.82716,1.4714,2.17759,-3.35835,-0.82443,0.02096,-0.27725,1.41814,0.79659,0.04346,0
50.93906,-0.97445,0.79145,1.96998,1.14402,-2.58832,0.20494,-0.03879,-0.17858,1.80316,0.14092,0.03761,0
21.15585,0.55002,0.36214,1.9075,1.07779,1.29447,0.57277,-0.21219,0.14142,0.50706,-0.89337,0.01,2
51.66235,0.52588,0.40359,1.72787,1.80064,-0.19384,0.59114,0.31307,1.0,0.40591,0.88981,0.06331,2
41.33178,-0.59246,0.49499,0.59364,1.82535,-1.77232,-0.24783,-0.34777,0.68348,1.67164,-0.33267,0.08977,0
16.25007,0.37293,0.21398,0.85859,1.06223,2.01695,1.30573,0.05991,-0.02441,0.66191,0.85344,0.11144,2
67.35509,-0.40981,0.63223,0.87236,1.23822,-3.28415,0.05891,0.43697,-0.20605,0.99462,-0.82916,0.08452,0
66.17752,0.10991,0.57453,0.99317,1.1139,-0.64015,0.56626,-0.38056,-0.08607,2.08234,-0.78628,0.1133,2
42.96324,-0.36467,0.83815,1.42277,2.02115,0.67866,-0.68218,-0.95189,-0.12109,1.17781,-0.90961,0.05991,0
60.16806,-0.46126,0.70339,1.06791,0.6627,0.85743,0.1326,-0.26334,0.1965,1.32117,0.47989,0.04766,0
63.11368,0.19822,0.62412,1.67727,3.37616,-1.27289,-0.28402,-0.65009,-0.06113,1.47652,-0.77067,0.02286,0
58.22428,-0.72218,0.35173,1.35783,1.37463,-2.67346,0.2859,-0.83131,0.30951,0.46952,0.35715,0.05159,0
16.47765,-0.82042,0.66731,0.42238,1.9804,-2.81572,-0.79973,-0.72593,-0.12762,0.61,-0.28322,0.14823,0
63.20414,-0.23903,0.4969,1.17606,1.61801,-1.86562,-0.67432,-1.4901,-0.57858,1.36822,-0.55421,0.05779,0
69.73217,-0.14432,0.45596,0.75395,1.48871,-2.5648,-0.04227,-0.45974,-0.52357,0.46927,0.52213,0.08875,0
32.31249,0.37974,0.22758,1.01338,1.09457,0.10696,0.13578,0.83826,-0.04356,1.03513,0.67947,0.07828,2
44.37103,0.16006,0.42026,1.21359,0.90227,1.33222,-0.0457,0.29672,-0.00595,1.02764,-0.81193,0.04151,2
48.69046,1.55628,0.12289,1.10837,1.83731,-0.69377,0.76614,0.5962,-0.48677,0.573,0.24204,0.09871,2
11.61432,0.13307,0.45451,0.80511,2.17123,2.08485,0.08812,0.19388,-0.02761,0.94569,-0.71803,0.0835,2
49.95242,-0.88003,0.19105,0.72775,2.0788,-2.18874,-0.35356,-0.39958,-0.33494,0.5849,-0.10765,0.12192,0
48.01226,-0.58465,0.17076,1.26525,1.4892,-4.54631,0.32505,0.77426,0.75682,0.86642,0.30805,0.03494,1
62.81893,-0.39599,0.07695,0.8952,0.96464,0.99216,-0.37564,0.00767,-0.09381,0.54261,0.2622,0.0358,1
80.11681,0.30922,0.48071,0.66816,1.59013,1.39559,0.19538,0.30276,-0.34803,0.58648,-0.16107,0.09134,1
50.16743,-0.49073,0.5639,1.66443,1.93687,-1.26594,-1.31545,-0.78409,-0.09395,1.54916,0.12327,0.0496,0
51.01003,-0.05144,0.10142,0.6502,0.87159,2.31489,-0.26382,-0.21351,-0.29911,0.67265,0.04014,0.06585,2
66.16879,0.31862,0.56679,1.23493,1.59239,-1.42494,0.00248,0.36051,0.59747,1.20926,-0.69449,0.02964,2
46.51187,-0.68768,0.41018,0.49536,1.50141,0.60436,0.38718,-0.41836,-0.94586,1.49226,-0.65946,0.10517,1
93.85991,-0.44297,0.65852,1.17034,2.33658,1.46058,0.27626,-0.63793,0.59329,2.5,-0.42251,0.06159,1
64.11066,0.063,0.77495,0.62031,1.49703,-1.58702,0.65873,0.61817,-0.15825,1.20025,-0.34937,0.12067,0
49.38789,-0.41383,0.30742,1.54757,1.44021,-1.00986,-0.02132,-0.15825,0.27428,0.94887,0.46441,0.05769,0
77.67097,-0.37261,0.74078,1.16338,2.13351,-0.59806,-1.04924,0.06356,-0.23579,1.11371,-0.96984,0.05261,0
60.3014,-1.00938,0.50198,0.62317,1.297,-0.49769,-0.52616,-1.30227,0.16398,1.58491,-0.45094,0.09718,0
44.64705,0.03962,0.1184,1.14241,1.96907,0.8116,0.41885,-0.14623,0.57796,1.00384,-0.46354,0.08935,2
30.74943,1.18323,0.34479,0.8317,2.29072,-0.29899,0.73144,0.76558,-0.43121,0.4096,0.38455,0.06879,2
43.94081,-0.78932,0.27021,1.7463,2.04438,0.3198,0.79212,0.01915,0.28935,1.60759,-0.51101,0.0344,2
58.95485,-0.35564,0.24702,1.21091,1.92427,0.32201,-0.18222,0.65875,-1.0,0.6106,-0.82784,0.04535,0
59.38955,-0.95028,0.65343,0.63249,1.42024,-0.60638,-0.70105,0.94625,-0.69074,0.67021,-0.1801,0.09416,0
32.38994,0.85935,0.37986,0.57299,2.28744,0.04244,0.1389,0.087,0.08529,1.06848,0.07918,0.09256,2
59.46262,-0.26269,0.79049,0.81963,1.40917,0.24466,0.44251,0.17149,0.40744,1.0642,-0.51918,0.055,1
68.30964,0.80818,0.23787,0.80609,1.74336,0.1227,-0.31841,-0.4293,0.05391,0.69977,0.65665,0.07315,1
27.74807,1.03948,0.34355,1.16941,2.28893,-1.86158,0.07732,0.81732,-0.61159,0.9617,-0.75666,0.05327,2
49.0235,-0.10796,0.28383,1.43298,0.8236,2.00623,0.03936,0.26406,0.28087,0.73581,0.53497,0.06971,2
40.79673,0.55689,0.10158,2.50582,1.63081,1.1828,0.75746,-1.50499,0.0345,1.39237,0.35996,0.01726,2
21.37956,0.99193,0.71471,0.72343,1.26977,-1.31661,0.31535,-0.27804,-0.31008,0.63921,-0.21995,0.06675,1
67.17185,0.25268,0.55815,0.90572,1.18562,-1.68358,-0.10993,-0.27608,0.52936,0.65819,0.21508,0.07032,1
38.55651,-0.2242,0.2951,0.68476,1.59238,-0.75516,0.08837,0.32542,-1.0,1.57783,0.80379,0.12508,1
47.1273,-0.79956,0.33378,0.53398,2.50015,-2.62418,-0.48771,0.18933,-0.54153,1.83025,-0.01513,0.124,0
72.57986,-1.02931,0.51947,0.91646,1.30509,-0.75504,-0.34083,0.19377,-0.29864,1.33138,-0.25505,0.03638,1
68.91871,-1.11341,0.54799,0.8545,1.24459,-0.68277,-0.85874,-0.27648,-0.5389,0.62312,-0.36801,0.14193,0
37.06464,-0.05296,0.4026,1.05043,1.59196,0.8431,-0.2326,0.34107,0.41619,0.56296,0.81778,0.12408,2
47.53357,0.58344,0.05871,0.9814,1.36632,-0.22094,-0.11678,0.77285,0.14387,1.02712,0.73061,0.05888,2
50.94396,-0.34651,0.58747,0.42711,1.77802,0.31882,-0.33192,0.28517,-0.52463,1.37357,0.59238,0.10929,1
50.71994,0.56236,0.18102,1.02589,0.84552,0.12057,-0.26499,-0.18447,0.09183,0.53943,0.2511,0.0722,2
30.68225,0.34149,0.29742,0.84829,1.01524,2.64642,-0.05675,0.3031,-0.4238,1.16357,0.12452,0.04944,1
70.87415,0.42973,0.19813,0.71265,1.70236,-0.14077,0.74314,-0.1265,0.20786,1.00942,-0.44396,0.1368,2
59.6091,0.87257,0.49003,1.52644,1.57276,1.96952,-0.13208,-0.98117,0.07915,0.76802,0.84309,0.04189,0
36.98644,0.51895,0.38274,1.61306,1.92595,-0.82675,-0.33999,0.33089,0.46879,0.94649,0.36433,0.03832,1
77.6087,-0.02376,0.3362,0.80125,2.05237,3.66538,0.95436,0.31516,-0.22462,2.17418,0.55662,0.09904,2
32.91276,-0.87102,0.69475,0.89464,1.67993,1.53088,-1.22075,0.58189,0.22734,1.84393,-0.54683,0.08995,0
17.54476,-0.26971,0.53656,1.19454,2.0521,-0.71682,-0.17465,0.24596,0.91801,0.75661,-0.8282,0.05534,2
54.19975,-0.66265,0.53349,0.56962,1.58175,0.29948,0.39168,1.4223,-0.5634,1.02608,0.13999,0.1341,0
58.58545,0.37936,0.37041,1.04618,2.13772,0.17537,0.53198,-0.50902,-0.07238,1.54689,0.14514,0.06505,1
73.2806,-0.25093,0.58717,0.86549,1.26354,0.61544,-0.5524,-0.36365,0.38635,0.76805,-0.28879,0.06278,1
22.06488,0.49471,0.55056,1.70623,1.54117,0.35136,0.09541,-0.32548,0.63828,1.85206,0.85459,0.09583,2
24.86076,0.62115,0.35729,1.19519,1.21221,-2.29988,0.81039,0.94029,0.33168,0.53661,0.9859,0.08431,2
34.6662,-0.28742,0.5602,0.82736,1.41314,-1.58124,-0.09289,0.32357,-0.02252,0.97509,0.17511,0.0899,0
70.08716,0.25565,0.19176,1.69677,0.7443,1.46031,0.85247,0.5023,0.20344,0.78052,0.26041,0.01,2
67.16216,-1.22168,0.38956,1.04018,1.19155,-3.26096,-0.32336,0.31448,-0.14665,1.00604,0.01772,0.0967,0
26.17593,-0.63603,0.65183,1.47902,1.42578,-4.76422,-0.40797,0.00721,-0.0755,1.18518,-0.05812,0.07912,0
18.90512,-0.35495,0.52026,2.1714,1.62264,1.15116,0.2062,-0.11067,0.02089,1.16521,-0.19848,0.01136,2
53.00365,0.10067,0.53171,0.61419,1.49025,0.11282,0.33437,-0.02251,-0.19064,1.60661,0.48548,0.10298,1
32.70329,-0.82146,0.67109,0.54513,1.39115,-2.25142,-1.0365,-0.97934,-0.1973,1.51709,-0.23513,0.12677,0
0.0,-1.11332,0.60451,1.83433,1.39291,-4.46729,-0.24662,-0.0063,-0.34272,0.8463,-0.28711,0.044,0
66.23072,0.55988,0.59591,1.60904,3.14058,0.21472,-0.13238,-0.66158,0.19302,1.01452,-0.00136,0.06208,0
10.54554,0.00889,0.09815,1.02142,1.60672,-0.21978,0.14485,0.07016,-0.16779,0.37717,-0.27138,0.05347,2
53.7706,-0.42024,0.88067,0.63543,1.77938,-3.63878,-1.28138,0.49698,0.03351,0.42786,-0.28719,0.11577,0
39.30773,-0.32609,0.45192,1.23933,1.58405,0.47381,-0.45252,-0.25242,-0.40293,0.56576,-0.59398,0.05081,1
43.91814,0.09737,0.34481,0.85953,2.77662,2.29737,0.34439,0.72396,0.13446,1.64637,0.89271,0.06626,1
28.53836,-0.16866,0.52794,0.84209,1.3694,-0.94843,-0.3248,0.17122,-0.34323,0.66238,0.88575,0.07665,1
37.03748,-1.79158,0.89066,0.81723,2.3999,0.70911,-0.06079,0.13365,-0.05294,1.00559,-0.22398,0.09204,0
42.43111,-0.02098,0.60451,2.34201,1.72375,-1.41113,-0.77073,-0.27858,-0.19428,0.88245,-0.07925,0.03545,0
55.58612,0.31649,0.57303,0.98671,2.93258,-1.03071,0.57315,-0.54872,0.60988,0.42048,0.50099,0.0467,0
48.72512,-0.1353,0.65472,1.45001,1.15182,0.46584,0.04814,0.47433,0.13227,0.38611,0.91561,0.03341,1
49.33197,0.03647,0.60781,0.58271,2.20859,0.95598,0.12967,0.19155,0.57123,0.4781,-0.06573,0.10316,2
45.19493,-0.14767,0.51999,1.28481,1.72741,1.73406,0.74217,0.5148,0.21813,0.77169,0.95822,0.06129,2
53.79527,-0.45086,0.59076,0.67291,1.76348,2.2539,0.2538,0.2335,0.22201,1.05331,0.57618,0.08104,1
63.27656,-0.13617,0.79072,1.51933,2.32551,-2.45182,-0.0439,-0.34956,0.79152,0.88468,-0.89158,0.05277,1
66.7222,-0.24511,0.36853,0.37168,1.67737,-1.25789,-0.27449,0.49052,0.5312,0.86954,-0.46229,0.11104,1
65.11148,-0.01682,0.62028,0.61169,2.72392,0.24866,-0.02319,0.26719,0.18215,1.25541,-0.23722,0.15365,2
40.3543,-0.49222,0.52,1.54879,1.83292,0.00838,0.32861,0.4435,-0.13344,2.22745,-0.67628,0.01878,1
80.52508,-0.77511,0.77205,1.39501,1.10127,-0.9161,-0.03995,-0.2377,-0.04249,0.86647,-0.75361,0.06075,0
57.84279,-1.41583,0.70808,1.57952,1.90689,-0.76689,-0.25908,-0.19885,0.75365,0.6168,0.22822,0.05183,0
34.67956,0.37618,0.68306,0.78034,0.94366,-0.60405,-0.29045,-1.18383,0.46974,0.67583,-0.17996,0.06278,2
26.97517,-0.27875,0.39751,0.80587,1.68282,2.95766,-0.40845,-0.16096,0.85914,1.1295,-0.19281,0.07481,2
60.29702,0.37167,0.55318,0.85911,1.98147,-1.71355,-0.1959,0.44849,0.16309,1.77594,-0.71518,0.04279,1
43.31154,-0.2634,0.27866,0.53623,1.14779,0.44269,-1.08095,-0.18069,-0.10113,0.49833,0.91639,0.09301,1
53.31848,0.02049,0.261,0.50968,2.221,0.38068,0.44627,-0.04227,0.33872,0.5517,-0.25647,0.10488,1
76.31835,0.81997,0.49055,1.43112,1.72464,-0.59195,-0.56729,-0.43375,0.32585,0.84558,0.45643,0.07109,1
45.04749,1.34471,0.32216,1.71686,0.76011,1.57925,0.33657,-0.05192,0.19917,0.94624,0.12057,0.03799,2
65.63732,0.47079,0.62783,0.83096,3.10233,2.16241,-0.15521,-0.54638,-0.86866,1.2299,0.4075,0.08764,2
29.35522,-0.50693,0.31973,1.89105,1.88867,2.17796,0.46326,-0.339,-0.43905,0.6692,0.97105,0.06349,2
33.62808,-0.76989,0.52284,1.33802,1.31313,1.54201,-0.0927,1.5978,0.14451,0.65581,-0.01497,0.07326,2
42.35245,-1.10081,0.7696,1.11072,1.151,-0.65906,-0.30846,-0.14481,0.47348,0.79779,0.5316,0.08135,0
57.29401,0.19211,0.78736,0.44504,1.58878,-0.25768,-1.19839,-0.14075,-0.4336,2.33988,0.94188,0.12144,0
67.99836,-0.44204,0.49684,0.50711,1.43242,0.16918,-0.50661,-0.07955,0.68767,1.06822,-0.89501,0.09125,1
51.10092,-0.71101,0.52133,1.16698,2.24473,2.42678,-0.4735,0.84072,0.37121,0.51535,0.63958,0.07622,0
78.77793,0.45726,0.81364,0.99124,1.54641,1.72924,-0.08609,-0.46291,-0.24023,1.23874,0.06038,0.04671,1
32.77097,0.40168,0.08414,0.87112,1.48686,1.7099,-0.1322,0.40357,-0.06403,0.81672,0.19138,0.08932,2
49.36844,0.21037,0.72011,0.99743,1.82512,0.95213,-0.34527,0.43436,-0.85636,2.11202,0.4277,0.05254,1
37.05414,0.95028,0.4303,2.45184,1.88543,-1.36848,-0.31534,-0.15328,-0.29485,0.69189,0.16277,0.05107,1
55.9501,0.03989,0.40758,1.85021,0.7167,1.79866,-0.51249,0.30234,0.14442,1.11359,0.58296,0.03306,1
78.44854,-1.40942,0.42865,0.54021,1.91382,0.33014,-0.7144,-0.32589,-0.00499,0.29821,-0.22116,0.12531,0
76.25107,0.71806,0.05411,1.57702,1.08433,4.09714,0.46971,-0.17899,-0.22017,0.85401,-0.38327,0.03088,2
58.06478,0.99007,0.27421,1.44344,1.91817,-0.76976,0.58493,0.95329,0.8307,0.56215,-0.27559,0.04565,2
36.31612,0.9075,0.56471,0.78556,2.32155,3.51986,0.52905,0.44141,0.98691,0.91637,-0.45845,0.07396,2
51.50451,0.64611,0.36893,0.24196,1.91495,-1.33574,0.82536,0.44359,0.00403,1.26024,-0.77576,0.25,2
44.0312,-0.80568,0.40192,2.07649,2.85061,-1.12652,-0.14717,-0.26947,0.28238,1.01438,0.46348,0.01656,0
64.99596,0.92012,0.3321,0.80253,0.75296,2.04044,1.12151,0.68694,0.34097,1.02938,-0.5712,0.11719,2
71.96336,-1.23626,0.64878,0.67188,1.76845,-1.51715,-0.09172,-0.3647,-0.03293,0.29665,0.66084,0.11669,0
31.79862,0.48451,0.35552,1.08068,1.41282,2.95534,0.14381,1.12963,-0.26178,1.59262,-0.02061,0.06497,2
52.72426,-0.17505,0.79399,1.34605,1.15356,1.89277,0.49459,-0.06213,-0.53266,0.73346,0.64094,0.04633,1
34.48123,0.45602,0.49023,1.13416,1.73334,5.58394,0.34309,0.47441,0.60564,1.06137,0.8421,0.07892,2
56.0447,1.02217,0.54681,0.77961,1.19371,-0.06619,0.04633,0.00642,-0.12009,0.58494,0.25492,0.03566,1
51.58571,0.52889,0.05308,1.71503,1.85638,0.78806,0.21576,0.13609,-0.03097,1.14871,0.20534,0.04743,2
39.8108,1.01577,0.40694,1.42984,0.83343,-1.93436,0.43075,-0.595,0.55021,0.67087,-0.55961,0.05729,2
30.4225,-0.00443,0.51898,0.73068,1.16344,1.26297,0.63667,0.04776,0.91389,0.66135,-0.15124,0.07017,2
38.07059,0.28675,0.26229,0.96765,1.40731,-2.1008,0.36737,0.77366,-0.51261,0.63082,-0.20529,0.07027,2
52.16386,-0.10087,0.41835,1.07451,1.34038,3.49276,-0.03238,-0.6536,-0.11798,0.54959,0.89137,0.08898,2
45.69692,0.64261,0.44163,0.77524,1.43835,-0.2138,-0.0429,-0.45858,0.45217,0.52262,-0.41478,0.10569,2
55.3174,0.26308,0.57687,0.6018,1.24805,0.21193,-0.13036,-0.2981,0.22276,0.24336,-0.74641,0.09136,1
58.49547,0.53212,0.17504,0.66797,2.40385,5.14452,0.14222,0.2917,0.39968,0.7659,0.10866,0.10817,2
90.17788,-1.61172,0.48181,0.56241,1.8281,0.32189,-1.02793,0.40196,-0.09138,0.67821,0.44941,0.0963,0
47.10045,0.48396,0.5202,1.0833,1.69866,-1.45185,0.02478,-0.11854,0.36477,1.51778,-0.23827,0.05279,1
56.05833,0.96295,0.42999,0.64513,1.07059,1.3069,-0.26877,0.28826,-0.62544,1.30066,-0.68496,0.07168,1
24.30691,-0.41204,0.44257,1.00955,1.55282,-1.97634,0.12477,0.47203,0.15612,0.64473,-0.89564,0.08479,0
