log_sfr,log_stellar_mass,u_r_colour,dn4000,log_ssfr,h_alpha_ew,log_halpha_lum,velocity_dispersion,galaxy_type
0.34741,10.96817,1.51228,1.20876,-10.62076,32.61792,41.49498,78.38603,0
-0.80697,9.8508,1.62731,1.25602,-10.65778,19.70059,40.46719,63.92468,0
-1.05766,11.36933,2.88488,1.87955,-12.42699,-2.78433,39.966,129.15814,1
0.22937,10.67146,1.36602,1.1632,-10.4421,10.59134,41.80776,80.80961,0
0.02117,9.63338,1.67486,1.06259,-9.61222,13.69707,40.93703,35.3726,0
-1.40345,10.23096,2.11309,1.52233,-11.63441,3.33358,39.59777,81.50044,1
-0.66923,9.56463,1.61162,1.21386,-10.23386,28.42233,40.76009,62.51439,0
-1.84178,9.31608,1.62391,1.22821,-11.15786,8.59875,38.8099,25.80267,0
0.0,8.9828,0.9421,0.85,-9.2885,166.94603,41.05178,179.84779,2
-1.7483,8.86513,1.18246,0.98548,-10.61343,8.50208,39.82845,57.43597,0
-0.15612,10.40382,1.14613,0.887,-10.55994,28.4806,40.7535,50.9194,0
-1.25175,9.82077,2.53517,1.52653,-11.07251,9.2867,39.46942,80.0,1
-0.32797,10.8821,1.46186,1.14345,-11.21006,12.8926,40.98962,51.59998,0
-0.28535,10.62397,1.71844,1.05567,-10.90931,21.32481,41.0583,20.0,0
-0.85341,9.93971,1.54697,1.16391,-10.79312,19.79874,40.71886,25.66164,0
-1.68408,8.90852,1.15381,1.18536,-10.5926,11.60185,39.56038,51.40428,0
-0.03992,10.48467,1.58655,1.1452,-10.52459,11.26525,40.861,79.79979,2
0.69856,10.11641,0.36115,0.85,-9.41784,34.72494,41.97919,163.34392,2
-1.69963,11.72208,3.00329,1.61555,-13.42171,1.84703,39.58897,152.27162,1
0.08264,10.08978,1.48275,1.15432,-10.00714,11.50997,41.48256,51.9124,0
0.92287,10.4635,1.24372,1.0462,-9.54063,45.92127,42.23069,130.98926,2
-1.67309,10.39259,2.53285,1.6492,-12.06569,-3.10154,39.40301,80.0,1
-1.26522,11.52917,2.66941,1.7101,-12.79439,-3.64371,39.69337,108.78309,1
-1.74253,10.74088,2.55538,1.49403,-12.48341,3.14482,39.17583,80.78633,1
0.81601,9.3869,1.46169,1.09043,-8.57089,64.0911,42.14802,57.4304,2
-1.95437,11.05432,2.34491,1.51405,-13.0087,-1.17603,38.93635,80.0,1
-2.73216,11.08487,2.4799,1.64666,-13.81703,-3.65421,37.94648,104.51038,1
-1.10192,9.04768,2.25323,1.50558,-10.14961,32.7284,40.2311,94.22434,0
-0.65831,9.87521,1.69843,1.16045,-10.53351,6.7767,40.70562,62.56747,0
-1.08756,10.00385,2.27958,1.45432,-11.0914,32.81847,40.39103,34.47041,0
-1.77984,10.11791,2.86601,2.03809,-11.89775,4.74452,39.48855,80.0,1
-2.18511,11.30349,2.27128,1.55105,-13.48861,1.16934,38.98465,111.76664,1
-1.36845,8.92099,1.17998,1.14709,-10.28944,35.77316,40.03131,39.30161,0
-1.59901,10.23519,2.44431,1.63896,-11.8342,2.30012,39.67695,80.0,1
-1.54817,10.21211,2.45465,1.55577,-11.76028,-1.78237,39.658,110.19024,1
-1.77777,11.75854,2.20357,1.49435,-13.53631,-2.91427,38.9241,80.0,1
-0.1709,10.17143,1.88344,1.18271,-10.34233,12.18609,40.67004,52.03003,0
-2.80624,10.84075,2.34632,1.44214,-13.64698,-1.71361,38.55078,92.92556,1
-1.13819,10.09725,1.65411,1.22894,-11.23544,12.01053,39.99019,66.02642,0
0.65919,8.65085,1.31069,1.02096,-7.99167,85.60136,41.76747,62.98025,2
0.93019,11.20816,1.5651,1.14023,-10.27797,7.4684,41.75144,29.26959,0
-1.21447,9.42897,1.96939,1.39856,-10.64344,43.58666,39.9766,46.6647,0
-2.96738,11.50398,2.22307,1.57525,-14.0,-0.70785,38.35103,162.96349,1
0.20175,10.1437,1.91836,1.16346,-9.94194,12.76212,41.29703,80.21961,0
-1.41458,11.59075,2.95169,1.62025,-13.00533,-2.59933,39.60275,125.52874,1
-0.32991,10.23247,1.33322,1.14436,-10.56238,16.12296,40.97344,33.05818,2
-0.94982,9.47816,1.41297,1.11706,-10.42798,34.94414,40.35871,21.03689,2
-2.72339,10.69037,2.13231,1.4,-13.41376,-0.54972,38.43227,81.44943,1
0.01093,9.80815,1.77916,0.85,-9.79722,18.04839,41.19183,39.94555,0
0.27585,11.56011,1.6932,1.11752,-11.28426,20.95035,41.34384,99.23341,0
-1.19729,10.74337,2.8498,1.65423,-11.94065,-3.4934,39.40614,104.304,1
-1.05808,11.62144,2.84782,1.73755,-12.67951,5.35756,39.81007,156.14054,1
1.09949,10.29318,1.10549,1.10017,-9.19369,27.44517,42.09293,103.54402,2
-0.55867,10.07803,1.46503,1.23715,-10.6367,21.56663,41.1809,61.04299,0
7e-05,10.01997,1.71316,1.19202,-10.0199,39.67869,40.95977,43.01962,0
-1.31581,8.88721,1.86896,1.14106,-10.20302,14.30044,40.55483,47.17275,0
-2.40642,10.69621,3.07426,1.85756,-13.10263,1.06406,39.15008,80.4303,1
2.69761,10.50127,0.95842,0.981,-7.80366,42.07122,43.63251,193.60215,2
0.0,8.96832,1.49295,0.94062,-9.70481,33.30619,40.5,96.7051,2
-1.05851,10.90313,2.68539,1.52514,-11.96164,3.73839,39.79437,80.0,1
-0.03248,10.65918,1.42727,1.13249,-10.69166,13.25566,40.88985,65.85148,0
-0.63305,9.45872,1.46078,1.1358,-10.09177,5.30071,40.47136,20.0,0
0.13963,10.3313,1.59453,1.33642,-10.19168,32.97254,41.73539,44.95158,0
2.28604,11.21345,1.52213,1.11392,-8.92741,83.94305,43.32792,109.98174,0
0.0,9.83644,0.3,0.94257,-10.11061,61.11824,40.69995,84.36983,2
0.98696,9.68891,1.1473,1.06977,-8.70195,46.53579,42.29636,102.49841,2
-0.15792,10.43252,1.76465,1.23617,-10.59044,19.27267,41.1347,89.45262,0
-1.36079,10.97126,2.2645,1.4,-12.33205,-0.47296,39.33337,105.83478,1
0.88096,11.3643,1.77757,1.11587,-10.48335,13.40398,42.00955,66.21587,0
0.72469,10.62658,1.12115,1.20158,-9.90189,50.05636,41.98409,73.93681,0
0.67057,9.61266,1.11027,1.10774,-8.94209,63.43073,41.88559,42.49866,2
0.59194,9.21888,0.3,0.95826,-8.62695,32.37248,42.02519,28.55818,2
0.03113,10.29331,1.44484,0.95823,-10.26218,17.06957,41.40068,44.30681,0
0.0,9.54983,1.4491,1.0754,-9.92259,56.35605,40.76427,101.37922,2
0.08663,10.88195,1.31257,1.12382,-10.79532,9.54098,41.63322,23.66923,0
-1.36889,10.93548,2.60855,1.77689,-12.30437,8.36866,39.53036,80.0,1
-0.65817,10.72025,2.94978,1.8965,-11.37842,1.51189,40.01559,104.60552,1
-1.55601,10.50726,3.10613,1.79356,-12.06327,0.2352,39.35998,80.25358,1
-1.93186,10.004,2.73606,1.65221,-11.93586,6.64594,39.07468,80.0,1
1.62163,12.0,1.18512,1.31536,-10.43171,16.47648,42.55508,89.23322,0
-2.15926,11.08077,2.73942,1.74966,-13.24004,2.8588,38.95198,92.98318,1
0.38478,10.12413,0.90604,0.85,-9.73935,31.55415,41.80641,81.6757,2
-1.44531,10.82306,2.48169,1.70259,-12.26836,0.83424,39.55817,118.87761,1
-3.0257,10.4627,2.39262,1.63082,-13.4884,1.6453,37.91492,101.85418,1
-2.01022,12.08515,2.78707,1.79522,-14.0,5.05305,38.72857,142.64596,1
1.33002,9.21249,0.76573,0.85,-7.88246,26.45355,42.35039,163.71788,2
0.22501,9.94089,1.01167,1.0175,-9.71588,30.55068,41.42817,67.67041,2
0.0,9.07746,0.70107,0.95994,-9.34145,53.88696,41.57225,154.35816,2
-2.17593,10.67771,2.45503,1.5307,-12.85364,-1.32313,39.01885,97.6776,1
-0.03683,9.39415,1.57628,1.38795,-9.43098,21.69153,41.03134,64.63744,2
-0.64953,9.94748,1.65952,1.19502,-10.59702,24.85334,40.63985,32.62222,0
-0.42069,10.2381,1.16783,1.08401,-10.65879,8.72497,40.94588,22.93936,0
-0.63884,9.64183,1.70158,1.325,-10.28066,63.95553,40.91613,55.73568,0
-2.25047,11.03414,2.75047,1.54726,-13.28461,0.7215,38.61247,85.90587,1
-1.50012,10.78185,2.79958,1.67272,-12.28198,1.59746,39.50142,105.68581,1
2.5854,11.5,1.32019,1.00728,-8.9803,35.82996,43.82748,91.26763,2
0.22087,10.98527,1.52276,1.04999,-10.7644,81.37275,41.43662,75.91783,0
-0.68094,9.76746,1.4177,1.00407,-10.44839,34.08283,41.00651,20.0,0
0.48904,11.25623,1.49588,1.2302,-10.7672,22.30876,41.87073,60.1763,0
-0.5,11.33339,2.71958,1.59863,-11.79722,0.32671,40.5648,95.05549,1
-1.90493,8.6874,1.74589,1.30563,-10.59233,7.68891,39.4542,66.90305,0
-2.35268,10.16706,2.73508,1.62893,-12.51974,2.71094,38.74813,93.08514,1
1.04315,11.669,1.59176,1.06258,-10.62585,27.20416,42.08175,81.59917,0
-1.37702,10.30491,3.49125,2.00232,-11.68193,3.71339,39.69891,82.47112,1
-1.15364,11.27089,2.73217,1.7308,-12.42453,-1.18714,39.60725,82.74835,1
-0.30388,10.07679,1.62243,1.36125,-10.38067,18.89527,40.61463,47.89642,0
-2.64211,11.3671,2.98137,1.86421,-14.0,2.05759,38.70096,128.42259,1
-1.75089,10.4388,2.82658,1.65616,-12.18969,-6.82285,39.9567,80.0,1
0.36543,10.59843,1.38287,1.20857,-10.233,6.83107,41.35835,42.73832,0
0.83445,9.54345,1.02009,1.12012,-8.709,83.40194,42.32015,75.77768,2
-0.23271,9.95231,1.55108,1.11314,-10.18502,14.82261,41.07405,61.5899,0
-0.6252,10.63164,1.83455,1.26352,-11.25684,9.27746,40.24219,79.4592,0
-1.41264,11.0155,3.26804,1.77079,-12.42814,4.42327,39.36269,83.92474,1
-1.37302,11.37964,1.82401,1.4,-12.75265,-2.5992,39.61269,91.78348,1
-0.53756,9.71472,1.83789,1.12229,-10.25228,12.83763,40.32528,20.0,0
0.1088,11.63007,0.7511,0.85,-11.52127,8.1225,41.07445,62.36433,0
1.01714,10.49082,0.76955,0.90313,-9.47368,29.90584,42.26527,59.29479,2
-0.35785,9.43644,1.28145,1.33023,-9.7943,12.88475,40.78817,67.14353,0
-0.35051,10.41216,1.65585,1.21618,-10.76267,26.46375,40.88128,71.57762,0
-2.98293,11.66445,2.48362,1.56691,-14.0,1.22609,38.12755,126.03445,1
0.94589,9.48409,1.13043,1.02656,-8.5382,37.43926,42.41933,70.08959,2
-0.72658,9.81144,1.40395,1.05727,-10.53802,12.55251,40.34886,109.46575,0
-1.15428,9.65826,1.83615,1.28747,-10.81253,19.84712,40.22875,43.06858,0
-0.23843,10.42016,1.2786,0.85,-10.65859,6.15761,41.13911,52.47216,0
0.38622,9.11482,1.11076,1.01391,-8.7286,37.11306,41.99059,43.02868,2
-0.49934,10.07156,1.81191,1.31446,-10.5709,33.51204,40.8283,43.34368,0
-1.2862,9.53067,1.88823,1.2761,-10.81688,17.04347,39.44324,76.75571,0
-0.97679,10.02184,2.07132,1.2318,-10.99863,21.4633,40.38044,27.94688,0
-0.11081,10.73652,0.84315,0.85,-10.84733,9.75042,40.92485,55.48964,0
0.62739,9.53076,1.09303,0.91462,-8.90336,81.09289,41.9814,117.09097,2
-1.83546,9.7164,1.98713,1.52226,-11.55186,4.83222,39.06355,100.86712,1
1.29626,9.775,0.84395,0.96879,-8.47874,36.79006,42.52712,63.45187,2
-2.04463,11.35941,2.51392,1.62446,-13.40404,1.30878,38.96847,85.85534,1
-0.73314,11.09528,2.63372,1.75774,-11.82842,7.07372,40.11688,100.68309,1
-2.00547,10.9458,2.67073,1.68741,-12.95127,5.99434,38.71407,94.36184,1
-0.9911,10.56626,3.09971,2.02004,-11.55736,-4.54395,39.94331,80.0,1
-0.71681,10.43657,1.36248,1.49464,-11.15339,19.08135,40.7988,37.01931,0
-0.66558,10.20581,1.51413,1.42142,-10.87139,10.03478,40.7264,56.39785,0
-2.99826,10.85331,3.11629,1.89008,-13.85156,6.06536,38.48791,97.08697,1
-2.02431,11.0546,2.51216,1.76704,-13.07892,-1.19986,39.16016,80.0,1
0.33553,10.90218,1.14916,0.98766,-10.56664,5.20249,41.99958,59.18972,0
-1.35501,9.84038,2.50963,1.6833,-11.19539,-1.59165,39.50138,111.48038,1
-0.61869,9.60195,2.5,1.61107,-10.22064,21.711,40.2038,45.6137,0
-0.30141,10.51092,1.47092,1.02406,-10.81234,18.31837,40.79885,55.94509,0
-2.07294,10.89642,2.65435,1.72626,-12.96937,-0.59269,39.12683,152.0424,1
0.2914,11.21174,1.42531,1.17206,-10.92034,18.99994,41.53832,72.99173,0
0.02743,10.76661,2.21653,1.44399,-10.73918,16.90106,40.76173,82.82564,0
-0.93664,9.98268,1.4768,1.10816,-10.91932,32.68461,40.38227,35.7668,0
-0.28476,9.84838,1.96501,1.36919,-10.13314,15.89,41.22939,45.11381,0
-0.60141,10.10711,1.53633,0.85,-10.70852,24.81754,40.54416,30.33564,0
-1.3855,9.26036,1.86023,1.3686,-10.64586,34.48957,40.10431,35.05849,0
-0.53072,10.14935,2.26753,1.45059,-10.68007,13.58246,40.67497,61.7933,0
0.44091,10.49784,0.97878,0.85,-10.05693,69.64838,41.62155,41.1087,2
-1.64451,10.44136,3.18826,1.9102,-12.08587,2.20257,39.22237,91.56893,1
1.61169,10.33432,1.55868,1.03561,-8.72264,47.7073,42.7774,125.79082,2
-0.30386,9.70493,1.41734,1.17077,-10.00879,7.40203,40.78146,90.49707,0
0.52582,11.23017,1.48627,1.18085,-10.70435,24.81858,41.77698,62.53379,0
-1.96402,10.47673,2.29133,1.65451,-12.44075,1.77875,38.85492,80.0,1
-2.20517,11.29607,2.89082,1.70061,-13.50123,-1.48872,39.46923,80.0,1
-0.00454,10.82109,1.39317,1.04731,-10.82563,45.64968,41.46818,75.59301,0
-0.17667,10.79087,1.38698,1.13309,-10.96753,11.61452,41.26927,86.50289,0
-0.9465,10.53558,2.73417,1.65129,-11.48208,2.26657,39.61461,80.0,1
-2.40354,10.86459,2.48334,1.62806,-13.26813,2.58454,38.74769,80.0,1
0.688,9.992,1.2895,0.88388,-9.304,25.52615,41.93143,77.52363,2
1.76885,10.17657,1.38398,1.15385,-8.40772,79.07815,42.46139,143.40948,2
-0.59678,9.81707,0.84193,0.85653,-10.41386,9.11424,40.67566,37.40328,0
-0.05049,10.95117,1.76867,1.3474,-11.00166,14.39627,41.0544,54.05345,0
1.2984,11.59775,1.61335,1.11171,-10.29935,15.36385,42.15961,40.27229,0
-1.51114,11.59278,2.40395,1.61378,-13.10393,-2.4562,39.24283,132.4001,1
-0.14341,9.83411,2.23544,1.44848,-9.97752,17.6132,40.95132,59.06265,0
-2.66921,10.74754,2.69971,1.70522,-13.41674,0.74128,38.65672,80.0,1
-0.82638,10.25371,2.62851,1.64769,-11.08009,-1.32838,39.82055,80.0,1
-1.44838,10.88256,3.146,1.88027,-12.33095,-0.90042,39.80073,81.5102,1
-2.18404,11.45731,2.63763,1.65452,-13.64135,-4.33726,38.7708,80.0,1
-0.95932,9.86474,1.22779,0.99359,-10.82406,16.34523,40.14123,42.82597,0
-0.89723,9.53535,1.7673,1.23871,-10.43258,23.81229,40.48435,45.68888,2
-2.35874,10.50681,2.80734,1.65944,-12.86555,-1.27174,39.23628,106.84604,1
0.98435,10.03906,1.33311,1.15834,-9.05471,74.04153,41.58105,66.53326,2
-0.61182,10.27658,1.03708,0.85,-10.8884,38.78234,40.47139,43.17652,2
-1.42618,9.50312,2.86499,1.77379,-10.9293,7.24314,39.46041,80.0,1
-0.56638,10.07757,1.61393,1.14486,-10.64395,6.31276,40.14889,58.74725,0
-0.87937,10.8867,2.35487,1.63947,-11.76607,-2.06728,40.0971,107.01262,1
-0.88918,9.40976,1.30764,1.15738,-10.29893,43.20199,40.29989,22.92451,0
-0.43515,9.96169,1.16269,1.0823,-10.39684,6.10492,40.81461,72.58946,0
0.02749,10.81004,1.41898,0.93973,-10.78255,24.73239,40.91133,49.42053,0
-0.84195,9.99366,1.38419,1.06625,-10.83561,15.33613,40.35547,78.34307,0
-0.58117,9.86133,1.10395,0.93812,-10.4425,14.59889,40.52179,54.29012,0
-2.76668,11.12984,2.91736,1.95739,-13.89651,4.94766,38.30556,127.77145,1
-0.74742,10.02096,1.84487,1.46706,-10.76838,16.33456,40.76455,106.9409,0
0.20386,10.13327,0.6784,0.85,-9.92941,94.68649,41.56685,62.19711,2
-0.28809,10.70701,1.5073,1.34393,-10.9951,12.14106,40.56245,54.3719,0
0.48918,10.64957,1.56718,1.18546,-10.16038,46.37897,41.27533,72.71033,0
0.06319,10.90312,1.8679,1.18964,-10.83993,28.44687,41.07876,43.78468,0
-1.64703,9.00729,1.77803,1.39902,-10.65432,24.72053,39.70799,59.47353,0
-1.51942,11.70768,2.12592,1.5634,-13.2271,-2.70927,39.31219,80.0,1
-2.27043,11.10587,2.75252,1.69095,-13.3763,-1.97071,38.76539,80.0,1
-1.96066,10.95496,2.82114,2.01494,-12.91561,3.09174,39.29576,121.15565,1
-2.63496,10.56154,2.30635,1.47769,-13.1965,-1.16836,38.64209,92.13468,1
-0.30695,10.48824,1.51879,1.04334,-10.79519,24.40346,41.1789,23.07889,0
-1.80913,10.87081,2.30874,1.57521,-12.67994,3.91995,39.48314,102.69304,1
2.20545,10.12586,1.47973,0.95608,-7.92042,54.0367,43.20297,121.44007,2
3.5,11.5,0.92283,1.08472,-7.81575,53.76449,44.5,142.35164,2
-1.81173,10.06485,2.8331,1.65063,-11.87657,5.3812,39.53099,111.81784,1
-0.64798,10.18455,1.93763,1.19474,-10.83253,8.03208,40.26082,85.20471,0
0.08969,10.74901,1.8658,1.05496,-10.65932,16.48158,40.8588,84.45396,0
0.04232,10.27362,1.99119,1.46637,-10.2313,49.9634,40.98078,73.80846,0
-2.44424,11.16933,2.68679,1.57198,-13.61357,2.3993,39.33134,80.0,1
-0.47142,10.01533,1.0325,0.93851,-10.48675,17.61865,41.28224,60.20577,0
-0.30889,10.27778,2.01212,1.47369,-10.58667,22.18864,40.47197,68.01208,0
3.5,11.5,0.98696,0.98162,-8.4847,104.79152,44.5,110.40451,2
0.45138,10.00162,1.53954,1.13148,-9.55025,140.52493,41.5429,29.22599,2
0.2069,10.66677,2.02751,1.39828,-10.45987,8.41304,41.31158,56.38415,0
0.93202,11.38315,1.38842,1.08975,-10.45114,20.09923,41.78485,68.67631,0
-2.66629,10.2633,2.46141,1.59203,-12.92959,-2.43081,38.06262,80.0,1
-2.44782,10.50981,2.47552,1.65623,-12.95762,-0.19557,38.38343,80.0,1
-1.69969,9.67508,2.12164,1.56433,-11.37477,2.42541,39.23148,101.39824,1
-0.48538,9.42725,1.885,1.32369,-9.91263,11.68834,40.73723,20.0,0
-0.46996,10.35166,1.38183,1.03353,-10.82161,14.22371,40.73589,39.77726,0
0.08377,9.42551,0.7317,0.85,-9.34174,40.54576,41.52587,62.27146,2
-1.57501,10.97346,2.40728,1.56124,-12.54846,5.5676,39.6526,80.0,1
0.48187,10.93893,1.99198,1.22329,-10.45705,14.24114,41.90942,77.599,0
-0.15428,10.21204,1.90298,1.22678,-10.36632,11.41674,41.55628,96.44976,0
-2.06092,10.68898,2.728,1.85962,-12.7499,2.8947,39.13358,84.85098,1
-0.47949,10.50431,1.40594,1.21984,-10.98381,7.18837,40.76018,57.66827,0
-1.51085,10.79968,2.95814,1.74981,-12.31053,-3.30605,39.41905,80.0,1
1.55971,9.85527,0.61757,0.85,-8.29556,114.33255,43.09022,118.23829,2
-1.1704,9.7058,1.26475,1.13162,-10.8762,12.93497,40.28654,55.74207,0
-1.10109,10.87046,2.5586,1.52762,-11.97155,-4.52661,39.81209,92.84208,1
-2.2272,10.82624,2.49199,1.67512,-13.05344,-0.06172,39.08115,152.68084,1
1.1582,11.01934,1.52169,1.18149,-9.86114,13.25753,42.25396,58.73057,0
0.10777,10.20917,1.53183,1.18457,-10.1014,13.88332,41.32718,20.0,0
-2.85394,10.92972,2.52797,1.7322,-13.78366,0.0051,38.35925,135.66705,1
1.32232,9.63178,1.16949,1.04579,-8.30946,82.0846,42.76547,72.32614,2
0.47301,9.72609,1.01872,1.06264,-9.25307,22.7841,42.06112,113.35911,2
-0.95941,10.04758,2.25391,1.34625,-11.00699,13.93327,40.44694,59.1087,0
-3.06278,10.82608,3.12026,1.63449,-13.88886,-1.64692,37.85257,99.9859,1
0.46751,11.06539,1.20974,1.18842,-10.59788,9.72411,41.64049,60.78821,0
-3.97986,10.85178,2.72958,1.56347,-14.0,2.10581,37.73075,80.0,1
-0.0729,10.50968,1.72441,1.09672,-10.58258,13.07038,41.32876,100.67275,0
-2.066,9.92354,2.65555,1.72081,-11.98954,4.96681,39.00243,80.0,1
-0.72317,9.7386,1.94854,1.34531,-10.46177,27.53733,40.28462,34.10383,0
-0.5,11.25382,2.22401,1.58938,-11.10433,-4.38422,40.96574,116.65096,1
1.71107,9.7552,0.95427,0.85,-8.04413,65.02349,42.85052,64.57039,2
-0.57288,9.37666,1.74317,1.15557,-9.94954,14.5967,40.50495,65.38343,0
-0.15789,10.62986,1.44785,1.17852,-10.78775,22.74557,40.86023,78.81517,0
-1.99997,9.13493,1.0133,0.85821,-11.1349,10.53306,39.6042,20.0,0
-0.13986,9.99519,1.36154,0.99536,-10.13505,20.06607,40.93094,84.2062,0
0.79985,8.99653,1.15403,0.85,-8.19668,28.78068,41.92518,79.27409,2
-1.4796,11.44865,2.39678,1.41897,-12.92825,-1.25271,39.59877,80.0,1
-1.75914,9.60111,0.70158,0.85,-11.36025,5.63875,39.43842,56.15561,0
0.42759,10.88911,1.55128,1.09509,-10.46152,13.90113,41.87139,50.59309,0
-0.25157,10.78438,1.10512,1.07794,-11.03595,43.93113,40.83996,98.85256,0
2.09897,10.90253,1.03548,0.9921,-8.80355,63.62423,42.98254,58.86348,2
2.36808,11.5,0.88929,0.92609,-9.21957,71.81583,43.27237,90.54658,2
0.72423,9.62337,0.81467,0.89404,-8.89915,44.10308,41.70222,48.22319,2
-1.64197,8.9125,1.83639,1.41686,-10.55447,72.77239,39.64234,64.01601,0
2.43627,10.64294,1.8,1.05169,-8.20666,81.97856,43.28048,45.20639,2
1.24273,10.45918,0.66324,0.93692,-9.21646,58.75575,42.7003,102.35255,2
-0.146,10.46163,1.01028,1.06268,-10.60763,10.03692,40.81414,50.26395,0
1.18629,10.38323,0.41696,0.85,-9.19694,123.37076,42.28597,36.89808,2
-3.88602,11.37089,2.58646,1.48617,-14.0,-4.1797,37.74609,139.86498,1
0.0,8.7195,1.31168,1.0319,-9.75983,37.56862,40.5,79.79714,2
-1.73767,10.85456,2.76472,1.60796,-12.59223,2.94895,39.07997,80.0,1
-2.61257,10.81433,2.77875,1.62022,-13.4269,1.1575,38.44834,119.90443,1
-0.84835,9.77932,1.34353,0.91231,-10.62767,33.76651,40.48262,69.30234,0
-1.89734,10.57035,2.72747,1.80745,-12.4677,3.16315,39.36432,141.29008,1
-0.71927,9.51873,2.24625,1.39002,-10.238,33.59503,40.60763,40.34742,0
-0.99077,10.06202,2.54352,1.66292,-11.05279,5.46394,40.57106,80.0,1
0.63355,10.6299,1.45226,1.05143,-9.99635,40.12034,41.24527,90.2344,0
0.0,9.18419,1.35323,1.05405,-9.30118,22.88827,40.98882,77.0787,2
0.27329,10.74617,1.97101,1.34795,-10.47287,7.53414,41.66883,78.56208,0
-0.03161,10.58337,1.59613,1.1972,-10.61498,21.44291,40.69808,63.00101,0
-1.5018,9.6356,1.63266,1.2338,-11.1374,21.75834,39.71205,40.34112,0
1.02832,9.3368,0.37081,0.85,-8.30848,56.00384,42.26125,144.42926,2
0.39432,10.15871,0.52489,0.89633,-9.76439,32.49188,41.61078,46.5971,2
-1.79513,9.06727,1.96156,1.15851,-10.8624,9.55395,39.88991,96.75683,0
-1.48255,10.50628,2.73224,1.80561,-11.98883,2.80636,39.09096,80.0,1
0.44502,10.49273,1.37725,1.16184,-10.04771,24.8628,41.6248,29.16371,0
-1.04419,10.72421,2.52991,1.75252,-11.76839,-2.82916,39.7757,97.64001,1
-1.92173,9.3538,1.83551,1.27762,-11.27553,10.74759,39.46711,55.21329,0
-0.80997,10.33437,1.63167,1.06134,-11.14434,14.97652,40.35277,90.74104,0
-1.68088,11.1112,2.67692,1.58345,-12.79209,1.48297,39.26964,156.96817,1
-0.4218,9.57921,1.48811,0.86628,-10.00101,19.13671,40.5156,35.83257,0
-0.0246,10.03127,1.45169,1.11512,-10.05586,12.2267,41.53934,20.10519,0
-1.04433,9.70921,2.03133,1.33092,-10.75354,19.7315,40.0029,71.83025,0
-2.03421,9.89781,2.61824,1.59277,-11.93202,-1.04171,39.42382,80.0,1
