log_sfr,log_stellar_mass,u_r_colour,dn4000,log_ssfr,h_alpha_ew,log_halpha_lum,velocity_dispersion
-0.13711,10.30752,1.22275,0.88754,-10.44463,15.14507,40.41615,59.72634
-1.39478,8.90098,1.29837,1.12499,-10.29576,27.36755,40.42297,42.33168
2.92496,10.78571,0.88883,0.85,-7.86075,30.9146,44.01682,57.49423
-0.07711,9.9209,1.99756,1.29248,-9.998,14.62055,40.73047,106.48303
-0.13504,10.2906,1.71296,1.34241,-10.42565,22.71059,41.06167,88.33786
0.71846,10.16894,1.58965,1.28895,-9.45048,38.75706,42.15132,77.37974
0.44951,10.86174,1.74268,1.22937,-10.41224,8.1066,41.11792,78.64725
0.75602,9.58196,1.53292,0.86861,-8.82594,62.8289,42.18934,98.37612
-1.66925,9.62811,1.79035,1.37064,-11.29736,13.2108,39.92197,59.85272
-2.7247,10.72366,2.91788,1.66938,-13.44837,3.59283,38.96202,97.69751
-2.28162,10.48376,2.50174,1.64003,-12.76538,-0.27914,38.5661,106.58303
-0.88549,9.94117,2.13768,1.34145,-10.82667,12.05796,40.17939,35.80016
-1.34305,11.08402,3.23339,1.91896,-12.42707,1.46152,39.34774,80.0
-0.16971,10.61753,1.42513,1.04006,-10.78723,7.04013,40.92433,36.98734
-1.32264,10.14355,2.34001,1.6436,-11.46619,1.62267,39.58794,80.0
1.71789,9.61782,0.68848,0.93637,-7.89993,32.54697,43.10954,104.65778
-1.13386,10.45737,2.57243,1.48563,-11.59123,6.77757,39.44339,128.77437
-0.60179,10.07009,1.65744,1.00494,-10.67188,17.15134,41.10419,50.52329
0.15807,11.15632,1.13586,0.89276,-10.99825,12.95531,40.87843,48.31851
-1.2689,11.49809,2.2426,1.4,-12.767,3.44942,39.4394,115.52053
-0.79604,10.11375,1.7377,1.26507,-10.90979,33.93501,40.39801,51.75929
-2.09664,11.55977,3.40438,2.08724,-13.65641,7.96263,39.30426,141.93125
-1.50215,10.6658,2.42456,1.49042,-12.16795,2.94114,39.38034,135.07719
-1.26433,10.55984,2.42006,1.50806,-11.82417,-3.65368,39.71117,86.15752
-1.83752,11.20855,2.52448,1.76325,-13.04607,8.05147,39.2693,92.83447
0.24205,10.33683,1.46684,1.15029,-10.09478,13.89313,41.17885,36.73902
2.4913,11.38251,0.96925,1.03397,-8.89121,37.80911,43.40841,184.75048
1.80749,10.49088,0.85408,1.04867,-8.6834,78.42952,42.6473,141.24273
-0.13598,10.22118,1.41632,1.05677,-10.35716,10.23174,41.00943,85.00906
-0.49992,10.65737,1.78633,1.30204,-11.15729,23.32589,40.61001,48.56533
-1.74787,9.50451,1.97683,1.26467,-11.25239,13.41399,39.94776,74.68723
0.108,10.49836,1.54285,1.1087,-10.39036,15.79263,41.229,44.39669
0.0514,11.05724,1.37523,1.12369,-11.00585,25.94858,41.25569,90.6195
-2.16348,10.52698,2.61218,1.5964,-12.69046,6.15178,38.54657,80.0
-2.01419,10.73886,2.51189,1.76603,-12.75306,3.35178,39.00539,134.34688
-0.07697,10.28625,1.61166,1.12035,-10.36323,25.81773,41.06727,56.88274
-0.24173,10.15298,1.34593,1.05971,-10.39471,9.16207,40.84221,78.85198
-2.56696,11.39938,3.11846,1.51814,-13.96634,3.5666,38.35993,80.0
-0.4648,10.55095,1.20401,1.27265,-11.01575,27.38866,41.26413,59.81179
-3.05167,10.93033,3.03309,1.79088,-13.98199,-2.65632,38.22753,89.95481
-2.20991,10.20814,2.90374,1.72027,-12.41805,6.46733,39.21534,80.0
-2.05179,9.78436,2.41919,1.48652,-11.83616,-6.23621,39.0647,83.11721
-0.89536,10.02152,1.51695,1.09004,-10.91688,29.86874,40.24488,82.64083
-0.75551,11.08533,2.78418,1.63189,-11.84084,1.34829,40.04094,125.91026
0.00644,10.1131,1.1756,0.85,-10.10666,27.66455,41.30267,81.95867
-1.24149,11.13327,2.75276,1.6509,-12.37476,10.0,39.58393,110.32352
-0.22355,9.98794,1.21537,1.02494,-10.21149,13.57082,40.74558,61.5357
-2.88946,10.37593,1.91372,1.4,-13.26538,1.10404,37.96268,80.0
-0.39437,10.18796,1.93005,1.31901,-10.58233,23.83689,40.58762,37.40972
-0.2552,10.51495,1.14163,0.85,-10.77015,11.39386,40.44098,89.34231
-1.35119,11.49111,2.60038,1.47836,-12.8423,4.03865,39.87738,100.25768
0.79386,10.99525,1.77004,1.13797,-10.20138,13.94258,41.15589,85.57061
0.41102,11.39062,1.79535,1.25001,-10.9796,25.27008,41.38241,90.86265
-2.93577,10.80416,2.75774,1.6025,-13.73993,1.66672,38.44461,104.94339
-0.59833,10.06732,1.8805,1.34932,-10.66566,23.25025,40.35386,51.93173
-1.34681,10.18128,2.45209,1.74456,-11.52809,6.13955,39.22648,87.65478
-1.02805,10.16633,3.07893,2.0285,-11.19438,3.41599,39.90432,88.27367
-1.61256,10.74409,2.26662,1.68817,-12.35664,4.42503,39.32153,117.63317
-2.27388,11.21825,2.48082,1.65969,-13.49213,-0.19415,38.99423,150.5997
0.66878,10.543,0.94505,0.85,-9.87422,58.72988,41.66196,117.60942
0.03847,10.98655,2.0577,1.54772,-10.94807,26.72725,41.05409,34.55268
1.46291,10.5012,1.28647,0.93154,-9.03829,40.99024,42.693,99.92997
-2.09788,11.03886,2.88874,1.90274,-13.13675,8.43574,38.82262,80.80547
-0.49876,9.81719,1.933,1.12665,-10.31595,19.8695,40.32985,62.08083
-2.6096,11.06595,2.85823,1.68029,-13.67554,-3.49496,38.47127,142.00229
-0.52583,9.9094,1.63574,1.1394,-10.43523,12.88846,40.67971,20.0
0.43874,9.5971,0.49691,0.85,-9.15837,47.61215,42.03843,157.80167
-1.00262,9.65455,1.81045,1.38576,-10.65718,2.59664,39.91907,54.06239
0.0,8.85293,0.6758,0.85,-9.79934,39.8628,40.5,149.42029
3.5,11.05999,0.8778,0.85,-7.5,67.99916,44.01277,123.44878
-0.75733,9.51097,1.57845,1.15978,-10.2683,2.19545,40.44401,70.65779
-2.2645,11.7794,2.51226,1.64516,-14.0,1.34056,38.74921,100.97361
0.17606,11.03733,1.68144,1.2074,-10.86128,23.81265,40.67084,73.97156
-0.4218,9.68591,1.72736,1.22033,-10.10771,19.68631,41.1569,65.24553
-1.30734,9.07206,1.82384,1.13595,-10.3794,24.76197,40.4434,35.67975
-0.87524,10.59058,2.56066,1.76465,-11.46582,3.58061,39.97032,91.62949
1.17421,11.43151,1.40218,1.08891,-10.25731,24.05552,42.36857,59.12833
-2.58636,10.99363,3.23969,1.92913,-13.57999,0.55607,38.84768,101.72677
0.18498,10.61817,1.05288,0.94862,-10.4332,14.93072,41.66128,89.98533
-0.3699,10.12999,1.53057,1.18643,-10.49989,36.20701,40.69121,34.721
-1.98034,10.37233,2.49156,1.54796,-12.35266,-6.14871,39.2879,80.0
-0.7778,10.15804,1.23697,1.04284,-10.93584,8.48551,40.22899,74.91971
0.8499,9.94065,1.44414,1.00479,-9.09075,21.08496,42.07353,118.13789
0.24241,10.881,1.50558,0.96107,-10.63859,25.44767,41.10262,42.83141
-1.58252,9.27329,1.18949,0.85,-10.85581,14.2306,39.47181,20.0
-0.10093,10.02579,1.75923,1.4441,-10.12672,68.60017,40.95767,42.18212
-0.16576,10.36259,1.24562,0.9949,-10.52834,16.74559,41.1784,60.79665
-2.01106,10.38326,2.63449,1.50408,-12.39432,5.03001,38.97229,80.0
-0.88224,10.27126,2.11489,1.48082,-11.1535,0.28681,39.51193,80.0
0.05692,10.93228,1.96042,1.40283,-10.87536,16.99706,41.50088,66.38411
2.5733,10.72299,0.63903,0.85,-8.1497,52.50703,43.94146,139.13616
-1.94134,9.85857,3.00965,1.71337,-11.79991,-0.66757,39.34086,94.41027
-1.28669,10.43481,2.74401,1.74028,-11.7215,0.5906,40.04558,85.26706
-1.35741,9.69414,1.41279,1.22995,-11.05155,19.857,39.67283,76.64688
-0.58666,10.16072,1.21298,1.06893,-10.74738,20.55203,40.09163,30.76637
0.48555,11.16385,1.65427,0.92262,-10.67829,14.59195,41.25293,60.15883
0.17537,10.82746,1.8466,1.18524,-10.65209,8.59456,41.1494,53.09096
1.86693,9.66276,0.59426,0.85,-7.79583,44.48615,43.16448,83.2255
1.73301,9.84287,1.14172,1.11024,-8.10985,34.18818,43.04674,102.48316
-1.72909,11.4939,2.95817,1.73696,-13.22299,-0.02498,39.16217,101.60069
-2.30896,9.83278,2.5454,1.56519,-12.14174,-1.05653,38.73152,117.86033
-1.9178,8.93707,2.42243,1.32761,-10.85487,21.50458,39.33709,52.61673
-1.86129,11.69097,2.31793,1.5445,-13.55226,10.0,38.95866,125.25016
-0.92388,10.27052,2.20237,1.37656,-11.1944,45.21758,40.30009,55.10083
-2.32649,10.72421,2.64663,1.75253,-13.0507,6.34398,38.79264,80.0
-0.52008,9.70929,1.38666,1.15934,-10.22937,14.8616,41.04084,62.11782
-0.88634,10.11847,2.59653,1.50225,-11.00482,0.15529,40.07425,80.0
-1.44415,11.10276,2.39967,1.55974,-12.54691,2.88919,39.47901,85.24626
0.13654,10.49443,1.57857,1.29472,-10.35789,6.22442,41.05198,75.33752
-1.46454,10.79071,2.14812,1.59933,-12.25525,2.87699,39.48075,107.35044
-0.45666,10.39962,1.19866,1.12449,-10.85627,14.37952,40.50893,61.00372
-0.82323,11.26638,2.57048,1.5943,-12.08961,2.67676,39.9925,112.18591
-2.22266,10.79014,2.71097,1.59934,-13.0128,1.92598,39.14946,122.34899
0.31977,10.73785,1.94703,1.21756,-10.41808,17.05127,41.50092,35.47805
2.33859,11.09945,0.45538,0.85,-8.76085,63.53613,43.24229,151.15058
0.82917,10.45619,1.55086,0.96452,-9.62702,84.02542,42.08522,137.50702
-1.88975,10.65332,3.28439,1.96534,-12.54307,-0.31395,39.06536,80.0
0.49828,10.88598,1.76843,1.33582,-10.3877,11.98688,41.89541,35.18544
0.35136,11.10716,1.93324,1.2719,-10.75581,15.36685,41.68582,43.95432
1.57113,10.23674,0.96535,1.00388,-8.66561,47.3773,42.83273,136.40627
0.33952,9.01193,1.29562,0.96147,-8.6724,33.78666,41.68771,141.64691
-1.09218,9.84617,2.07153,1.35461,-10.93835,12.07629,40.11099,79.02752
1.02625,9.71114,1.14039,0.99869,-8.68488,38.66032,41.93469,108.86562
2.01914,10.92989,0.96839,0.85,-8.91075,60.5725,43.07295,185.57838
2.16426,10.8138,1.53263,0.99384,-8.64954,104.47859,43.48812,75.69622
1.40548,9.51507,1.52659,1.04061,-8.10959,66.50787,42.81467,62.60156
-0.74405,9.88316,1.78203,1.16754,-10.6272,26.75825,40.47297,34.03614
-0.61497,9.95775,1.83418,1.0374,-10.57272,33.90304,40.3369,20.0
-0.9067,9.74305,1.56571,0.88858,-10.64975,19.20872,39.89704,47.82371
-0.49733,9.72487,1.51388,1.03805,-10.2222,12.90075,40.67296,51.20378
-0.11863,10.61118,1.481,1.17227,-10.72981,9.67203,41.03001,57.13881
-0.48747,9.97689,1.53817,1.13221,-10.46436,40.64018,40.66267,46.50508
-0.2052,10.62597,1.70221,1.16043,-10.83117,14.10463,41.34796,39.11239
-2.44855,10.3744,2.79276,1.74489,-12.82295,1.64922,39.18442,93.49255
-0.5,10.54426,2.57266,1.64366,-11.00268,-0.89961,40.40451,154.00532
0.29153,10.66154,1.43589,1.14548,-10.37001,12.14445,41.25447,71.91287
-0.47539,10.8239,1.5743,1.3046,-11.29929,30.32988,40.73184,81.24648
1.49095,9.91553,1.25854,0.95587,-8.42458,49.78306,42.52048,144.87345
1.33271,10.0883,1.79328,1.20121,-8.75559,94.4112,42.38646,75.19769
-0.99576,9.08853,1.00571,0.85,-10.08429,3.07939,40.58769,45.5982
-1.20168,9.40169,1.10852,0.96167,-10.60337,8.49984,40.22809,38.85455
-3.077,9.84429,2.51008,1.55643,-12.92129,-0.97075,37.81789,80.0
-1.86037,10.86168,2.70816,1.72023,-12.72205,9.022,39.5803,80.0
-1.95136,10.34781,2.31358,1.80318,-12.29917,1.26162,39.11195,97.78402
-1.80361,10.6785,2.66452,1.59666,-12.48211,-3.55275,38.8273,127.2028
0.46678,10.40678,1.18583,1.07375,-9.94,37.84155,41.62099,74.98845
1.38272,10.08626,1.8,1.14404,-8.70354,45.65486,43.15572,123.5012
-0.97724,9.75886,1.79338,1.46726,-10.7361,30.35348,39.94062,46.25465
0.87488,10.44596,1.17695,0.97469,-9.57108,60.56357,42.17858,198.84872
0.72507,9.79762,1.12995,1.00783,-9.07255,42.84632,41.83996,121.40446
-2.29429,10.93528,2.55124,1.46488,-13.22956,5.54084,39.25527,80.0
-1.9309,11.24566,2.28057,1.45818,-13.17655,-2.12131,39.10149,80.0
-0.52492,10.39662,1.98518,1.18887,-10.92153,20.34382,40.31529,23.08973
-1.82903,10.54197,2.26384,1.53758,-12.371,-0.45947,39.78524,85.62553
-0.02758,9.8964,1.60308,1.23824,-9.92398,9.58814,41.21784,26.69433
0.38233,8.95392,0.86604,0.85,-8.57159,58.75805,41.02498,25.0
0.08107,10.64732,1.08358,1.11684,-10.56625,20.37628,41.0868,56.57912
-0.36087,10.50467,1.27079,1.10461,-10.86555,8.80995,41.28614,57.20777
0.30587,10.53153,1.35515,0.97404,-10.22566,41.341,41.81279,54.93602
-0.23111,10.39417,1.72522,1.20429,-10.62528,7.94579,40.94315,69.97469
-2.15365,11.57912,2.32552,1.4,-13.73277,-2.48113,38.87839,154.78921
-0.93676,9.93599,1.97574,1.13209,-10.87275,22.72045,40.54228,63.49505
-0.59662,9.81166,1.706,1.18532,-10.40827,7.32819,40.28907,56.41833
-2.33467,9.67289,2.69743,1.64815,-12.00755,-3.06078,39.22791,80.0
-1.42405,10.46656,2.61948,1.70729,-11.89061,4.21051,39.53247,80.0
-0.79467,9.96371,1.17118,1.17494,-10.75838,16.89827,40.23401,39.70507
-0.49321,10.75958,2.27276,1.17499,-11.25279,22.65519,41.05036,83.58639
0.1263,10.7908,1.88975,1.31254,-10.6645,9.78036,41.48474,70.06974
-2.83973,10.60683,2.40544,1.55533,-13.44655,0.0478,38.89472,80.0
-2.80852,11.28947,2.39045,1.4,-14.0,3.18395,38.40411,85.99027
-0.91369,11.683,2.92775,1.62748,-12.59669,-7.80096,40.20588,110.61897
-0.44225,9.44764,1.49919,1.06695,-9.88989,38.77429,40.97336,42.49604
-1.05919,9.24693,1.59211,1.08157,-10.30612,11.38243,40.17947,68.64515
-2.44907,10.62555,2.60201,1.52919,-13.07462,2.17817,39.25898,80.0
0.60568,11.37905,1.21069,1.09804,-10.77337,11.15051,42.09132,100.99154
-2.46809,10.2947,2.49175,1.63994,-12.76279,1.69785,38.44691,80.0
-2.70643,11.24912,2.53359,1.60282,-13.95555,-3.49845,38.3209,80.0
-0.53475,10.41337,1.56501,1.24209,-10.94812,23.52213,40.95092,69.60058
0.10549,10.90578,1.38813,1.01263,-10.80029,12.45584,41.1975,50.27958
1.68682,10.83081,1.24294,0.9269,-9.144,53.17048,42.96422,99.7631
-0.52666,9.61656,2.5,1.45397,-10.14322,12.88366,41.0986,45.37052
-1.20824,9.2501,1.68688,1.03339,-10.45834,23.2861,40.16439,27.47299
-0.36239,10.1911,0.84016,0.87708,-10.55349,10.35205,40.33601,100.20767
-0.90657,9.57425,1.54792,1.19175,-10.48082,29.26329,40.44538,32.04758
0.0,8.5,1.30694,0.91674,-8.41593,50.74701,40.91602,89.85249
0.18435,10.43261,1.52122,1.22204,-10.24826,19.68441,41.19622,65.56759
-0.68915,10.19228,1.48685,1.17985,-10.88142,23.64932,40.63543,58.51966
-1.26566,9.6779,1.61028,1.13574,-10.94356,52.09115,39.95256,71.81597
-0.46535,11.15765,1.5035,1.18997,-11.623,11.54015,40.86318,96.109
0.82144,10.09512,1.27201,0.85,-9.27368,94.57822,42.33139,72.40081
-1.53184,10.41381,2.59162,1.65964,-11.94565,0.65892,39.41652,134.87682
0.69496,9.55981,0.89993,0.90749,-8.86484,26.34684,42.05881,150.17416
1.86532,11.15845,1.30768,1.16441,-9.29313,44.38967,43.00343,150.1993
-0.09776,10.30827,1.14908,1.02469,-10.40603,42.62567,41.27252,42.73655
2.74672,10.82409,0.90283,0.92609,-8.07738,106.78606,43.58564,133.45574
-1.74495,10.73445,2.56494,1.65086,-12.4794,2.45639,39.45579,80.0
-1.82153,10.05995,3.01512,1.78715,-11.88148,1.43659,39.07271,80.0
0.42474,10.7167,1.23193,1.04343,-10.29196,12.35833,41.59412,79.5292
-0.26775,10.08344,1.84779,1.28198,-10.35119,17.75726,40.95084,38.0457
-2.80207,10.80381,3.23991,1.7395,-13.60588,0.82253,38.74145,80.0
-0.97605,9.5,2.57194,1.70351,-10.5,2.40505,40.12853,80.0
0.16152,9.5382,1.32746,1.00691,-9.37667,67.56262,41.85875,110.69743
-0.47758,9.94574,1.53197,1.15517,-10.42333,15.09814,40.66759,74.42057
-1.0002,11.78492,2.86294,1.84931,-12.78512,-2.78735,40.02531,132.61169
0.77239,9.3431,1.0415,0.88518,-8.5707,41.2121,41.6487,124.33941
-0.17524,10.42938,0.85758,0.88469,-10.60463,18.12585,41.09198,56.87549
-1.66293,11.68049,2.76674,1.56523,-13.34342,7.62287,38.68727,97.78789
-0.74749,9.87281,1.53423,1.16221,-10.6203,15.96727,40.72127,106.63485
1.9066,10.40108,1.69779,1.08875,-8.49448,54.8091,43.17868,81.38367
-1.44504,11.17008,2.16104,1.4,-12.61512,-4.87031,40.00988,111.7196
0.99167,9.87218,1.25535,1.09404,-8.88051,73.68379,41.88489,130.47006
1.74159,10.95825,0.93771,0.90962,-9.21666,30.24855,42.91406,130.36348
-2.11547,11.08535,2.80499,1.68961,-13.20082,4.35799,38.79852,85.39137
-1.5309,11.19968,2.6551,1.88695,-12.73058,1.6414,39.60282,139.14429
-1.24968,10.33701,2.53713,1.64917,-11.58669,3.80994,39.65737,80.0
-2.20203,10.07592,2.76286,1.80227,-12.27795,3.00973,38.92462,87.16651
-0.01651,10.8577,2.24251,1.15773,-10.87421,8.544,40.93242,66.67763
-1.06154,9.25976,1.78521,1.25707,-10.3213,2.8453,40.11435,20.0
-1.15223,10.36409,2.72202,1.68568,-11.51632,-3.22043,40.20729,123.81791
-1.28091,10.39263,2.50834,1.49896,-11.67354,2.22684,39.62063,80.0
-0.80028,9.95332,1.38956,0.99601,-10.7536,12.10251,40.68676,73.80295
0.07741,10.63968,1.40974,1.28355,-10.56227,13.80715,41.36052,54.16778
0.44057,10.55052,2.18287,1.27615,-10.10995,25.12813,41.21526,79.84142
0.06094,10.87264,1.80365,1.16244,-10.8117,28.3377,40.8459,68.33138
0.75291,10.01368,1.30225,0.97192,-9.26077,48.36718,41.55251,132.06559
0.39651,11.14773,1.16522,0.85,-10.75122,6.23128,41.70877,80.71965
0.0,9.42077,1.24675,0.85,-9.78883,31.77797,40.64437,83.75208
-0.17051,9.72654,1.77523,1.16868,-9.89704,15.86966,40.74022,33.83619
-1.47044,10.90267,3.09491,1.79805,-12.37311,-0.67374,39.26123,80.0
-1.66634,10.96915,2.65384,1.69746,-12.6355,4.25225,39.4185,80.0
-0.83191,9.28832,1.3253,1.11223,-10.12023,5.58412,39.95582,63.37119
-1.97048,10.35929,2.77792,1.76583,-12.32977,1.90738,38.95672,80.0
-2.25436,11.24697,2.26527,1.55061,-13.50134,4.16416,39.13923,121.71681
-0.72651,10.02539,1.81751,1.43965,-10.7519,9.69661,40.5201,45.41447
1.70467,10.44806,1.13627,0.85,-8.7434,67.84269,42.70111,25.0
0.15318,10.77296,1.46462,1.172,-10.61978,17.12899,41.39996,76.96262
-2.19128,10.43193,2.72889,1.6663,-12.62321,1.09187,38.87273,108.42221
0.01051,10.53989,1.64916,0.99918,-10.52938,23.1989,41.43818,46.73069
-2.47354,11.1023,2.36208,1.57148,-13.57585,5.76566,38.68476,112.10351
-1.24513,10.95078,2.73482,1.57698,-12.19591,6.24255,40.11507,83.37132
-0.44368,9.64925,1.80167,1.2799,-10.09293,8.35237,40.67837,28.68021
-2.24415,10.86698,3.05365,1.764,-13.11112,3.94018,38.45222,101.15798
-0.38975,10.34596,1.63878,1.00985,-10.73572,18.34324,40.61203,67.40795
-0.37027,9.62431,1.42482,0.9086,-9.99458,15.60348,41.24458,72.58589
1.59762,9.63479,1.27546,0.96412,-8.03717,35.69452,42.75524,48.23962
-0.58233,9.58157,1.10472,0.98345,-10.1639,7.42638,40.37866,35.1768
1.97001,10.24273,1.66318,1.1531,-8.27272,49.81587,42.96505,98.39213
0.0,9.62222,0.84153,0.85,-9.64943,27.76065,40.99487,83.3933
1.05764,10.54363,0.88847,1.01458,-9.48599,33.26757,42.23298,97.39877
0.0,9.13555,1.35007,1.07513,-9.49092,41.46708,41.68126,138.23238
0.48574,11.13391,1.48639,1.05946,-10.64817,16.32053,41.55287,53.16567
1.88744,10.7849,1.09973,0.99284,-8.89746,68.49576,42.74378,87.7742
0.61521,9.53382,1.0036,1.06691,-8.91861,88.26488,41.87529,47.69879
-1.40549,10.63433,2.56748,1.52597,-12.03982,0.50767,39.48643,80.0
-0.05877,10.90348,1.325,1.21296,-10.96226,12.00283,41.17854,125.80633
0.43013,9.3466,1.24152,0.8621,-8.91647,48.11767,41.61992,132.20449
-2.11384,9.82243,2.81468,1.70573,-11.93626,4.5651,39.01793,80.0
-0.93608,9.61502,1.60732,1.36425,-10.5511,8.57507,40.51342,81.06767
-2.05947,11.04997,2.49926,1.52419,-13.10944,3.96709,38.56169,111.18346
0.76407,9.17342,1.03364,0.87566,-8.40935,52.70699,42.37998,84.20882
-0.35051,9.99749,1.68562,1.23281,-10.348,29.96296,40.87118,20.0
0.07056,10.84302,1.8097,1.382,-10.77245,14.54394,40.54833,65.18641
0.01499,10.09225,1.81909,1.43316,-10.07726,8.62787,40.71513,45.21327
-1.21568,10.77304,2.5818,1.53438,-11.98872,-0.80226,39.89439,80.0
-1.08108,11.68927,2.43684,1.4775,-12.77035,-0.51002,40.05169,80.0
-0.23631,10.20338,0.8499,1.02041,-10.43968,16.47182,40.91282,54.51141
-0.3713,9.97537,1.60172,0.97961,-10.34668,13.89537,40.72474,67.45978
-1.36435,11.49768,2.423,1.63337,-12.86202,-0.82139,39.56323,146.20172
-0.44479,9.84332,1.62054,1.09924,-10.2881,20.0855,40.52385,20.0
0.3216,10.74751,2.28543,1.23744,-10.4259,9.09719,41.43105,82.90119
-2.23974,10.40645,2.58642,1.57575,-12.64619,1.21814,38.90447,106.18578
-1.73388,11.17841,2.98865,1.83347,-12.91228,0.77842,39.69792,80.0
-2.09239,10.95537,2.43102,1.54826,-13.04776,1.87844,39.05274,85.22872
1.17903,10.06798,0.99087,0.89154,-8.88895,27.75398,42.40872,85.59845
-0.35549,9.99773,1.22963,1.03547,-10.35322,15.5919,40.7215,66.45276
-0.31143,10.33205,1.79225,0.99475,-10.64347,12.65452,41.02821,53.71965
-2.71963,10.80606,2.9106,1.6535,-13.52569,2.49399,38.11049,113.36052
0.60761,9.86712,0.73584,0.85,-9.25951,39.29572,41.93156,105.87854
-1.24299,9.63407,1.74925,1.29021,-10.87706,26.98408,39.95939,72.37018
-1.57128,8.85526,1.22292,0.88444,-10.42654,11.85065,40.24615,83.28431
-2.28769,11.16435,2.46345,1.62275,-13.45204,7.13584,39.36677,121.22646
-1.29208,9.04963,1.16221,1.01887,-10.34171,29.92208,39.9374,45.45274
-0.17577,10.24445,1.43372,1.1194,-10.42022,29.44327,41.28877,48.93682
-2.83977,11.81975,2.88872,1.69106,-14.0,2.92678,38.21164,105.79823
-0.30864,9.9579,2.01222,1.0833,-10.26654,7.38611,41.04156,66.14347
-0.04262,9.93355,1.67171,1.41015,-9.97617,13.23394,40.88394,70.03604
-0.54272,9.95353,2.3255,1.26206,-10.49625,17.89763,40.35544,56.71374
-0.61379,9.04505,1.74689,1.07771,-9.65883,15.06593,40.33636,91.23461
0.0,9.4854,1.0952,0.87308,-9.48553,38.55233,41.17412,93.17273
-0.549,10.06563,1.57809,1.07035,-10.61463,13.91504,41.15895,73.12283
-1.33501,10.84144,2.46143,1.68465,-12.17645,4.75361,39.36144,155.80388
1.71149,9.65471,0.47735,0.85,-7.94322,46.7447,42.7566,121.04628
-0.68894,10.25663,1.37707,1.13285,-10.94557,5.85083,40.49509,53.81259
-2.20811,10.31037,2.40843,1.62661,-12.51847,3.66714,38.22805,80.0
-1.91301,11.06591,2.679,1.60557,-12.97892,-4.5973,38.9157,125.66315
-1.61304,10.59193,2.62227,1.55162,-12.20498,-0.36279,39.16189,94.5898
-0.29589,10.11817,2.02038,1.31059,-10.41407,11.5256,40.64152,64.47889
-1.64867,10.5759,2.6272,1.65562,-12.22457,3.10116,39.0236,80.0
-0.06301,10.00478,1.47021,1.0772,-10.06778,15.30481,40.90557,90.39447
-0.43592,10.27494,1.95796,1.47608,-10.71086,13.32529,41.00615,89.23652
1.19679,10.14872,1.04037,1.08224,-8.95193,154.21376,42.46189,70.59538
-3.0158,11.54526,2.56471,1.66578,-14.0,1.82317,38.43333,121.55854
1.53137,10.76437,1.14336,0.93396,-9.23299,20.53137,42.6755,71.73894
0.31576,9.37803,1.0729,1.11516,-9.06227,20.43347,41.29701,85.34989
0.38423,9.43642,0.99813,0.90476,-9.05219,54.48708,41.83319,145.48973
0.39442,10.80385,1.4447,1.00872,-10.40943,28.99851,41.3382,79.39925
1.58428,10.39013,0.69567,0.85,-8.80585,45.18933,43.19164,100.40573
-0.52907,9.77291,1.7687,1.14323,-10.30198,11.36731,40.36724,53.83345
