battery_voltage_v,solar_panel_current_a,cpu_temp_c,reaction_wheel_rpm,attitude_error_roll_deg,attitude_error_pitch_deg,attitude_error_yaw_deg,link_quality_db,power_consumption_w,eclipse_flag,operational_state
28.2331,0.15905,53.04644,359.82057,0.04845,0.00838,0.02041,-2.67094,159.3593,1.0,1
30.10447,0.04238,54.94609,310.89144,-0.04698,-0.04035,-0.01651,-2.70395,139.26428,1.0,1
29.35428,8.03415,37.39918,-2197.7716,0.32827,0.23949,0.18877,-8.30186,133.25129,0.0,0
30.33284,4.38187,24.60939,-931.16369,0.00133,0.00963,-0.00187,0.08643,97.80938,0.0,0
28.45607,0.49317,19.93742,781.9567,-0.01421,-0.0234,0.00313,-3.61933,102.01191,1.0,3
29.36095,7.64077,52.74166,724.20781,-0.01914,-0.01516,-0.012,-1.4182,134.33864,0.0,1
29.91627,6.75558,33.37209,157.25627,0.02924,0.02034,0.00902,0.5884,124.57718,0.0,0
28.01114,0.06186,22.60698,1874.32019,-0.01269,-0.01996,0.00262,0.21782,99.3847,1.0,0
28.68612,0.05289,35.98662,452.97242,-0.00797,0.01314,0.00484,-1.75677,105.22778,1.0,0
30.60524,9.12796,20.8947,110.96503,-0.01374,0.01742,0.0088,-1.16747,97.88608,0.0,0
29.54179,9.78978,17.29124,525.96513,0.03632,0.02536,0.00432,-0.59013,75.0,0.0,0
30.94519,8.28572,21.94795,1494.35162,0.00417,-0.00367,0.01115,-1.73896,86.31837,0.0,0
27.15461,3.92883,12.57396,785.40734,-0.02195,-0.03625,-0.02329,-2.86853,58.38296,0.0,2
28.40632,0.05952,24.57167,-763.43777,0.01281,0.03896,0.02128,-1.19397,105.46533,1.0,3
26.09705,3.46838,12.96107,813.68427,0.04974,0.03946,0.0513,-3.3636,54.2845,0.0,0
30.65972,6.88892,23.05544,880.55954,0.00903,0.02638,-0.01514,-0.56339,99.2358,0.0,1
26.18776,0.1261,12.12609,472.60789,0.00529,0.00634,-0.02214,-3.56793,65.2541,1.0,0
28.37544,4.77219,10.0,953.37142,0.00255,-0.01561,-0.0125,-4.11878,77.55872,0.0,2
27.09214,0.09084,14.40242,-783.44549,-0.02236,-0.03816,-0.04572,-1.76869,70.88427,1.0,2
27.84995,4.94289,10.0,513.28774,0.02321,0.0161,0.01627,-0.70237,48.0,0.0,2
28.64901,0.22183,59.35518,902.78029,0.0085,0.00647,-0.00144,-3.21518,156.78731,1.0,1
28.53177,0.23232,29.99013,-78.46219,0.00923,0.01192,0.01456,0.61804,114.58655,1.0,0
30.29878,0.04848,24.89386,763.87338,-0.0032,-0.01822,-0.00197,-0.35298,97.31364,1.0,0
27.82655,0.02152,15.44878,1095.19197,0.01514,0.05151,-0.00121,-0.88014,68.51207,1.0,2
27.74537,0.13334,24.65503,-787.85331,0.01204,-0.01264,0.02347,-1.28341,104.58508,1.0,0
30.36789,6.84577,21.83259,-172.62674,0.00062,-0.0005,-0.0078,-0.9157,107.80279,0.0,0
28.54129,0.09128,21.81616,98.88342,0.00133,0.00482,0.00906,-2.25728,87.20956,1.0,0
29.20559,0.4836,25.83106,1015.37135,0.00776,-0.00295,-0.00694,-2.35367,109.54076,1.0,0
29.94633,8.19786,24.88115,3755.65948,0.03333,-0.14959,-0.23005,-4.91706,114.70218,0.0,3
29.50267,9.54064,52.0,176.74657,-0.01353,-0.01424,-0.02173,-3.73491,127.71207,0.0,1
28.37012,0.02645,31.75528,610.94794,0.00575,-0.01092,-0.02054,-0.44642,100.87251,1.0,0
30.3254,6.98061,23.34521,-387.81366,0.00103,0.01491,0.00485,-0.93828,85.37436,0.0,0
30.28887,7.12522,19.36693,94.67874,-0.0086,-0.03541,-0.03015,-2.34383,89.13296,0.0,0
31.09411,8.32915,22.06301,1993.76664,-0.02355,-0.00294,0.00111,-1.30019,84.78559,0.0,0
28.41977,0.15811,28.42894,1023.59493,0.03068,0.02394,-0.00077,-2.7213,106.30268,1.0,0
26.95776,0.16127,10.0,789.10383,-0.01352,0.0232,0.01645,-3.86053,52.79586,1.0,2
29.98917,0.44125,30.45018,443.77184,0.01673,0.02516,0.0071,-1.01245,109.84295,1.0,0
27.88553,0.07545,52.0,583.838,0.00994,-0.02527,-0.00853,-0.68743,117.33491,1.0,1
31.37753,9.00478,18.71383,502.03026,0.00528,0.00117,-0.00964,-2.07804,88.71741,0.0,0
30.58628,10.36613,24.97238,205.55446,0.00877,-0.01198,0.01096,-0.93708,85.04928,0.0,0
28.63427,0.0758,24.27101,962.7118,-0.01873,0.00923,-0.01483,-3.4516,97.05316,1.0,0
28.56731,0.15695,23.45464,-933.74727,-0.00167,0.00537,0.0137,-0.76728,100.97089,1.0,0
30.68817,10.69982,52.0,446.33031,0.0592,0.03993,-0.00429,-1.61903,137.31992,0.0,1
27.81372,0.21483,22.15472,1425.05732,-0.02203,0.00509,0.01193,-2.90517,91.6128,1.0,0
30.3593,7.83191,24.41591,988.9643,0.00123,0.00086,0.0364,-0.06683,95.51248,0.0,0
30.13086,8.25061,19.78224,705.58992,-0.00529,-0.0039,-0.00434,0.53779,100.17658,0.0,0
30.63402,6.42913,16.77947,239.0703,-0.02142,-0.01756,-0.01738,-2.97201,88.31299,0.0,0
29.36103,0.06906,34.16228,-145.49318,0.00381,-0.00284,0.00043,-3.49891,103.95025,1.0,0
29.62066,9.35844,18.0,3133.93543,0.24186,-0.19173,-0.05589,-8.17571,101.66364,0.0,3
29.50375,7.77877,35.94747,306.81997,0.02338,-0.00164,-0.00745,-1.32033,97.32684,0.0,0
31.05993,7.26661,28.40286,-3176.54902,0.06823,0.0944,0.13085,-6.65093,111.38312,0.0,0
24.63799,0.461,13.89635,192.10184,-0.0101,-0.02376,-0.01384,-1.80127,61.09729,1.0,2
31.24346,6.97552,25.25182,310.49322,-0.02324,-0.00433,0.01737,-1.31895,103.05595,0.0,0
27.31247,0.02494,27.72612,245.77885,-0.01281,-0.00664,-0.00725,-1.18791,91.07483,1.0,0
27.64517,4.92698,10.0,1574.12391,0.06182,-0.00437,-0.01071,-4.74827,81.99013,0.0,2
27.0568,0.04135,24.30199,79.20373,-0.00899,-0.00719,0.00764,1.2394,104.65574,1.0,0
29.5881,0.06926,28.51817,1286.70483,-0.0432,-0.02615,-0.01093,-2.64613,94.98698,1.0,0
29.47312,8.44373,23.18496,1109.62538,-0.00575,-0.01306,0.01576,-0.45843,97.35456,0.0,0
27.70136,0.14137,24.98974,1067.71965,-0.00131,0.00074,-0.02486,-1.6473,89.41197,1.0,0
28.51192,0.23627,15.59339,538.01217,-0.0359,-0.03087,-0.02016,-2.1572,82.87504,1.0,1
31.39706,7.20886,17.9667,795.66448,-0.00712,0.00227,-0.02441,-3.47262,94.85409,0.0,0
27.88426,2.61086,18.16945,584.78432,-0.01026,-0.02751,-0.01178,-0.50205,57.40242,0.0,2
29.48323,8.64782,16.89961,1143.30981,0.01048,0.00269,-0.00349,-2.14898,80.70742,0.0,0
30.48215,7.77147,52.0,-63.04068,-0.02792,0.00132,0.00816,-1.1111,110.97082,0.0,1
30.01779,4.47758,20.94992,880.41488,0.01498,0.04531,0.02197,-2.60236,101.99552,0.0,0
30.84152,7.71795,25.95517,913.01968,0.00481,-0.00887,-0.0267,-1.82227,94.18649,0.0,0
30.94688,6.63241,64.38424,589.51119,0.00258,0.0515,0.01798,-0.30894,157.63117,0.0,1
28.69247,5.52013,18.54756,990.1382,0.01623,-0.04415,-0.05198,-4.36316,80.31166,0.0,2
31.37833,9.61908,22.44845,-211.67109,-0.026,-0.02061,-0.01021,-3.13119,92.42749,0.0,0
27.7138,5.28072,17.64496,-45.27966,-0.0111,-0.02191,0.00064,-0.3813,76.2258,0.0,2
30.15854,4.91139,27.28181,-2695.1274,-0.12241,-0.11508,0.07148,-4.58923,98.59946,0.0,3
31.16835,4.5902,29.06432,723.40877,0.01256,-0.01205,0.02058,-2.44391,88.35579,0.0,0
28.91146,0.36539,26.94405,-599.28117,0.00067,-0.01133,-0.00593,-1.23779,100.19883,1.0,0
26.10388,0.08129,10.0,769.06832,-0.02587,0.02302,0.03078,-4.48464,48.0,1.0,2
29.5588,7.84223,22.84606,323.64457,0.01375,0.03688,-0.00512,-1.44578,108.91493,0.0,0
29.77673,4.92841,26.9577,855.56235,0.00078,-0.00831,-0.01521,0.23058,93.22359,0.0,0
29.27966,6.70002,18.70552,694.77374,0.0047,0.00861,0.00471,-4.88333,88.80141,0.0,0
29.4637,5.40103,52.0,839.19646,0.02933,0.0116,-0.00811,-3.34041,144.4748,0.0,1
28.83816,0.12889,18.15853,134.6136,-0.01341,-0.04662,0.01515,-1.22396,95.80776,1.0,0
28.2273,0.05478,22.05556,1350.98624,0.00674,0.01972,-0.00349,-1.70921,95.82301,1.0,0
25.87118,0.23241,14.38881,47.61828,-0.04135,-0.04193,0.00992,-2.80229,56.13091,1.0,2
30.32606,8.06448,21.6258,315.52798,-0.01449,-0.01874,-0.0162,-2.42683,89.16081,0.0,2
30.10743,4.52718,30.33817,241.36746,0.01264,-0.00198,-0.00818,-3.1926,98.19899,0.0,0
29.64528,6.01385,15.0,1838.76012,-0.01756,0.01019,-0.02413,-3.40234,83.62025,0.0,0
28.43698,0.06874,15.0,1018.58294,-0.0018,0.00242,0.01864,-1.32076,86.79803,1.0,0
29.9892,8.92352,24.35227,685.83537,0.01935,-0.01258,-0.02051,-1.13156,101.69365,0.0,0
24.96885,0.71569,19.68853,744.77964,-0.01668,0.01089,-0.00567,-4.63777,78.71167,1.0,2
26.75601,0.07817,52.0,-297.67062,0.00184,0.00113,-0.00262,-2.13163,148.56112,1.0,1
29.15245,6.61418,15.0,839.8365,-0.02644,-0.01532,0.02711,-0.66058,89.57083,0.0,3
30.33343,5.43781,23.62905,497.5804,-0.00593,-0.03439,-0.03755,-4.24157,97.94421,0.0,0
30.83177,4.56567,52.0,888.80524,-0.00287,0.01282,0.02747,-1.0262,115.26565,0.0,1
28.50413,7.96571,52.0,67.9005,-0.00122,0.0092,0.0252,-0.37447,134.7149,0.0,1
30.34896,9.05644,22.83319,-335.81508,0.01712,0.01726,0.01367,-0.62647,88.82213,0.0,0
30.28074,6.68528,20.70418,1086.71568,0.00399,0.00275,0.0249,-4.16563,80.25513,0.0,0
30.17342,5.75122,52.0,-147.62923,0.02142,-0.04754,-0.02521,-2.68859,127.60271,0.0,1
29.41324,0.04271,22.74761,3066.46653,0.12964,0.04359,0.01193,-2.4522,113.78769,1.0,3
30.78839,7.82011,57.67768,-678.63663,-0.01037,-0.03487,0.0238,-2.1156,157.19398,0.0,1
30.11266,7.81372,30.91745,-720.52116,-0.00203,0.00445,-0.00998,-1.41603,93.04453,0.0,0
27.72125,0.10536,52.0,740.40919,0.01812,0.00762,-0.00851,-3.13147,133.41776,1.0,1
27.56522,0.17573,24.47374,404.04276,-0.01298,-0.00445,0.01338,-2.78837,91.09375,1.0,0
30.82097,7.3169,28.59831,-575.31305,0.01595,-0.00331,-0.01041,-0.85,101.29805,0.0,0
31.04478,8.96313,57.62783,162.27564,-0.00615,-0.05897,-0.02991,-5.36998,152.67662,0.0,1
31.44466,10.57989,52.0,-84.37515,0.02111,0.02813,0.03705,-0.23335,134.2686,0.0,1
30.40197,7.16133,19.99898,542.26368,-0.00866,-0.00472,-0.00859,-0.38806,79.02569,0.0,2
27.82203,4.24471,15.99676,1675.885,0.03667,0.0227,0.03633,-0.25987,70.93289,0.0,2
30.41562,7.35847,28.22765,317.67016,0.00682,-0.03019,-0.02221,-0.53258,110.88127,0.0,0
30.74234,5.12978,24.79736,172.05868,-0.03418,-0.00122,-0.03034,-2.70994,98.64627,0.0,0
30.16087,5.14673,22.15443,1143.77316,0.00308,-0.00226,0.00821,-2.02531,95.82395,0.0,0
31.38533,2.44367,52.0,13.62823,-0.023,-0.02286,-0.01253,-2.39997,128.38331,0.0,1
29.84919,6.22406,27.7288,227.87473,0.01791,0.00334,-0.0127,-2.06203,109.27519,0.0,0
30.48684,6.82313,20.30661,-119.48301,0.00968,0.0282,0.01924,-2.75127,92.27975,0.0,0
29.52865,5.6143,29.0469,822.67193,-0.00755,-0.01813,0.00083,-2.62908,102.38645,0.0,0
30.6786,8.0509,24.32618,1341.72983,-0.01087,0.00015,0.02629,-2.58992,100.25925,0.0,0
27.93586,0.17476,52.0,-395.10012,0.01209,-0.0007,0.00329,-0.62772,133.72073,1.0,1
28.85871,0.00992,21.95017,192.14732,0.00594,-0.02785,-0.02287,-1.92272,109.04815,1.0,0
29.78597,9.73004,25.65056,1400.63479,0.00641,-0.02164,-0.01385,-1.5239,105.17178,0.0,0
26.81809,0.85159,10.40935,-861.29516,-0.02627,-0.01049,0.02168,-1.92683,79.56455,1.0,2
30.93292,5.08596,27.88838,312.20085,-0.0098,-0.00347,-0.0064,-0.79839,104.82266,0.0,0
30.52286,3.75722,52.0,77.66192,0.02346,-0.03778,0.00159,-3.64773,127.49267,0.0,1
26.98426,3.44386,12.51861,1728.2555,-0.02504,0.0173,0.01593,-3.71891,57.542,0.0,0
27.06245,0.41056,18.52433,1410.72325,-0.05747,0.01752,0.01116,-1.91832,79.22587,1.0,2
30.45002,5.32218,18.0,-4403.44018,0.17991,0.05381,0.03315,-6.72402,85.0,0.0,0
28.07879,4.1556,52.0,337.52054,0.00125,0.01412,-1e-05,-1.76865,110.0,0.0,1
30.00185,8.88633,25.20772,479.06157,0.00394,-0.00541,-0.01806,-0.45504,92.49089,0.0,0
30.79079,9.16552,32.32355,-410.61519,-0.0084,-0.01006,0.00567,-2.72335,113.34516,0.0,0
30.16523,6.03861,53.22821,666.12221,0.0213,0.01918,0.03344,-0.36433,144.54027,0.0,1
26.69479,4.22832,10.0,976.50234,0.04914,0.04367,0.01683,-1.13144,58.0897,0.0,0
27.64193,0.11928,29.46794,778.8253,0.01055,0.01802,0.02659,-0.92806,100.37966,1.0,0
32.42721,6.46038,52.0,-45.03787,-0.00425,0.00795,0.01238,-2.21781,138.80179,0.0,1
25.73147,0.43706,17.70646,-465.703,0.06223,0.05649,0.02591,-2.74207,76.87498,1.0,2
27.98742,4.94298,14.75732,-494.72622,-0.00066,-0.02227,0.02677,-1.34778,64.5696,0.0,2
26.12167,0.44308,15.38885,559.99398,0.02717,0.01162,0.03314,-5.69552,77.27069,1.0,2
29.59718,0.11187,22.17066,-49.77476,-0.00787,0.0004,-0.01511,-2.18391,85.03366,1.0,0
29.53559,7.46895,53.79788,-416.61405,-0.02235,0.03418,0.02992,-4.26592,132.10559,0.0,1
28.61296,0.07479,24.31529,1169.16971,0.0179,0.0183,0.02256,-2.03725,101.55653,1.0,0
32.49671,6.30161,52.0,1187.19673,0.02277,0.03148,-0.00114,-1.90595,119.19127,0.0,1
30.13297,9.279,27.16436,1485.30899,0.00667,0.01991,0.01043,-3.41269,114.02906,0.0,0
31.19132,8.05511,16.25172,241.02475,0.00997,0.02038,-0.00345,-3.27889,90.65191,0.0,0
29.40316,0.23405,24.45101,508.88107,0.03383,0.04301,-0.01619,-2.71166,95.47892,1.0,0
28.79546,0.25774,52.0,210.51418,0.00211,0.0318,0.00656,-0.26036,140.93552,1.0,1
29.2006,0.34978,26.88386,-200.58065,-0.00202,0.01062,-0.00643,0.53481,88.62853,1.0,0
31.75572,7.21431,23.82181,1169.74181,-0.00672,-0.02648,0.00148,-2.05022,109.56635,0.0,0
28.61551,8.65648,52.0,615.37007,0.02945,0.02388,0.04172,-0.63278,112.38782,0.0,1
30.24348,3.50135,18.0,-2570.66863,0.02386,-0.00844,-0.00075,-3.83169,88.61118,0.0,3
30.83795,8.47579,31.65666,1857.00928,0.00692,-0.0082,0.00199,-2.13052,94.0592,0.0,0
32.28498,7.27563,20.42129,949.50417,-0.00287,0.02053,0.00443,-2.20262,101.46848,0.0,0
30.02655,3.68229,52.0,373.08014,0.00163,0.00949,-0.02257,-2.73068,126.44939,0.0,1
26.37643,0.19413,56.19794,659.34551,-0.01498,0.01106,-0.00061,-2.78724,154.95338,1.0,1
27.21446,0.08865,52.0,-568.44284,0.01167,0.0187,0.00519,-2.04965,135.07502,1.0,1
30.2165,8.20211,30.76309,939.29608,0.02021,0.00811,-0.00282,-1.90535,101.10166,0.0,0
29.04713,0.10074,20.7622,760.68097,-0.02137,0.00216,0.013,-1.13155,89.32593,1.0,0
28.89992,6.67515,52.0,-366.98642,0.05915,-0.02858,-0.01221,-1.50593,119.45906,0.0,1
31.69007,6.51668,30.48203,2383.19344,-0.13053,-0.1932,-0.14049,-6.02166,108.71276,0.0,3
25.65985,0.69499,17.76477,747.12786,-0.01546,0.00826,0.03849,-3.1094,92.95194,1.0,2
30.98947,7.59129,23.79529,458.8722,0.01098,0.00297,-0.00275,-1.60911,96.39215,0.0,3
27.00825,4.55688,17.80829,838.23982,-0.00381,0.00496,-0.00773,-3.33569,78.01104,0.0,2
30.19331,5.39033,52.0,769.26882,0.00161,-0.02001,0.0115,-0.30531,151.98171,0.0,1
30.10263,7.34136,27.04107,182.82227,0.03114,0.01558,0.00308,-0.14315,113.31449,0.0,0
27.79193,0.01717,32.33574,370.44089,0.00177,0.0003,-0.00381,-2.82799,102.74185,1.0,0
28.26647,7.52064,52.0,-90.98698,0.02863,0.01117,0.01682,-1.25853,121.97438,0.0,1
26.12722,0.23319,19.46749,332.73609,0.01322,0.02379,0.04451,-0.8354,72.99328,1.0,2
29.28621,9.28671,19.12443,-722.22879,-0.00352,0.00022,-0.00337,-3.4572,84.97846,0.0,0
25.41572,0.24787,12.04546,244.21717,0.03571,0.00343,0.01758,-3.32176,67.92086,1.0,2
30.66614,7.14473,52.0,606.17123,0.00652,0.01663,-0.02907,-0.01206,123.3088,0.0,1
27.98337,3.91356,17.63064,1304.50954,0.01909,0.00397,-0.00443,-0.89601,57.58956,0.0,2
30.19204,7.88876,23.39497,-2069.05299,0.21108,-0.10508,-0.14729,-7.52126,114.74969,0.0,3
28.0217,2.27129,24.53175,-92.15217,0.01228,0.00353,0.0289,-3.93033,82.94515,0.0,2
28.03674,2.79752,12.56768,-506.00311,-0.01221,0.01621,0.01751,-2.6802,60.38688,0.0,2
31.62756,7.1237,22.65349,634.96961,0.0108,-0.01126,-0.00587,-1.65798,104.8942,0.0,0
28.86194,5.44966,24.28689,1973.4432,-0.03862,0.02489,0.01195,-2.05508,92.91394,0.0,2
30.68421,5.85388,20.19136,635.0855,0.00446,-0.02558,-0.00762,-1.01366,99.26061,0.0,0
30.10164,7.9456,16.80964,425.08669,-0.02308,-0.00961,0.00196,-1.94721,89.13052,0.0,0
31.20835,6.89921,27.09046,773.74718,-0.00215,-0.01827,0.00537,-2.4469,107.96804,0.0,0
31.00431,3.61636,30.03261,-2301.90878,-0.06131,0.04386,0.17837,-3.10962,106.67801,0.0,3
29.30514,5.96771,64.08972,1551.11143,0.02016,0.00812,0.00183,-3.50329,165.0,0.0,1
30.61012,7.15413,52.0,867.66888,0.01411,0.04027,-0.00664,-1.25822,136.66706,0.0,1
30.79334,10.43572,21.66156,593.52265,-0.00902,0.00137,0.00968,-1.96774,91.68282,0.0,0
27.95902,4.67643,10.0,1028.47339,-0.02423,-0.02224,0.02345,-4.50836,61.60963,0.0,2
27.70429,4.68368,18.74004,-855.6202,-0.03465,-0.01792,-0.02806,-3.7024,72.68793,0.0,2
29.5361,3.7889,55.75899,337.66701,0.01858,0.02554,0.02215,-3.00743,137.08158,0.0,1
32.0872,7.71573,24.27817,435.6525,-0.00654,-0.00101,-0.00294,-2.66224,90.48578,0.0,0
32.13047,6.54312,27.31837,644.38204,-0.01299,0.0341,0.00051,-3.05512,102.76107,0.0,0
31.24031,4.01196,24.21169,236.33471,0.0036,0.00311,0.01187,-0.41629,114.68195,0.0,0
30.98089,11.45285,33.01557,245.3465,0.00421,-0.00213,0.00849,-2.19236,115.41614,0.0,0
30.07711,7.08981,21.64662,1429.66728,0.01694,-0.00701,0.00305,0.90453,87.65415,0.0,0
30.73926,8.7669,15.0,1287.01794,0.00701,0.00675,-0.00455,-0.81729,80.83597,0.0,0
31.28951,8.61931,20.33025,563.71838,-0.01617,-0.00952,0.00408,-0.72398,106.55887,0.0,0
30.41959,11.19297,25.71155,1114.23368,0.03341,0.00721,0.00948,-2.35959,82.40317,0.0,0
28.71766,8.05859,25.53971,1279.30704,-0.00011,0.00366,0.00178,-1.3751,111.81523,0.0,0
27.96278,0.05427,15.0,-33.33104,-0.00202,0.01288,-0.02301,0.13063,87.04326,1.0,0
29.44732,6.64029,55.57194,1182.37604,-0.00623,0.02353,0.01414,-3.38559,147.79056,0.0,1
25.95216,0.62747,10.0,1428.24531,-0.01311,-0.0395,-0.02427,-3.37885,58.33886,1.0,2
28.98663,8.3482,22.43178,3794.68942,-0.13579,-0.37768,-0.2789,-5.71476,111.90974,0.0,3
30.99644,7.25891,21.79135,393.14336,0.01526,0.01997,0.0166,-2.4134,111.12644,0.0,0
29.77734,0.23794,18.72909,-506.05792,-0.00674,0.00391,-0.0096,-2.0654,94.36591,1.0,0
28.49925,0.10682,26.93506,738.12136,0.02422,0.0332,-0.00834,-2.22293,99.66562,1.0,0
30.64759,7.21178,32.96499,457.91866,0.02098,-0.0125,-0.01096,-1.36844,110.7021,0.0,0
28.89161,0.0425,56.69818,1548.11463,0.03212,-0.01104,-0.00548,0.23048,141.56706,1.0,1
28.12832,0.17222,24.73084,1355.26955,-0.01479,-0.03485,-0.02557,-1.72837,105.30609,1.0,0
30.97439,8.19585,28.09569,712.34493,0.01691,0.00505,-0.0116,-0.96763,121.72303,0.0,0
30.23294,9.13207,27.49601,930.91795,-0.00649,-0.02299,-0.0168,-3.07227,97.34101,0.0,0
30.34208,11.34718,25.21894,613.83625,0.00557,0.02203,0.03022,-0.58221,95.96556,0.0,3
28.35831,0.34714,34.36054,130.5389,0.01337,0.02679,0.01922,0.56113,122.09252,1.0,0
30.36012,6.31554,27.32453,1212.65799,-0.00874,0.00813,0.04334,-0.15781,114.85338,0.0,0
29.15323,10.35169,52.0,-746.20598,-0.00253,-0.03809,-0.0281,-2.67982,145.90597,0.0,1
27.95297,4.19888,12.31515,-178.9222,0.02181,-0.01138,0.02569,-4.82198,83.29855,0.0,2
28.4043,0.41162,27.04759,1006.09863,-0.00528,-0.00303,0.00387,-1.19833,99.53001,1.0,0
27.81932,0.00583,21.49422,-230.10402,0.01127,0.01382,-0.00743,-0.71889,96.50269,1.0,0
28.16545,4.52011,11.57096,-111.22358,-0.0221,0.00023,-0.04136,-4.40699,74.06131,0.0,2
27.92191,0.14429,15.0,831.93021,-0.00332,-0.01333,0.00285,-3.68133,81.1224,1.0,0
28.14717,0.07895,30.07832,1182.32433,0.02444,0.00211,0.01187,-3.79075,102.94484,1.0,0
31.46448,8.42861,30.7329,-851.6593,0.00229,-0.00268,-0.02275,-3.28587,112.42551,0.0,0
29.32961,5.07561,23.21065,3965.94952,-0.32311,-0.0316,0.20169,-8.43545,109.25989,0.0,3
28.78595,0.24038,22.72229,446.08286,-0.00488,0.00661,-0.01139,-1.21015,91.63043,1.0,3
26.82195,0.11584,52.0,580.06465,-0.02792,-0.01552,-0.02312,-0.27313,127.08853,1.0,1
30.68795,10.98419,20.23722,808.29539,-0.01735,0.00399,-0.01391,-2.38134,98.20204,0.0,0
27.43685,2.81043,13.81042,247.30032,0.02885,0.02688,0.01604,-2.37761,69.45336,0.0,2
27.2789,5.63409,20.75961,-730.27675,-0.01132,-0.03967,0.0073,-4.4897,73.72008,0.0,2
27.30102,0.05004,52.0,-403.82626,0.01324,-0.01658,-0.01011,-3.3865,132.06128,1.0,1
30.05567,6.3736,26.28056,347.42043,-0.01408,-0.03922,-0.02078,-4.68931,120.08609,0.0,0
29.43444,6.29427,25.15416,293.80723,0.00241,-0.0082,0.01664,-1.79662,98.95724,0.0,0
27.86436,0.2215,25.197,1224.02628,0.00957,-0.01059,-0.00332,-1.80066,89.86532,1.0,0
29.15574,0.14116,25.27643,505.75974,-0.02886,-0.02884,-0.02827,-2.22209,97.99022,1.0,0
30.1996,5.89115,27.83058,1033.52682,0.03163,0.02567,0.01373,-3.33803,98.62792,0.0,0
27.51197,3.92213,13.8545,128.66778,0.01117,0.00752,0.00996,-1.65134,58.73171,0.0,2
29.05479,0.06934,52.0,1474.45978,0.01666,0.00992,0.02849,-1.39022,134.38839,1.0,1
28.66043,8.52022,27.55581,1681.52968,0.00512,-0.00505,-0.00269,-1.0128,97.44127,0.0,0
29.45552,0.24377,18.52633,1003.41826,-0.00624,-0.01561,-0.00503,-0.95185,106.93318,1.0,0
28.27931,0.06885,24.78727,49.75412,0.00705,0.02913,0.01456,-1.86309,95.13487,1.0,0
31.42011,5.17543,52.0,620.71814,-0.01519,-0.00792,-0.0094,-2.93521,130.78903,0.0,1
30.06303,7.55495,52.0,407.58381,-0.04184,0.00246,-0.00717,-0.30469,136.74289,0.0,1
29.46046,0.11415,27.58762,1089.01274,-0.01002,-0.01197,0.02079,-1.00336,109.27766,1.0,0
29.04368,0.31764,25.53862,-2203.45891,-0.03432,-0.2349,-0.2643,-3.45821,111.89107,1.0,3
29.97773,0.30081,23.80717,39.70398,0.02073,-0.00183,0.00733,-1.69417,83.14109,1.0,0
30.80333,8.18175,26.98868,90.02912,0.00649,-0.01199,-0.01017,-1.52657,77.42532,0.0,0
29.13718,0.16531,29.04076,1.61381,-0.01396,0.00715,-0.00222,-2.02871,102.90889,1.0,0
29.85789,5.87183,21.41517,921.5371,-0.00463,-0.00227,0.01224,0.14981,102.10796,0.0,0
30.17642,4.37329,26.75119,38.4175,0.01913,0.03122,0.00354,-0.64432,98.21709,0.0,0
29.65492,7.72387,25.29814,553.19667,-0.00174,0.0307,-0.01227,-0.79227,105.66044,0.0,0
29.0054,0.15977,23.50215,2325.95077,-0.01102,-0.01672,-0.03091,-0.9288,104.15757,1.0,0
