log_xray_flux,halpha_intensity,magnetic_bmax,sunspot_area,prominence_height,radio_burst_sfu,uv_emission_index,temp_proxy_mk,solar_wind_speed,spectral_ratio_1,spectral_ratio_2,spectral_ratio_3,activity_class
-8.09173,1.6845,655.6412,124.21137,65.09763,40.30941,-7.29652,9.0484,403.52409,1.97785,0.59756,1.29128,1
-4.89929,7.2304,343.25154,451.65933,55.50952,72.8614,-5.53311,5.68042,625.49919,1.96625,3.02395,1.58161,2
-5.49579,4.44897,165.01018,116.00366,55.22277,25.9424,-5.73479,6.23505,554.34023,0.74688,0.39148,-0.20963,1
-4.33682,7.52381,601.76743,1324.9473,38.89791,52.46544,-2.89123,6.13615,466.07375,1.50109,2.62196,-0.64951,2
-6.89126,0.40318,9.06393,35.69021,25.13921,2.64001,-4.88886,7.30714,331.62087,-0.28993,0.18654,1.56448,0
-8.4195,1.18857,80.99567,26.12501,9.63789,4.5428,-9.76491,3.52695,403.73119,0.26594,0.05891,2.90195,0
-6.75509,1.52798,413.45542,589.31623,11.97404,23.51979,-7.32816,7.74443,473.07434,1.48103,-0.34241,-1.13862,1
-7.79647,1.14187,56.36212,12.45931,19.56047,2.78644,-7.67373,6.80367,322.58844,-0.54712,-0.30264,0.05,0
-8.02474,1.48444,47.87618,5.88983,25.35502,2.71916,-5.56971,6.07126,360.76959,0.98319,1.5097,-0.46844,0
-4.42362,2.71681,1036.38884,1433.72976,42.91497,100.33963,-4.03721,7.05139,626.92178,1.66577,1.37664,0.18785,2
-4.97994,2.20563,526.16383,339.76245,67.2138,78.98247,-4.9254,9.81614,458.04691,3.29961,2.81738,-0.89432,1
-6.6483,2.10115,209.26783,151.85783,51.30037,20.15973,-5.93321,7.56948,331.86783,2.37257,0.15064,1.42505,1
-6.21945,5.73637,421.39501,185.77896,36.72192,28.90452,-4.9621,8.64085,446.21834,0.6088,0.55887,-1.26267,1
-3.32748,6.18487,642.51817,893.36174,102.69711,66.69644,-2.14721,10.65774,673.14315,2.92761,-0.87447,-1.68528,2
-5.60915,0.80579,333.7581,278.53106,70.86647,14.57282,-2.91362,8.29562,430.6104,1.75083,-0.82809,-0.83675,1
-4.19358,9.58809,581.96664,371.50681,95.42167,364.38217,-2.12609,9.15845,607.07632,1.17336,2.68924,0.92974,2
-7.68819,0.82123,109.55557,23.34439,14.76679,2.10847,-4.65978,3.96986,307.98251,-1.6748,-1.958,0.91832,0
-8.06803,0.90392,36.49122,32.20113,24.1065,4.20985,-5.46386,5.32564,494.57281,1.42364,-1.00433,-1.28222,0
-6.64568,1.72578,501.90544,189.71137,50.80763,43.32556,-6.36208,7.22319,480.8347,0.59214,-0.68801,-1.17695,1
-4.04447,12.49004,752.56398,894.69509,53.46453,94.78553,-2.88785,9.71274,652.0921,1.36693,0.04229,-2.37184,2
-7.42604,1.06029,27.28057,49.31288,21.13396,3.12046,-5.98403,4.18866,384.75902,1.01865,1.12472,-0.40696,0
-6.34228,2.11522,554.13556,149.37227,77.78272,10.63247,-5.95116,9.6528,525.12611,1.16833,1.54244,-0.25473,2
-5.07819,3.62016,577.93101,108.66442,28.89453,24.20779,-5.37649,8.77351,320.0,2.29131,2.23237,0.12636,1
-5.86068,2.79189,521.55284,529.89543,24.02464,16.39712,-5.18829,8.4348,504.83053,2.26213,1.22796,-0.13872,1
-6.35171,0.99344,674.65013,498.73354,34.08407,8.20541,-5.95072,4.41605,445.74336,2.92264,0.01075,0.1527,1
-5.44306,6.57611,2098.92848,1069.09231,119.54733,57.93399,-4.60777,9.94981,380.0,2.01452,1.15699,-3.26226,2
-6.40671,3.51577,358.46145,113.06737,49.79234,17.52895,-4.33122,5.46991,522.93576,3.06323,0.36172,1.90055,0
-7.74872,0.88412,29.4236,42.57845,17.67944,3.12096,-4.00559,3.77894,394.20302,1.46323,0.64872,1.22605,0
-5.85954,2.46464,1047.63823,237.49461,35.97873,12.92747,-3.72378,8.64691,458.16088,0.87717,-0.51839,-1.66855,1
-6.75532,0.98275,266.00533,545.5117,42.03702,8.34081,-5.74047,6.3137,502.71083,-0.03195,0.09407,-0.15115,1
-5.9895,3.93452,421.03348,294.08541,45.36406,6.55582,-5.13623,7.95588,456.48725,-0.51499,-0.6184,-0.02589,1
-6.03559,1.2832,121.43009,218.60105,55.63465,16.10139,-7.28919,5.49581,408.7691,0.79007,2.30697,0.77543,1
-5.44084,1.52494,310.7885,51.48173,46.92927,18.50581,-3.80136,6.12599,320.0,1.66779,-0.19711,-0.81738,1
-5.93978,4.47837,616.29169,142.28668,39.52385,11.83505,-4.20035,6.94991,590.83261,1.63537,1.54807,-0.68013,1
-7.80924,0.86075,55.00541,37.72513,21.02297,2.00314,-7.13089,5.71267,367.0688,0.88128,0.48444,-0.06405,0
-8.80064,0.8701,48.00998,46.64773,19.88908,3.61905,-7.05331,4.96385,457.51488,1.33014,1.11245,-0.8548,0
-5.12608,6.49931,567.63977,1487.22841,56.91018,86.81497,-2.9019,9.4206,716.62954,0.07149,1.76941,-0.93388,2
-7.11762,0.66534,85.72683,45.12229,26.41513,4.8752,-4.30258,8.0148,384.84179,1.01559,0.43912,0.35481,0
-6.07999,2.1607,468.97144,77.00485,13.8669,19.01078,-5.7716,5.22001,517.53879,-2.81453,0.9419,0.7483,1
-7.62939,0.84673,14.07838,32.71658,37.71012,5.68543,-7.47245,7.4625,358.77067,0.3633,0.27696,1.67529,0
-5.6251,17.73829,766.19569,420.05886,119.38112,256.55424,-5.18879,6.64857,380.0,0.87354,3.70041,2.1109,2
-8.68085,0.6637,79.54819,37.91153,24.7872,2.18298,-6.83319,3.99327,322.68516,-0.26975,2.35473,1.98693,0
-8.50512,1.21097,15.74243,49.97892,34.15249,2.87381,-9.97132,4.17207,408.0987,0.09135,2.2172,-0.9589,0
-4.76304,10.75408,680.21857,371.20197,153.83238,44.81379,-3.77497,12.49273,619.41782,1.34343,3.09039,0.17443,2
-8.69988,0.86994,19.82987,23.35704,11.21336,2.97772,-7.39056,1.94765,441.23038,0.97359,-0.62251,1.13222,0
-8.14582,0.99107,16.4195,9.60764,20.3769,4.42832,-7.21098,4.13856,421.17809,-0.49467,1.34514,0.01308,0
-6.41712,2.06673,552.72862,309.18941,27.98671,21.44289,-4.04041,8.6272,534.79772,1.55457,1.37295,-1.31424,1
-5.94528,1.61995,419.26361,143.27306,20.74514,31.28594,-2.67436,9.00392,593.28468,2.16288,1.49122,0.74868,1
-7.47677,1.10501,63.16013,47.28483,12.50758,6.46605,-8.39958,4.8252,428.763,1.24174,-0.88483,1.04149,0
-5.82307,3.39536,384.54383,150.63777,8.0,9.32418,-5.31636,8.82025,377.73437,-0.81975,-0.48394,-0.50405,1
-6.09662,0.88045,632.59648,130.74332,46.43922,5.68719,-4.76203,5.95954,509.02757,1.44531,0.23666,0.18513,1
-6.7245,2.11757,638.1436,365.3523,72.76366,8.52416,-7.74631,3.23189,460.52273,2.05673,0.91131,-2.06525,1
-5.42821,2.56243,717.94685,700.0,14.15281,8.33394,-3.27305,7.43127,495.69849,1.7972,1.59574,0.114,1
-7.11182,0.71451,56.06312,12.80469,34.65177,4.58533,-4.96536,6.79148,306.02355,0.12194,1.97694,-1.23915,0
-7.49017,7.21733,368.2087,250.67121,28.90771,34.68607,-3.90456,4.3343,452.6098,-0.33017,2.341,-0.66918,1
-7.05402,0.79966,86.83148,80.0,12.36251,3.44886,-4.25266,6.60638,393.72323,1.99147,-0.29542,7e-05,0
-6.93646,1.12697,24.77274,80.0,24.97601,3.28859,-5.4698,10.97543,342.1921,2.99378,1.83587,-1.19254,0
-4.11336,12.17215,1468.59545,1465.80764,127.59841,123.41636,-3.5005,9.18762,651.97221,1.18172,4.07784,-1.04995,2
-4.6901,6.0927,1114.3225,805.53562,146.17507,130.1104,-4.19996,7.59065,558.98433,0.66867,-1.04156,0.01293,2
-3.49006,8.21402,1066.59639,164.02688,70.76722,247.75246,-3.30109,11.47623,664.98829,0.47331,3.55665,-0.31277,2
-7.0446,4.0457,186.04028,18.2769,72.54835,11.5264,-6.65759,7.02001,437.21667,1.68834,1.36399,0.30536,2
-8.00282,2.20139,520.81238,191.36414,37.28035,12.4492,-3.61822,6.7092,518.82423,0.92301,2.91074,2.34088,1
-6.6375,1.18354,43.35419,51.99649,16.62249,0.91117,-5.41435,9.78359,393.52895,-0.64863,1.12582,-0.90886,0
-7.54651,0.70912,31.6916,18.75417,24.33505,2.92908,-6.43423,6.48964,443.84157,0.39925,-0.53214,-0.53483,0
-7.90674,1.72395,19.11345,43.28069,16.60488,2.86813,-4.45165,6.32103,362.00368,1.47917,-0.29246,0.86864,0
-7.66709,1.2228,21.53584,12.50066,31.54972,5.20162,-6.62233,2.96459,336.96186,0.07122,-1.858,-0.55976,0
-7.90104,1.10738,133.57159,13.68647,18.32333,1.82416,-5.30591,9.39243,336.42303,0.20273,-0.47648,0.81021,0
-7.51337,2.5,3.58626,54.28511,9.92533,1.92224,-6.91071,5.9053,306.77438,1.05714,-0.66687,1.40338,0
-7.49595,3.99107,1034.31611,622.00761,28.9522,8.27578,-4.32456,5.85646,417.52653,1.98509,1.97299,2.18686,1
-6.79157,3.98139,398.74055,166.29452,19.43831,25.59803,-7.07796,8.40567,455.20873,0.7833,2.35647,-1.55929,1
-5.85185,1.96693,130.03699,237.36319,47.39829,46.25153,-5.84688,5.94619,494.11282,1.37864,0.98144,-1.21781,1
-7.88659,1.36178,26.22427,24.2928,23.79233,3.02718,-6.37589,5.57962,284.47684,1.44804,-1.22803,-0.01872,0
-5.44374,6.65484,683.9097,630.91997,29.43926,38.8193,-2.38506,6.81181,684.25986,0.99903,0.98313,1.4232,2
-6.95198,1.19374,12.90148,12.32219,22.65733,2.67715,-3.36492,6.23528,383.24578,-0.66425,1.13438,1.59267,0
-2.80248,9.41514,928.36103,651.60672,95.76459,39.68608,-2.8294,10.7074,765.05864,1.44579,-0.08346,-1.32227,2
-3.59069,3.88106,1567.59169,460.03444,141.80652,192.44503,-1.53422,10.96156,673.65921,0.84874,2.18414,1.28682,2
-6.67757,1.73062,53.01767,127.7832,74.7803,160.13389,-3.58162,6.09748,570.23852,2.56039,2.37033,-0.13534,1
-5.18873,2.57848,533.07326,175.06187,29.09841,29.88862,-1.96648,8.13098,507.56274,1.50798,0.74281,0.57834,1
-6.2811,2.19305,699.35271,292.06888,45.136,8.47959,-3.55903,7.87642,320.0,1.70154,1.56421,-1.46062,1
-5.59746,1.6334,211.87823,146.62848,42.52074,10.28746,-6.90184,9.10657,594.08538,1.39702,0.39118,-0.91885,1
-6.41227,1.68371,115.67371,74.30056,68.59683,12.94382,-5.8806,6.19215,531.43716,1.48565,0.36571,-0.59124,1
-8.44548,0.81389,42.46471,17.843,23.57193,2.06285,-7.7161,5.12775,389.14548,2.23101,3.18551,-1.56709,0
-8.09809,1.22285,102.9755,18.07022,17.29061,1.18251,-5.60773,11.53491,380.88611,0.87926,-1.27398,-0.66536,0
-8.35269,0.6888,48.44971,5.27357,29.31973,1.7288,-5.2259,4.67574,365.76782,0.57492,0.80504,-1.02364,0
-6.85824,4.10336,213.02528,99.8272,78.75288,20.57428,-3.88156,9.779,346.62407,3.03649,0.67097,-0.63866,1
-8.24928,0.77979,132.86998,33.71295,12.62059,1.41258,-6.12252,4.78812,385.78933,2.52154,0.85376,-1.21131,0
-5.16032,12.7815,419.76055,1260.8411,175.66023,256.61087,-4.11198,9.24424,557.28658,0.71166,2.07431,0.38825,2
-5.64635,3.01502,198.3198,307.31007,57.1996,62.15527,-3.70597,8.63458,437.83595,2.11841,1.47558,-0.25167,1
-7.17838,0.48678,77.22378,5.97686,14.32298,2.18415,-5.16538,7.39417,403.45251,2.1017,0.80272,-1.98403,0
-6.8625,5.38139,204.08971,115.6755,73.36205,9.21049,-4.95425,6.75042,489.74146,-0.88825,2.88939,2.66564,1
-3.57861,5.44155,335.30004,468.773,169.33641,146.01066,-2.31552,8.64997,768.06528,2.34922,3.1253,0.65497,2
-5.85035,1.71145,339.95185,134.78925,71.35433,39.36308,-4.52366,4.79467,381.87868,1.74356,0.10765,2.11911,1
-6.27671,1.34345,25.68843,4.22095,11.89667,3.40858,-5.39488,10.17571,392.44257,4.00211,0.05506,-0.85429,0
-3.91476,8.89716,722.39368,654.25641,64.4658,56.43448,-2.76618,9.90819,616.58515,2.65992,1.09325,-1.73519,2
-6.68488,0.74418,27.04347,17.64304,23.8318,8.68531,-4.62212,7.33033,467.95222,1.24625,-1.71299,-0.05407,0
-4.15657,8.28833,438.99132,316.46947,123.51154,141.45981,-1.77301,9.07304,578.99069,2.07823,2.83454,-1.33879,2
-5.71632,2.5424,393.81206,700.0,34.12324,11.64554,-5.35228,5.53999,350.44468,2.16926,0.20156,-2.69579,1
-7.10467,1.11517,67.29309,30.49406,13.57468,4.11817,-7.15417,7.39412,321.09288,1.8746,0.1543,0.61307,0
-6.04246,3.77498,582.30624,292.73718,43.77613,15.05481,-4.32902,4.71469,567.47693,-0.06561,0.52005,-0.23244,1
-8.81058,0.76415,29.16572,23.81228,34.1058,5.31903,-6.59857,2.72358,378.13316,1.26763,1.10081,-1.14675,0
-5.4559,2.61986,895.48323,202.59765,18.77195,5.24275,-5.56676,10.04937,333.76485,0.12455,-0.67608,1.14543,1
-8.09431,1.33154,42.70362,9.34431,18.90104,3.69951,-8.24725,7.19422,446.80984,0.61307,1.38875,-0.95772,0
-6.90326,1.42837,106.51536,61.82678,17.77298,2.42944,-4.02372,8.18143,318.77723,0.42149,0.02353,-1.94316,0
-7.83517,1.14033,189.10236,3.87714,15.62175,3.38372,-7.40877,4.74867,296.42644,1.16559,0.75892,0.2435,0
-4.36072,5.90947,579.30457,723.46874,87.50492,183.2755,-3.03997,9.02886,585.12188,0.74169,0.53188,-1.54214,2
-6.85402,0.94567,57.56743,12.1927,10.04662,4.16988,-4.76622,6.69324,456.20281,1.4342,-2.24271,1.43223,0
-7.65717,1.1251,35.4218,5.10782,15.4028,1.97732,-6.83792,8.51657,505.52588,0.6332,-0.96808,1.78304,0
-6.0416,1.94191,262.7708,41.33623,62.6737,14.48238,-3.5105,5.89477,332.85833,0.26303,0.27586,-0.81453,1
-8.61163,0.45777,48.42371,22.17525,10.30133,3.29519,-4.96148,6.63511,285.5121,3.10046,-1.17618,1.06713,0
-7.70303,1.05051,16.625,4.7385,22.29759,2.6542,-9.20405,6.89183,439.73161,0.80792,0.09348,2.69376,0
-6.78057,3.30362,348.33274,157.95569,61.27873,17.8806,-5.61078,6.58353,401.2131,2.45053,-1.63912,2.01359,1
-7.9716,0.87288,8.83562,9.86659,23.90089,6.92514,-4.45252,6.00735,290.8895,0.42709,2.30469,0.0309,0
-7.5085,0.76228,20.89581,35.10311,6.48136,4.61579,-7.75802,7.40437,356.76655,1.05776,1.4164,-2.13534,0
-5.28943,1.26019,510.44864,185.32888,21.67371,14.97679,-5.82698,8.50632,405.42385,2.06607,-0.74491,-0.02667,1
-5.6992,2.38342,794.25334,59.05532,33.39543,53.42775,-6.21384,7.17046,406.67018,2.31322,1.41079,0.13626,1
-5.67023,7.65448,957.82535,456.53336,32.10065,45.26278,-6.58158,7.16994,473.28601,0.03856,1.45674,-1.48557,2
-7.09842,0.75688,90.03225,11.15294,23.34728,2.55128,-8.22075,6.66634,300.22403,1.65946,2.10252,-1.44358,0
-4.82512,1.59414,753.15142,376.80544,49.15662,10.79744,-6.14547,12.6043,480.59913,2.64351,-1.42346,-0.53168,1
-7.47185,1.19363,37.48549,49.94771,31.46905,5.20734,-4.98983,3.38392,382.54473,-0.07629,1.11898,-1.03306,0
-5.85346,2.25786,837.15072,94.56081,32.03998,12.60437,-6.42172,6.5443,479.30135,2.1898,0.61313,0.07254,1
-7.12216,1.01085,51.05283,6.66031,17.36147,3.93173,-5.89485,3.35818,308.74968,-0.32985,-1.00202,-0.83154,0
-5.64696,3.5775,436.11157,250.86896,40.3345,11.29408,-4.39849,6.43798,517.3299,1.20619,0.65986,1.26704,1
-6.8769,3.94567,222.48811,287.09557,22.50846,59.59606,-4.84453,4.99081,477.51577,-1.11377,0.84846,-0.0984,1
-4.9504,6.13086,948.87162,251.85057,182.41627,35.31825,-4.74745,9.56504,508.55299,1.85472,1.36972,-1.48425,2
-7.24765,1.28737,102.84431,26.78097,18.37072,6.72641,-6.93322,5.92024,475.57135,-0.78869,0.44132,0.49374,0
-5.84086,6.53267,851.72599,176.90911,72.94915,25.1712,-6.42861,8.3744,455.14273,0.89256,0.20077,-0.06129,1
-4.6299,13.28418,497.11767,476.85646,121.32015,79.24649,-3.8403,8.87427,691.02112,2.93032,2.35039,1.25876,2
-6.24375,1.0841,292.3483,231.07425,12.3,25.54307,-3.80469,7.26375,522.28123,-1.48713,0.81593,-1.45918,1
-4.51476,13.03546,1233.51545,589.05386,83.98361,353.51842,-4.4218,14.49098,586.87837,0.01322,5.0152,-0.46832,2
-7.14632,2.56642,250.71368,346.60371,49.86876,9.37076,-5.80072,6.26387,479.3834,0.81353,-0.76001,-1.82317,1
-7.96558,1.18905,15.53466,39.35319,5.0,2.01014,-8.26638,4.47839,306.93231,1.46983,4.4307,-1.10085,0
-7.38421,0.71016,18.66601,13.06237,33.61706,4.16035,-6.81875,6.61236,505.72838,-0.91751,-1.46867,-0.33267,0
-4.34739,5.32177,848.79486,211.62563,46.67815,54.82456,-2.45117,6.74915,754.69454,0.22777,1.65121,0.88019,2
-7.60449,0.86037,39.39179,38.25245,21.68673,4.00693,-5.9627,5.94371,374.98115,0.24697,0.98628,-2.05692,0
-4.22961,10.19579,388.68728,698.95861,147.98262,234.90082,-4.89919,9.41107,862.80987,0.38531,3.64148,-0.12094,2
-7.54007,1.113,102.5602,40.14714,19.36855,4.11389,-6.14934,6.94004,330.26283,0.63397,0.87847,1.1865,0
-5.12284,1.57564,234.86618,171.20051,32.01002,11.29693,-3.77919,9.79336,423.04035,1.15932,-0.94286,-1.5305,1
-5.90336,6.59785,489.84183,419.51172,142.06217,44.24231,-5.14701,9.43713,579.87831,1.8789,1.36807,0.12523,2
-5.93166,2.14911,209.33683,64.21229,26.84115,20.78033,-4.25329,8.46724,562.01116,0.41734,-0.64793,0.3327,1
-8.96893,1.22253,78.33391,19.97913,20.96516,1.17391,-7.16712,2.80967,395.5766,0.17264,1.43927,1.43265,0
-5.90328,0.84968,798.75509,180.8066,44.11442,18.43347,-2.76004,4.50671,453.40852,0.66697,1.77654,-2.16038,1
-5.39135,1.17516,678.35099,302.10632,46.3899,2.85741,-4.62242,8.9726,375.71482,1.52867,0.13758,2.34185,1
-3.04565,5.49646,1441.99675,603.62857,139.17367,112.55804,-2.97584,9.87654,740.28481,2.73838,2.07472,-0.73313,2
-8.08472,0.92275,17.2787,79.95549,15.2864,5.92973,-7.46747,2.45543,515.16281,0.17105,0.20179,-0.14975,0
-4.32207,4.95295,636.0765,363.13358,104.35909,128.79805,-4.02884,9.88085,481.87742,3.02175,0.71115,1.15185,2
-6.58098,1.20006,99.5637,34.1526,22.26545,3.0693,-6.62101,6.41907,377.6534,1.08803,-0.66458,-0.05364,0
-7.06199,0.79442,25.36618,15.3783,23.46031,2.03573,-5.70116,5.63406,280.0,0.83266,-0.06948,-0.93072,0
-5.27602,1.10617,797.10091,149.3608,8.0,11.68379,-5.60004,13.8698,439.05337,3.46323,0.09112,-1.93784,1
-7.82014,1.1355,19.26023,15.0502,24.71167,1.23959,-6.24365,5.27064,324.96075,0.80375,-0.35902,1.16533,0
-7.26467,2.46501,551.90897,143.81846,23.35478,3.29629,-4.78234,6.02954,402.4824,-0.71389,-1.90165,-1.08633,1
-6.29163,0.57163,41.7786,14.92464,29.84868,3.85413,-3.55081,8.00934,422.58108,0.28321,1.17906,-1.7217,0
-8.02165,1.66514,398.20346,10.0,68.84219,25.22706,-6.5635,1.83764,383.3152,-1.21415,0.37451,-0.68441,1
-8.10516,0.88334,122.44822,13.68923,23.07049,2.60094,-8.67504,5.01567,381.61873,-0.87801,-0.10668,-1.18869,0
-5.47911,2.45118,763.47841,153.57542,62.06883,8.26478,-6.14018,6.66161,544.86463,0.12781,-0.56288,0.81402,1
-6.94979,0.75366,70.87123,23.95721,14.40374,1.84669,-5.51311,6.55186,316.72672,1.28958,-0.03372,1.146,0
-4.68315,9.95782,549.24138,476.16852,121.5357,297.00498,-4.07005,10.15791,752.82395,2.44771,2.13435,-0.81729,2
-7.69323,1.53961,56.81327,25.94924,19.13822,2.93297,-6.20261,7.84102,490.5125,0.37698,-1.50832,-2.39364,0
-3.0662,21.15863,541.19303,309.79676,64.6657,439.29659,-1.67014,11.38954,818.36312,2.15837,2.51721,1.12442,2
-4.06067,4.84017,913.52281,865.59482,109.97045,522.88147,-4.53558,8.49194,504.26278,-0.00788,-0.17971,0.35984,2
-6.49206,2.87866,255.41246,153.13389,73.21781,19.58487,-3.9456,6.04487,441.9459,0.29389,3.43305,-1.28817,1
-7.37688,1.81878,73.40382,28.75038,28.75411,0.85579,-7.4948,7.57008,303.10139,1.41955,0.51805,1.91808,0
-7.69545,0.37798,48.42846,21.54426,9.27169,2.58459,-5.65819,4.00653,381.10387,1.72492,-1.19624,0.73089,0
-7.33827,0.63859,18.54329,30.52092,5.0,3.07621,-3.81158,6.14012,342.02895,3.29181,-0.23336,2.3121,0
-8.18478,0.89079,22.04488,30.42004,31.01737,3.81671,-6.0162,8.24075,370.42433,-0.05499,-0.6664,-1.01526,0
-7.46,1.18769,18.90681,1.83383,16.97438,1.84756,-7.06874,5.7684,339.85383,0.82804,-2.27475,-1.05758,0
-7.21545,1.30975,117.71946,47.38495,18.28051,8.30153,-6.29027,4.35008,447.231,-0.28396,1.29687,1.09925,0
-3.7566,15.54093,476.66016,1213.73981,88.18611,413.55095,-4.67339,13.75105,431.51564,0.89057,2.39457,3.78484,2
-8.20484,0.85089,56.30055,51.16062,32.29051,3.97908,-7.70352,4.45667,365.71038,-1.70534,2.67335,1.43896,0
-5.97487,1.48922,91.10572,71.43924,69.7814,16.99069,-4.6354,9.34976,441.62955,2.69228,1.42294,-0.55602,1
-4.05893,8.07721,594.7734,120.87972,96.95243,301.79198,-3.39923,8.52694,769.16332,1.96173,3.11852,-0.72975,2
-7.00489,0.95435,82.71977,38.67558,21.04687,3.52812,-5.29792,7.20534,391.14833,2.47531,2.46828,0.38133,0
-7.14754,1.04532,47.5682,35.9907,16.6616,6.87978,-6.41621,6.82319,285.60551,1.65795,-0.80041,-1.59598,0
-6.63625,1.48397,260.57593,399.36075,59.42947,13.79851,-3.71113,8.36411,447.05712,1.67671,-1.02176,-0.41534,1
-7.02774,1.73023,262.86058,402.45852,42.17543,23.72776,-5.83906,6.54338,496.9084,2.27703,-0.02994,-0.52469,1
-8.1834,1.87121,368.11077,144.27913,56.15754,26.63364,-6.75761,5.27903,415.06179,2.16207,0.3506,1.49173,1
-6.49439,1.28156,45.29868,20.37926,24.11852,3.19258,-5.96407,5.35675,396.73502,2.12267,0.2971,-1.8695,1
-6.02792,3.11255,330.15866,151.51035,38.53836,20.81493,-4.64233,8.67232,321.77647,0.22137,0.5535,-1.02945,1
